Time(Iteration),DisLinUCBTheta,NIndepLinUCBTheta,HetoFedBandit_SimplifiedTheta,HetoFedBandit_PQTheta
0,49.09099870432148,49.29862157783113,49.21850718705816,49.109307409082874
50,41.493434731124395,23.473154673701405,25.0900273296564,24.128628447819576
100,41.17729252943456,17.57888042577554,8.023688214589056,7.008244497084786
150,41.27987490278434,14.740678058154916,6.098536411086334,5.9662913549224506
200,40.90209617646386,12.916595256484113,5.10362744215576,4.978652687469853
250,40.48586622670095,11.5207656916157,5.197909215043445,4.7601720707257416
300,40.45349704119243,10.64816908356002,4.671686194790854,4.492190265425796
350,40.47055866579087,9.750595966470428,3.9327146222756806,4.15230517828786
400,40.50296976872945,9.067986473616834,3.7260670420080864,3.7037493129839323
450,40.48917862573059,8.524205467989521,3.7436075977499934,3.560985296038744
