Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC,HetoFedBandit_PQ
0,20.19712576962427,21.00322104944585,18.740755433672216,19.884850266459395,21.77201081981878
50,534.587008559949,369.0537439085422,967.9607576345863,513.8081982347043,934.5515105286793
100,1019.0833002351344,436.92225312822876,1050.3532898722901,703.1481462984867,989.8816333068862
150,1495.1829800584815,472.92417695594264,1072.3571291423905,804.3693208572092,1010.6382904413833
200,1958.3157488613633,497.311670816457,1085.6328140542062,867.9844593039388,1023.5671854351699
250,2417.60770941741,517.417824418231,1097.9379011705294,918.5393267536427,1035.7415200404953
300,2881.261987966646,531.8598272460664,1106.369649559073,959.3184574445374,1045.6880356230045
350,3349.9756198305354,544.2955235745643,1113.5141024221266,991.6791459445357,1052.4734379280244
400,3812.577266557044,554.6704293570602,1119.8651221041127,1019.7247071850244,1058.8775923150163
450,4293.245631423648,563.3885385743991,1125.1972223489229,1042.0942365263247,1064.5047118530238
