Time(Iteration),DisLinUCBTheta,NIndepLinUCBTheta,HetoFedBandit_SimplifiedTheta,HetoFedBandit_PQTheta
0,49.47178747371246,49.47178747371246,49.61546363059852,49.42666922734563
50,38.99103958085368,22.250958427117553,26.2082482477019,25.54068768715297
100,37.80504293373678,15.940509692590972,8.093677631853305,8.307120933272378
150,38.066876583758734,12.624404394716406,6.585016960561198,6.126063678555481
200,37.81399919882187,11.355173789197487,5.240408968843742,5.613422320434077
250,37.950446394067455,9.870562673521826,4.667970256835286,4.9580865350067915
300,37.971035446687544,9.288810239957545,4.200026762488904,4.628781296892369
350,37.87568567876628,8.594664844526173,3.617365004065058,3.8662470303299106
400,37.91492130096097,8.029402167375407,3.3729235356565455,3.7066666475695094
450,37.90039417059537,7.678816437299596,3.162263738232981,3.4666590371130517
500,37.93426521462039,7.382717102832384,3.2019195658725828,3.614032864604981
550,37.99127241320662,7.041052775238939,2.9586717818955743,3.4664875340131194
600,38.00786895436356,6.840946326275184,2.8936497825245833,3.4401371761983937
650,38.03981356353112,6.6048436107227575,2.7874005410087204,3.3392266775692425
700,38.03819495495598,6.3626715199177495,2.830168936911415,3.3451269846937803
750,38.00697873740807,6.214238297026275,2.721249774560876,3.2741106446193218
800,38.04453816584668,5.9601285732372515,2.693594776753751,3.2058226978532325
850,38.05646701487728,5.80510785307734,2.64824449751513,3.037679326996993
900,38.05521480499192,5.602668990846888,2.580691322370732,2.984191068049018
950,38.12264622470971,5.533313113047518,2.4665139901925026,2.808465869619992
1000,38.11960659527911,5.43665041379712,2.488533290978436,2.8280163381528776
1050,38.12102299480314,5.266941559132358,2.431315605432587,2.608673122583785
1100,38.11500195581884,5.18785960087301,2.4308763587558584,2.6445199060591706
1150,38.11065962678033,5.0748525770505415,2.3754595810872603,2.5734740273509398
1200,38.13425740635428,4.971703660895013,2.29222536887745,2.5606255482560987
1250,38.1326346756937,4.851277271574631,2.267342824912199,2.4225458921900094
1300,38.134513362856,4.7483277271863855,2.2151114525390967,2.4151261721464605
1350,38.12657162218655,4.736256309619185,2.1695028232638096,2.343319438649749
1400,38.10965374515763,4.732840436764111,2.2308035623550904,2.39571655794823
1450,38.11781301135619,4.6974484840165145,2.1971361981036255,2.3611339996671163
1500,38.10519898983637,4.660174011996467,2.1326398479832096,2.283610668045493
1550,38.08865524947859,4.595440699204229,2.0721540739344393,2.3006441365800523
1600,38.08179278653635,4.546210216014557,2.0124025758702735,2.1511403128650795
1650,38.07287126737077,4.446743815757038,1.9659755140985353,2.0803628138455603
1700,38.07316223029187,4.396573121416671,1.9706900102038332,2.1092194466952496
1750,38.07702278048104,4.310182968877333,1.971031720153388,2.0939673732713127
1800,38.09116619056276,4.269934558500874,1.9291077802670582,2.1093285220044637
1850,38.10596283470586,4.20001260931408,1.8817485367715043,2.0709346296853917
1900,38.08446086929853,4.201861318563097,1.8576615043387694,2.038171854388808
1950,38.07134563924536,4.208236399216128,1.8402684343389912,2.0370699783448085
2000,38.097844708340006,4.20458852829661,1.8634577774402934,2.0337782255964614
2050,38.11372248014334,4.117542520089261,1.8452543811141442,1.991791878082332
2100,38.12686010871615,4.117207292253066,1.8469868351319412,2.004563872705614
2150,38.10849207842849,4.071688310761957,1.7748667615436255,1.9728799118693552
2200,38.129439200642025,4.0211224992696195,1.7094902973788415,1.9040743590565847
2250,38.11819244888329,3.9873683688319868,1.6840738717941104,1.8887204548220258
2300,38.127772006987634,3.991134479348455,1.6755040855366294,1.8528245520670237
2350,38.12555610802542,3.929016509875887,1.6945055889881917,1.8474602648097735
2400,38.13606543241569,3.913174800047378,1.6783993884272426,1.8666901894939818
2450,38.119732771875896,3.8567492478625103,1.6717659193143186,1.8441220304197383
2500,38.11620284993779,3.8103028705400783,1.66755042503102,1.8758330718649505
2550,38.14785293980073,3.7516515542983795,1.6226441623821368,1.8058826793753202
2600,38.16891062662524,3.7346404633829535,1.61419889135194,1.7763856224721466
2650,38.203191283381656,3.6871404068728997,1.5821869062738643,1.7586363240765526
2700,38.18898887488438,3.611156326768444,1.5713171026071262,1.6918819017395845
2750,38.2056805187785,3.5659729992161977,1.5320246206582413,1.6730147272412392
2800,38.19577658560731,3.554454303545026,1.5661387015865627,1.721293159856546
2850,38.21369067723453,3.5323231133862465,1.5611368604762546,1.7203960109372676
2900,38.20119862894121,3.475115221078254,1.5400628502571974,1.6567946420976412
2950,38.20069507426218,3.432942373962636,1.5256319664708247,1.6418681716014785
3000,38.20217807715985,3.3979146601705104,1.5015008358472794,1.6177230530475848
3050,38.215192230932836,3.361817506016638,1.4703754203746864,1.5690857084642196
3100,38.20555545996304,3.335030552296197,1.4458330380075528,1.5383365436572405
3150,38.2040755123373,3.3112069965228144,1.428726261161841,1.5241312112939798
3200,38.19421703396415,3.2596033545957868,1.4022068622053643,1.5040828900974512
3250,38.182742332021284,3.268314151169579,1.3879286200305223,1.474693918658432
3300,38.19882671130414,3.263844890491302,1.3975075767136844,1.4766326351351575
3350,38.189866661588106,3.2701352088520075,1.3973345805403936,1.5024008223207106
3400,38.178747513462284,3.2416932240118803,1.3936717496384616,1.5028233861981604
3450,38.193508162441084,3.212538735310592,1.392103695206196,1.4757920509087301
3500,38.195568012774366,3.205916634182737,1.4146956161926154,1.4783057858947068
3550,38.185226909766506,3.1724035083489426,1.4065150347102438,1.4848034037410496
3600,38.203105994072104,3.1511572377828396,1.418262151836467,1.488441931399142
3650,38.208554577953706,3.1465150330921654,1.3901714996982077,1.4715120380912579
3700,38.19811727604676,3.126759346387063,1.406094180805126,1.4709041992279548
3750,38.18745921842777,3.108286264383793,1.404305733606859,1.4753528288942295
3800,38.21190189293181,3.0910385593955185,1.3947734804683278,1.459210373312086
3850,38.20269605844271,3.0700982337225553,1.4026294506764487,1.4320851682098168
