Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC,HetoFedBandit_PQ
0,18.758817385361382,18.758817385361382,19.086037436496248,17.32242010425795,17.638842771336112
50,553.9945483201332,518.759250271058,931.7172910082553,573.0693819752706,941.9224063539313
100,1053.0994588342912,662.1998384803503,1012.136185015557,1058.5923038050612,991.5635969396676
150,1545.038896592807,744.1539192451953,1033.4248270053004,1538.156550916668,1011.2334868359396
200,2017.0302301068684,800.6274576529258,1048.0513740326135,2011.5503896739297,1024.940050733798
250,2500.676241712809,842.5452319134106,1061.1056652193631,2491.911586347761,1035.6265745403823
300,2984.627743954548,874.6212404541416,1072.4895736387475,2966.8161528847136,1044.648472644799
350,3460.3891755359477,905.0012904452551,1082.1217719160697,3436.145071263585,1054.1883329179416
400,3941.594992071043,930.2370288648251,1090.8241477091462,3910.705121331529,1059.9062698297876
450,4416.939280275462,953.1658334200471,1098.1529512760433,4373.950382157123,1066.0617988878269
500,4878.716947505739,973.0091566067342,1105.2376551559225,4829.281388728113,1071.933091958635
550,5350.27920297229,990.7550438379064,1113.1058014326347,5292.464461733474,1078.4084587595953
600,5815.352101923816,1007.9876431466654,1119.2221199637643,5749.297310217889,1083.6606850652372
650,6296.249220901787,1023.8546949741228,1125.5555260333088,6221.59307719214,1089.209731468671
700,6769.937861213382,1037.5689832132618,1130.4649077044369,6689.047511112404,1094.4089337782216
750,7247.412484969911,1050.3232499956473,1134.226426111669,7160.869796649076,1100.889547159529
800,7723.39733329944,1061.7839410764984,1138.1801174335483,7629.238088520579,1104.8811590313887
850,8190.403890842385,1073.1790437787283,1143.0298385843478,8090.430389773198,1109.9676213346631
900,8673.399347111495,1082.9125980834779,1149.065170924202,8563.738860158757,1116.1181502030229
950,9135.968040073105,1093.28516267391,1154.7020197924398,9020.002862721003,1120.9082493455178
1000,9608.18755079768,1103.350657695128,1160.477795667269,9488.717040819234,1125.338686982485
1050,10082.569092967966,1112.1161252284285,1167.0496818037495,9949.474623474318,1130.195033677507
1100,10556.289870801626,1121.706361658134,1171.5268272311991,10413.898085866196,1133.5716259105377
1150,11018.109912207354,1130.2733452664963,1176.358311622157,10863.671873208828,1139.0272375916813
1200,11500.638361025456,1138.5389578295024,1180.7921451128884,11337.29058182928,1142.2483991358963
1250,11965.968763579987,1145.4620330548207,1186.8389287239017,11795.491387420363,1147.8342358800091
1300,12430.251773710563,1153.7287390902022,1192.5889056654307,12254.531257800341,1151.150586640817
1350,12908.570218162768,1161.2464083101847,1197.2382144287549,12722.67540946267,1154.3697073713008
1400,13383.518856403432,1169.9232024884388,1202.8487374032072,13192.392360059648,1158.3944614632396
1450,13863.458188042465,1175.8136430992088,1206.6404866256103,13671.136121602154,1161.2290322333824
1500,14327.611331537475,1183.0301479483983,1211.069744654379,14124.625290198182,1165.2287329517696
1550,14798.271349926266,1190.0565072845516,1215.641440346924,14587.478318801961,1168.9478733196606
1600,15280.496152742006,1196.8311554158722,1220.8913537965527,15059.767563401922,1171.6820218489138
