Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC,HetoFedBandit_PQ
0,2550,0,0,1,0
50,3850,0,0,1462,0
100,4450,0,296,3016,464
150,4750,0,640,4009,840
200,5150,0,936,4725,1200
250,5350,0,1280,5303,1500
300,5650,0,1576,5787,1692
350,5850,0,1872,6169,1924
400,6050,0,2168,6539,2096
450,6250,0,2416,6860,2356
500,6450,0,2712,7153,2604
550,6650,0,3008,7415,2764
600,6750,0,3304,7660,2912
650,6950,0,3600,7886,3056
700,7150,0,3848,8065,3196
750,7250,0,4144,8263,3388
800,7450,0,4440,8453,3520
850,7550,0,4688,8621,3712
900,7650,0,4984,8788,3836
950,7850,0,5232,8943,3960
1000,7950,0,5528,9089,4096
1050,8050,0,5776,9230,4264
1100,8150,0,6072,9357,4384
1150,8350,0,6320,9489,4556
1200,8450,0,6616,9609,4624
1250,8550,0,6864,9730,4748
1300,8650,0,7112,9844,4912
1350,8750,0,7408,9916,5028
1400,8850,0,7656,10022,5192
1450,8950,0,7904,10128,5304
1500,9050,0,8200,10225,5468
1550,9150,0,8448,10322,5528
1600,9250,0,8696,10419,5636
1650,9350,0,8944,10515,5796
1700,9450,0,9240,10612,5864
1750,9550,0,9488,10688,5964
1800,9650,0,9736,10767,6112
1850,9750,0,10032,10859,6232
1900,9850,0,10276,10924,6288
1950,9950,0,10520,11011,6440
2000,10050,0,10760,11074,6544
2050,10150,0,11000,11160,6692
2100,10250,0,11236,11218,6744
2150,10250,0,11468,11296,6848
2200,10350,0,11752,11364,7000
2250,10450,0,11984,11421,7052
2300,10550,0,12216,11494,7156
2350,10650,0,12444,11557,7208
2400,10750,0,12672,11617,7352
2450,10750,0,12900,11676,7400
2500,10850,0,13124,11734,7496
2550,10950,0,13348,11800,7644
2600,11050,0,13572,11861,7696
2650,11150,0,13788,11875,7792
2700,11150,0,14008,11925,7936
2750,11250,0,14224,11975,7984
2800,11350,0,14440,12038,8080
2850,11450,0,14652,12096,8124
2900,11450,0,14860,12156,8268
2950,11550,0,15076,12212,8316
3000,11650,0,15288,12260,8408
3050,11750,0,15496,12307,8552
3100,11750,0,15708,12345,8596
3150,11850,0,15916,12390,8688
3200,11950,0,16124,12433,8736
3250,11950,0,16328,12477,8876
3300,12050,0,16532,12525,8916
3350,12150,0,16740,12575,9008
3400,12150,0,16940,12625,9048
3450,12250,0,17144,12675,9140
3500,12350,0,17340,12723,9184
3550,12350,0,17492,12756,9276
3600,12450,0,17688,12788,9316
3650,12550,0,17884,12825,9456
3700,12550,0,18080,12875,9492
3750,12650,0,18276,12925,9580
3800,12750,0,18468,12961,9624
3850,12750,0,18664,12993,9716
