Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
2000,20485.548747686684,1284.1514718541855,1040.0755482853433,1288.999076830611
2050,21005.009047829888,1289.5084340065691,1040.8016432238435,1291.9341415261651
2100,21509.846063479254,1294.4636059657837,1041.413550986644,1295.1195695940567
2150,22011.105024518773,1299.35816240381,1042.1432553677735,1297.880412557971
2200,22528.155985797774,1304.1549080820182,1042.7370260133214,1301.1933245433684
2250,23050.53626686558,1308.545515992786,1043.1967203627516,1303.8366331086556
2300,23563.424098666095,1313.2258745251627,1043.6806430497072,1306.4727307473274
2350,24076.397933427084,1318.1522696068005,1044.1934078882666,1309.5808540144303
2400,24592.131144876465,1322.4858512622043,1044.687201968654,1312.3054135016434
2450,25098.45225213644,1326.946531785977,1045.2201443445504,1315.1010300519893
2500,25605.698409467004,1331.2400389728612,1045.6322455321533,1317.568314024782
2550,26118.38210082418,1335.3951981689002,1046.1498447440292,1319.8513006999729
2600,26617.041416425323,1339.6458124298376,1046.6430967491708,1322.1645778042785
2650,27113.13942259289,1344.1279199821502,1047.1727617298056,1324.5171801958381
2700,27631.744213997667,1348.1786454615888,1047.593986538471,1326.5194346753992
2750,28140.601457015513,1352.3275327555255,1047.9750447753543,1329.0513743348852
2800,28650.89465478462,1356.7763534743876,1048.6103689087363,1331.3030875950767
2850,29163.208922693993,1360.8298333864773,1049.100059569169,1333.4290439475017
2900,29664.617927086245,1364.368529721746,1049.6294064475499,1335.5471740663393
2950,30180.222106371548,1368.1143869921184,1050.2317060121252,1337.8653476579948
3000,30696.063390388106,1371.9265137230896,1050.6091352528454,1340.1053595484234
3050,31186.065402475695,1375.4793003909551,1050.9896877259455,1342.3280585637913
3100,31697.159877993654,1378.9251666433438,1051.4454259110298,1344.3466615657962
3150,32203.76919028589,1382.6688789416326,1051.9042330985824,1346.4342793021378
3200,32713.519319209237,1385.9207452521755,1052.4532896408696,1348.3913879767176
3250,33218.05534115852,1389.242904970656,1052.9659388528712,1350.4944992598307
3300,33724.62112128235,1392.855356554855,1053.3017216128883,1352.3531263238901
3350,34246.283383729926,1396.2936887773503,1053.643116235361,1354.3033138782832
3400,34758.09129609604,1399.6405102063127,1054.1469779886802,1356.3965043512437
3450,35271.21425453646,1402.969648567163,1054.5132800486056,1358.334435428075
3500,35802.420061102246,1406.307692155074,1054.876270435694,1359.8475473993308
3550,36317.19541958627,1409.2713805918434,1055.2287479830084,1361.5192329047109
3600,36817.75346555703,1412.3948346139823,1055.60570770688,1363.1625237041633
3650,37312.203992011084,1415.5463793232013,1056.0201547810925,1364.7511884683413
3700,37822.91100552197,1418.7809549622218,1056.4510358429964,1366.3393932148983
3750,38337.64393652788,1422.0373430029115,1056.838692559561,1368.2520105494953
3800,38850.709110256226,1425.1300691556967,1057.2756138376747,1370.0137073631872
3850,39362.608901687476,1428.234581326706,1057.642728200195,1371.7190946985154
3900,39860.29968409184,1431.35902960584,1058.0019139539963,1373.0327269525567
3950,40358.80627010337,1433.9216890844266,1058.4204463948636,1374.2719516646507
4000,40872.394600669824,1436.7405715809186,1058.8185052805404,1375.6047527907058
4050,41377.55106089805,1439.5141597803818,1059.1403038707476,1377.1423314470128
4100,41894.171237553615,1442.1105605757389,1059.5282398508007,1378.911349310105
4150,42388.4738431068,1444.9091161029635,1059.9225782762333,1380.1093370820306
4200,42886.17402749314,1448.1909251422285,1060.2658354961093,1381.6327345631846
4250,43410.42305082727,1450.8334559290643,1060.650904344718,1383.1851922635633
4300,43924.77051390439,1453.7596102490152,1061.0586620849708,1384.5794280868472
4350,44433.07870204894,1456.32970018901,1061.4010916097745,1385.9979014596968
4400,44924.48898766233,1459.0664048533615,1061.6886384421482,1387.287535941953
4450,45426.616884057556,1461.4239077984598,1061.9794265633084,1388.2776054829128
