Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,2550,0,0,1
50,3750,0,0,1455
100,4250,0,520,3019
150,4650,0,1160,4022
200,4950,0,1680,4729
250,5250,0,2200,5308
300,5450,0,2720,5785
350,5750,0,3160,6170
400,5950,0,3680,6536
