Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,19.497628649575468,19.497628649575468,20.469015777860943,19.32401303353375
50,526.4441358763033,510.50344901036146,923.7566152540433,497.7362278297255
100,977.592628220868,655.9220151695528,1000.5539127980143,684.5214779181143
150,1418.3843474396886,740.0632696863315,1022.3811063412546,793.5608776941322
200,1861.2112599802485,801.5959525122761,1035.0112665860054,871.5207380567947
250,2291.7159994303015,849.0797186344342,1046.2099660390527,926.9532691584361
300,2720.656954106225,887.5435832246641,1055.58691787822,970.4232635346069
350,3158.9855251455792,921.2778755679544,1064.0665121154761,1004.1496593067401
400,3593.472040496129,950.0248771248226,1070.5778256029785,1034.1883023364173
