Time(Iteration),DisLinUCBTheta,NIndepLinUCBTheta,HetoFedBandit_SimplifiedTheta,HetoFedBandit_PQTheta
0,49.40821400033329,49.40821400033329,49.0942636804683,49.38129037529356
50,41.80591024231024,22.74000701993862,25.05767315256292,26.419359695826497
100,41.260582345395825,15.577122142241246,7.3974990726236065,8.209121117850913
150,40.74585222190522,12.987711635522176,5.918511501310726,7.033385583196624
200,40.386390848551464,11.810306385505523,5.108478699292831,6.540838590106269
250,40.359227691227716,11.03590939225139,5.544012406203494,5.702234004795684
300,40.28828039533324,10.112934974488248,5.048362823191934,5.3771769821994395
350,40.26098982235626,9.525289725485688,5.328170376067936,4.971412569502817
400,40.214760531834834,8.987866577130822,4.34586932447001,4.7683663061732515
450,40.15401923634635,8.75151824469826,4.471075657755263,4.4501873808785275
500,40.13788724798945,8.283320704407746,4.033331538506241,4.0114848823639315
550,40.164912356643896,7.839469966014249,4.372039881771058,3.8252133973884406
600,40.14312605879249,7.629446711246567,3.8754768660539836,3.870978650929464
650,40.15584414953448,7.294813168836644,3.850098576298204,3.7655652651586586
700,40.14615424010284,6.923561358572049,3.16491196307187,3.501314448008563
750,40.1729137912744,6.728090061255351,3.4016656460583463,3.2551075382559747
800,40.14538055727475,6.542224137309091,2.8650002648516817,2.932875626011915
850,40.13957557083651,6.2903433120310055,3.6464005977728187,4.081920903113617
900,40.169005832804295,6.120198557749027,3.0783815277662936,2.869419586704767
950,40.155994773814406,6.126234544134179,3.53677597210611,4.041148596115906
1000,40.14871967114884,5.958909039725746,2.529395613797874,2.7364363660227062
1050,40.10096622151608,5.87162008038123,3.3929697550244646,2.6567900247795238
1100,40.1002539590942,5.843920068052663,2.908353056315977,2.6005568950666307
1150,40.09087294828121,5.686801325889422,2.3638706851594584,3.13567604526758
1200,40.068991910628206,5.523057214528726,3.209783109479223,3.6750688083000638
1250,40.049720514427314,5.372419747768774,2.3460062784586935,3.067523538945598
1300,40.05915366017875,5.224182626952034,2.7687237737286274,3.03188096729155
1350,40.04422132494982,5.201976200646616,2.2435272561993327,2.4650524478591325
1400,40.05751509869888,5.082367034892903,2.6872706760691702,2.3464518182105447
1450,40.069446728346385,5.03819442909895,3.188405518828019,3.455603841247367
1500,40.0602484934814,4.9189454787996905,2.709792493126917,2.2657405948358793
1550,40.05962250450706,4.860310256094371,3.1075328615933113,2.2285866517333113
1600,40.053051339051414,4.810027508271489,2.650437741586285,2.1895515064755013
