Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,2550,0,0,1
50,3850,0,0,1393
100,4350,0,296,2969
150,4650,0,640,3961
200,4950,0,936,4668
