Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC,HetoFedBandit_PQ
0,2550,0,0,1,0
50,11150,0,0,1364,0
100,12050,0,426,2946,384
150,12850,0,850,3950,768
200,13350,0,1276,4655,1152
250,13950,0,1700,5237,1536
300,14350,0,2080,5715,1920
350,14850,0,2506,6102,2304
400,15250,0,2886,6469,2688
450,15550,0,3266,6790,3072
