Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,0,0
50,2,2,2,0,1
75,6,5,5,0,1
100,10,6,5,0,5
125,14,6,5,2,6
150,19,6,6,2,9
175,22,7,8,3,9
200,26,10,11,3,9
225,31,13,13,4,9
250,37,13,13,5,10
275,45,14,17,9,10
300,52,15,18,9,11
325,59,21,22,10,14
350,67,25,25,11,15
375,77,26,27,12,16
400,86,28,29,12,18
425,99,31,30,12,18
450,112,35,34,12,19
475,116,36,36,15,19
500,126,38,38,15,20
525,137,40,43,18,22
550,151,42,48,18,22
575,160,45,52,18,23
600,175,47,55,18,24
625,183,50,58,18,26
650,191,54,62,19,27
675,199,56,65,20,29
700,211,60,68,23,30
725,219,62,70,23,30
750,230,66,75,24,32
775,241,67,78,25,34
800,253,68,79,26,35
825,263,68,82,27,35
850,277,71,83,30,37
875,290,75,86,31,38
900,302,77,88,34,39
925,315,79,91,36,40
950,325,79,92,36,42
975,337,85,96,37,43
1000,352,87,98,39,44
1025,363,93,103,42,45
1050,374,97,105,42,48
1075,387,102,106,44,49
1100,404,107,109,44,51
1125,416,109,111,47,52
1150,429,116,116,48,52
1175,442,116,118,49,54
1200,453,118,118,49,56
1225,466,122,122,50,57
1250,475,124,126,52,57
1275,488,126,127,53,58
1300,502,129,129,55,59
1325,515,133,135,55,60
1350,527,135,137,56,61
1375,538,135,138,56,62
1400,548,137,140,57,63
1425,559,142,141,57,64
1450,565,148,144,59,65
1475,580,151,149,59,65
1500,596,155,150,60,66
1525,610,161,154,62,67
1550,623,164,158,64,68
1575,632,168,164,65,69
1600,649,170,169,67,71
1625,662,173,172,68,71
1650,674,177,174,68,71
1675,689,180,176,68,72
1700,702,181,177,69,74
1725,713,185,179,69,75
1750,727,187,180,71,75
1775,740,189,181,73,75
1800,752,192,185,75,78
1825,767,196,189,79,79
1850,777,200,192,79,80
1875,790,208,196,81,80
1900,801,211,198,85,82
1925,815,215,199,86,83
1950,829,217,201,86,85
1975,842,220,202,88,85
2000,855,224,202,88,86
2025,868,230,206,89,87
2050,882,235,211,91,88
2075,898,240,211,91,88
2100,907,240,218,92,91
2125,921,244,220,93,92
2150,932,246,221,94,92
2175,941,249,223,94,92
2200,953,251,225,96,96
2225,962,257,228,96,97
2250,971,261,231,97,98
2275,982,262,233,98,98
2300,993,263,235,99,98
2325,1005,266,241,100,98
2350,1014,268,241,100,101
2375,1025,271,245,100,102
2400,1040,274,246,100,102
2425,1050,282,251,101,102
2450,1061,288,255,102,103
2475,1074,293,259,102,103
2500,1082,299,264,104,103
2525,1091,301,266,105,104
2550,1102,308,268,106,105
2575,1113,312,273,106,106
2600,1122,315,277,107,107
2625,1131,319,282,107,109
2650,1141,323,284,108,111
2675,1148,329,291,109,111
2700,1158,333,293,110,112
2725,1167,335,296,112,113
2750,1179,338,299,114,114
2775,1189,341,302,115,116
2800,1202,349,311,115,117
2825,1212,356,315,115,120
2850,1222,368,322,115,120
2875,1238,375,326,116,120
2900,1245,380,331,119,123
2925,1258,386,334,119,124
2950,1269,390,335,119,126
2975,1277,394,337,120,127
3000,1291,397,339,120,131
3025,1302,404,346,121,133
3050,1315,410,349,123,134
3075,1327,416,356,123,135
3100,1339,422,359,124,135
3125,1349,427,361,124,136
3150,1359,433,367,125,136
3175,1373,439,371,125,137
3200,1386,444,379,128,138
3225,1400,451,382,128,140
3250,1414,455,383,130,141
3275,1421,459,387,130,141
3300,1432,463,391,132,141
3325,1441,470,392,132,142
3350,1450,475,397,133,142
3375,1459,481,399,134,143
3400,1470,485,401,134,143
3425,1481,489,403,136,143
3450,1491,496,405,138,143
3475,1499,500,406,138,143
3500,1512,507,412,140,145
3525,1522,511,417,140,145
3550,1532,517,422,140,145
3575,1544,527,424,140,148
3600,1553,535,427,141,148
