Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,2,1
50,3,2,2,2,2
75,4,2,2,2,2
100,9,3,3,3,3
125,12,6,7,5,6
150,17,8,9,6,7
175,27,11,11,8,8
200,37,15,13,8,9
225,51,17,16,10,10
250,64,20,19,11,12
275,78,20,19,11,13
300,85,22,23,11,13
325,94,22,23,12,13
350,109,25,24,13,15
375,122,28,25,14,15
400,132,30,26,17,17
425,148,33,30,19,17
450,162,36,34,19,17
475,175,37,37,19,17
500,190,44,39,21,19
525,199,47,40,22,19
550,212,50,42,22,20
575,224,52,44,22,22
600,239,56,47,25,24
625,253,60,50,25,24
650,271,63,52,27,24
675,287,66,54,29,25
700,298,70,57,30,25
725,313,74,61,31,26
750,326,80,64,31,26
775,339,84,68,32,26
800,359,86,71,32,28
825,373,86,72,33,30
850,391,90,77,35,31
875,406,95,81,35,32
900,420,101,84,39,32
925,431,104,86,41,33
950,441,111,91,43,35
975,454,111,93,44,36
1000,463,112,96,49,38
1025,478,116,98,49,39
1050,490,123,101,52,39
1075,499,130,104,55,39
1100,513,136,107,57,39
1125,523,139,109,58,39
1150,534,144,111,59,39
1175,543,146,113,61,44
1200,551,151,119,62,45
1225,560,156,123,64,48
1250,576,164,130,67,50
1275,588,170,134,67,51
1300,600,177,140,67,51
1325,610,182,144,67,51
1350,620,183,146,68,52
1375,633,189,148,69,52
1400,645,193,149,69,53
1425,654,196,151,72,54
1450,669,198,155,72,55
1475,679,202,159,74,55
1500,686,205,161,74,55
1525,699,209,163,75,56
1550,711,213,165,75,58
1575,722,219,167,76,59
1600,736,223,171,77,60
1625,749,228,174,77,62
1650,759,235,181,79,64
1675,769,244,183,80,64
1700,781,251,188,81,65
1725,790,256,194,83,67
1750,798,260,198,83,68
1775,807,270,200,83,68
1800,818,274,202,84,68
1825,827,277,205,86,68
1850,831,278,208,87,71
1875,843,285,211,88,71
1900,850,289,212,88,75
1925,857,295,216,88,77
1950,863,297,217,90,77
1975,873,303,218,91,78
2000,885,309,222,94,80
2025,897,314,227,94,81
2050,906,318,230,94,82
2075,912,326,233,95,85
2100,922,332,237,97,86
2125,932,340,243,99,87
2150,937,345,247,100,87
2175,944,351,249,102,89
2200,952,358,252,103,90
2225,959,364,258,104,91
2250,973,371,262,104,91
2275,988,378,268,106,93
2300,1001,384,272,107,96
2325,1013,390,275,107,99
2350,1025,395,278,110,99
2375,1032,400,280,110,99
2400,1044,406,283,112,101
2425,1058,413,285,113,103
2450,1067,419,289,113,106
2475,1077,424,291,115,106
2500,1085,429,294,116,107
2525,1095,434,298,117,107
2550,1105,439,300,118,107
2575,1113,447,303,118,109
2600,1122,455,307,118,110
2625,1128,458,309,119,110
2650,1136,464,312,119,111
2675,1143,464,312,119,112
2700,1148,470,314,121,113
2725,1157,477,318,121,113
2750,1164,481,321,124,114
2775,1174,484,322,125,115
2800,1182,490,324,126,116
2825,1194,499,328,128,118
2850,1198,502,329,128,118
2875,1209,508,330,129,120
2900,1215,516,334,130,121
2925,1221,521,336,130,123
2950,1228,525,340,130,124
2975,1236,530,344,135,126
3000,1245,539,346,136,126
3025,1256,551,351,138,127
3050,1268,559,354,138,129
3075,1277,567,360,140,129
3100,1285,575,361,140,129
3125,1293,578,363,143,129
3150,1297,583,365,143,130
3175,1304,591,368,146,132
3200,1317,600,372,146,135
3225,1329,610,374,146,135
3250,1340,614,377,147,136
3275,1350,619,382,147,137
3300,1359,626,388,149,137
3325,1366,633,394,149,139
3350,1373,643,399,150,142
3375,1379,647,401,154,143
3400,1390,656,407,155,144
3425,1397,661,410,156,144
3450,1407,665,415,157,144
3475,1413,671,418,158,144
3500,1424,675,423,158,146
3525,1433,678,428,164,148
3550,1440,689,430,168,149
3575,1447,697,433,177,149
3600,1454,707,435,180,149
3625,1462,713,441,183,150
3650,1473,720,441,187,152
3675,1479,730,446,195,152
3700,1490,734,447,201,153
3725,1499,740,449,206,155
3750,1509,747,455,216,155
3775,1517,754,460,222,157
3800,1526,763,468,230,159
3825,1533,770,471,234,161
3850,1544,774,473,240,161
3875,1554,783,475,247,161
3900,1564,790,478,250,162
3925,1572,797,481,251,163
3950,1579,804,486,255,165
3975,1589,813,490,264,165
4000,1598,820,494,270,166
4025,1605,831,496,275,166
4050,1613,844,502,282,168
4075,1624,852,504,286,168
4100,1631,860,508,292,169
4125,1639,864,510,298,172
4150,1648,872,513,304,174
4175,1659,878,516,308,174
4200,1671,883,518,316,175
4225,1679,888,523,324,176
4250,1683,891,526,329,177
4275,1695,898,529,335,177
4300,1705,904,530,344,178
4325,1712,909,533,351,178
4350,1722,921,536,357,181
4375,1730,929,539,362,181
4400,1739,937,543,374,183
4425,1748,943,547,380,183
4450,1755,950,551,388,184
4475,1763,956,555,393,186
4500,1773,966,560,399,186
4525,1782,979,566,412,188
4550,1792,989,573,421,188
4575,1803,997,577,426,188
4600,1816,1004,581,433,188
4625,1823,1012,589,441,189
4650,1836,1018,592,450,190
4675,1847,1023,597,456,191
4700,1857,1034,602,467,192
4725,1866,1042,610,478,192
4750,1875,1050,614,487,193
4775,1884,1058,621,498,193
4800,1893,1070,628,509,194
4825,1902,1080,634,517,194
4850,1911,1090,640,528,196
4875,1921,1100,646,536,197
4900,1931,1107,650,541,199
4925,1940,1115,652,548,200
4950,1950,1124,655,556,200
4975,1960,1132,659,564,200
5000,1966,1140,663,572,201
5025,1976,1147,666,577,201
5050,1987,1159,670,584,201
5075,1996,1167,675,591,203
5100,2004,1176,681,600,204
5125,2010,1185,684,606,204
5150,2018,1195,688,616,205
5175,2029,1202,690,621,205
5200,2038,1211,694,632,206
5225,2050,1219,695,641,206
5250,2060,1228,701,649,206
5275,2070,1239,705,659,206
5300,2082,1248,705,664,209
5325,2094,1258,708,673,211
5350,2102,1268,710,679,213
5375,2111,1281,718,689,213
5400,2121,1290,720,696,213
5425,2132,1297,724,708,214
5450,2141,1306,730,716,214
5475,2148,1314,732,726,214
5500,2158,1322,736,734,216
5525,2170,1333,744,745,219
5550,2177,1342,751,756,221
5575,2188,1355,759,771,223
5600,2198,1363,763,772,223
5625,2208,1373,767,782,225
5650,2216,1377,769,789,225
5675,2230,1388,772,798,225
5700,2244,1394,777,806,225
5725,2256,1402,781,817,227
5750,2268,1416,787,826,227
5775,2277,1427,792,836,228
5800,2289,1434,795,850,230
5825,2297,1444,797,858,231
5850,2305,1454,802,865,231
5875,2317,1463,806,875,233
5900,2327,1474,811,888,234
5925,2336,1483,816,898,235
5950,2342,1496,820,907,236
5975,2352,1504,823,915,238
6000,2364,1517,828,926,238
6025,2377,1527,834,938,241
6050,2388,1539,836,945,241
6075,2401,1552,844,957,241
6100,2411,1563,850,968,241
6125,2422,1575,856,980,243
6150,2437,1584,862,992,243
6175,2445,1590,868,1000,243
6200,2453,1602,873,1010,244
6225,2465,1613,876,1017,245
6250,2473,1622,879,1026,246
6275,2481,1631,885,1036,246
6300,2488,1641,891,1047,247
6325,2498,1649,895,1058,247
6350,2506,1661,902,1069,247
6375,2517,1676,911,1084,249
6400,2523,1685,914,1091,249
6425,2532,1698,921,1106,251
6450,2539,1707,924,1120,251
6475,2548,1711,927,1128,251
6500,2556,1720,930,1137,252
6525,2569,1731,938,1149,253
6550,2579,1739,941,1161,254
6575,2589,1752,947,1170,255
6600,2599,1765,954,1181,257
6625,2607,1774,959,1192,258
6650,2611,1783,966,1200,261
6675,2618,1793,968,1211,263
6700,2629,1803,973,1224,264
6725,2633,1811,979,1234,265
6750,2642,1821,985,1247,267
6775,2650,1830,990,1252,267
6800,2659,1838,995,1259,267
6825,2664,1846,999,1270,267
6850,2670,1856,1003,1278,271
6875,2674,1864,1007,1289,271
6900,2682,1872,1011,1300,273
6925,2684,1877,1016,1308,273
6950,2691,1887,1022,1316,274
6975,2698,1897,1028,1328,276
7000,2708,1909,1034,1338,276
7025,2716,1913,1038,1345,276
7050,2725,1925,1041,1356,276
7075,2733,1937,1051,1365,281
7100,2742,1945,1057,1373,283
7125,2749,1955,1061,1384,283
7150,2758,1965,1066,1395,285
7175,2761,1972,1067,1400,286
7200,2771,1982,1071,1413,286
7225,2783,1995,1078,1427,287
7250,2792,2004,1083,1434,288
7275,2800,2013,1087,1442,289
7300,2808,2021,1090,1453,290
7325,2813,2031,1094,1460,291
7350,2821,2037,1098,1463,291
7375,2827,2047,1105,1470,291
7400,2835,2056,1112,1477,294
7425,2844,2064,1117,1481,294
7450,2851,2073,1122,1491,294
7475,2860,2082,1128,1499,296
7500,2869,2088,1133,1508,297
7525,2877,2095,1138,1515,298
7550,2881,2109,1143,1525,299
7575,2888,2121,1150,1534,301
7600,2897,2135,1156,1543,301
7625,2902,2146,1161,1554,301
7650,2908,2153,1163,1562,301
7675,2915,2161,1166,1571,302
7700,2920,2166,1167,1577,302
7725,2924,2174,1168,1584,302
7750,2933,2187,1171,1597,302
7775,2938,2197,1173,1607,305
7800,2946,2204,1176,1614,305
7825,2956,2215,1180,1620,307
7850,2965,2227,1185,1632,307
7875,2971,2238,1190,1639,308
7900,2981,2250,1197,1652,310
7925,2983,2259,1200,1660,311
7950,2995,2273,1210,1669,312
7975,3002,2282,1216,1678,312
8000,3010,2290,1219,1685,312
8025,3012,2302,1226,1690,314
8050,3017,2314,1233,1702,314
8075,3024,2323,1237,1710,318
8100,3029,2334,1243,1722,320
8125,3037,2341,1250,1732,321
8150,3046,2354,1258,1743,324
8175,3053,2363,1264,1755,324
8200,3057,2367,1270,1761,325
8225,3064,2377,1280,1767,327
8250,3069,2384,1285,1773,328
8275,3077,2394,1292,1785,329
8300,3091,2404,1298,1800,330
8325,3099,2415,1302,1809,333
8350,3102,2426,1311,1820,333
8375,3109,2435,1317,1826,334
8400,3118,2444,1322,1834,334
8425,3124,2453,1328,1841,334
8450,3135,2464,1337,1852,335
8475,3141,2472,1344,1858,337
8500,3147,2485,1351,1867,338
8525,3156,2496,1360,1875,341
8550,3162,2510,1370,1886,341
8575,3170,2521,1376,1895,341
8600,3176,2531,1383,1906,342
8625,3182,2545,1389,1913,345
8650,3186,2558,1396,1921,346
8675,3196,2568,1403,1931,347
8700,3205,2575,1407,1937,348
8725,3213,2584,1413,1944,350
8750,3221,2596,1419,1954,350
8775,3227,2608,1431,1964,353
8800,3236,2619,1436,1975,354
8825,3244,2630,1445,1982,356
8850,3246,2639,1453,1994,359
8875,3254,2654,1464,2006,359
8900,3260,2666,1469,2013,359
8925,3273,2678,1476,2024,362
8950,3281,2686,1484,2030,363
8975,3292,2697,1490,2041,363
9000,3301,2712,1498,2051,363
9025,3308,2722,1500,2061,363
9050,3313,2732,1506,2068,364
9075,3324,2744,1512,2079,366
9100,3328,2754,1520,2089,366
9125,3337,2765,1526,2096,370
9150,3343,2773,1530,2104,370
9175,3351,2779,1535,2112,370
9200,3356,2790,1541,2121,371
9225,3364,2801,1550,2132,372
9250,3370,2811,1558,2139,373
9275,3375,2818,1562,2146,374
9300,3381,2827,1570,2155,375
9325,3389,2839,1576,2161,375
9350,3397,2847,1581,2169,375
9375,3401,2860,1588,2178,375
9400,3407,2867,1592,2183,375
9425,3410,2874,1599,2188,375
9450,3415,2887,1607,2199,379
9475,3424,2896,1611,2207,379
9500,3428,2906,1614,2211,381
9525,3431,2918,1620,2218,382
9550,3434,2926,1627,2225,382
9575,3441,2936,1635,2231,382
9600,3448,2948,1644,2245,383
9625,3455,2960,1651,2253,383
9650,3465,2970,1658,2262,386
9675,3473,2979,1663,2271,387
9700,3476,2992,1670,2277,388
9725,3482,3006,1682,2288,388
9750,3490,3023,1689,2300,389
9775,3495,3036,1697,2306,390
9800,3504,3051,1704,2317,392
9825,3512,3060,1710,2321,394
9850,3517,3070,1716,2328,394
9875,3523,3081,1723,2336,394
9900,3527,3091,1731,2347,394
9925,3534,3102,1738,2355,395
9950,3539,3114,1744,2362,397
9975,3544,3127,1746,2367,398
10000,3552,3134,1749,2376,399
10025,3558,3142,1754,2383,399
10050,3563,3152,1761,2388,400
10075,3567,3162,1766,2395,403
10100,3573,3170,1773,2398,404
10125,3584,3181,1780,2411,406
10150,3593,3188,1782,2421,406
10175,3597,3198,1788,2429,406
10200,3604,3210,1793,2437,406
10225,3610,3216,1795,2444,406
10250,3614,3222,1798,2448,406
10275,3618,3227,1804,2454,406
10300,3625,3238,1810,2464,408
10325,3629,3249,1817,2473,410
10350,3639,3262,1826,2484,411
10375,3646,3272,1834,2494,412
10400,3653,3288,1845,2507,412
10425,3657,3299,1852,2518,414
10450,3666,3309,1859,2530,414
10475,3675,3318,1866,2539,416
10500,3681,3324,1871,2548,418
10525,3687,3331,1874,2556,419
10550,3690,3335,1877,2559,423
10575,3696,3341,1880,2564,424
10600,3703,3353,1888,2574,425
10625,3709,3362,1891,2581,428
10650,3718,3373,1899,2591,428
10675,3727,3381,1905,2598,430
10700,3737,3393,1913,2609,431
10725,3738,3399,1917,2614,431
10750,3744,3408,1927,2626,431
10775,3751,3418,1929,2631,432
10800,3759,3428,1935,2638,434
10825,3765,3437,1942,2643,435
10850,3770,3446,1949,2648,435
10875,3779,3453,1954,2657,439
10900,3784,3462,1960,2663,440
10925,3789,3472,1966,2669,441
10950,3793,3481,1971,2677,443
10975,3801,3488,1975,2683,445
11000,3805,3494,1980,2691,447
11025,3810,3504,1986,2701,447
11050,3817,3514,1993,2710,448
11075,3820,3521,1999,2714,449
11100,3831,3532,2009,2724,450
11125,3836,3539,2013,2731,451
11150,3844,3548,2018,2741,453
11175,3848,3555,2024,2744,454
11200,3855,3566,2031,2749,454
11225,3861,3576,2039,2760,457
11250,3869,3585,2045,2771,457
11275,3882,3598,2056,2782,457
11300,3889,3612,2068,2790,459
11325,3901,3626,2076,2804,460
11350,3906,3638,2083,2813,461
11375,3917,3648,2092,2826,461
11400,3922,3653,2096,2832,463
11425,3931,3665,2105,2843,464
11450,3940,3674,2112,2855,465
11475,3947,3682,2118,2860,467
11500,3953,3691,2126,2865,468
11525,3958,3699,2133,2873,471
11550,3963,3712,2142,2884,471
11575,3971,3722,2150,2893,471
11600,3976,3729,2155,2901,471
11625,3983,3745,2166,2914,473
11650,3988,3755,2174,2920,476
11675,3994,3771,2183,2932,478
11700,4004,3782,2192,2943,480
11725,4014,3789,2196,2949,484
11750,4020,3794,2199,2954,484
11775,4028,3808,2209,2965,485
11800,4038,3817,2217,2974,487
11825,4047,3828,2225,2985,487
11850,4052,3837,2234,2994,487
11875,4059,3845,2240,3004,488
11900,4062,3853,2245,3010,488
11925,4066,3862,2252,3019,489
11950,4074,3870,2259,3029,489
11975,4079,3881,2261,3034,490
12000,4086,3890,2267,3041,490
12025,4093,3904,2275,3051,491
12050,4100,3914,2281,3059,492
12075,4112,3929,2289,3070,493
12100,4120,3943,2296,3083,495
12125,4127,3957,2307,3091,496
12150,4138,3974,2319,3103,497
12175,4143,3985,2327,3112,497
12200,4152,3998,2337,3123,497
12225,4155,4002,2343,3127,498
12250,4162,4010,2349,3134,498
12275,4169,4022,2358,3147,499
12300,4171,4032,2365,3154,499
12325,4180,4044,2370,3161,501
12350,4186,4052,2376,3168,503
12375,4194,4060,2380,3175,504
12400,4200,4067,2383,3178,505
12425,4207,4077,2389,3189,506
12450,4212,4087,2396,3196,507
12475,4217,4096,2400,3207,508
12500,4228,4109,2409,3220,508
12525,4236,4115,2412,3228,508
12550,4246,4126,2420,3238,510
12575,4254,4135,2429,3248,512
12600,4260,4149,2442,3264,513
12625,4264,4156,2447,3271,515
12650,4270,4166,2455,3280,516
12675,4277,4174,2459,3288,518
12700,4283,4180,2464,3294,520
12725,4287,4185,2466,3301,524
12750,4293,4192,2471,3311,525
12775,4300,4203,2476,3321,526
12800,4306,4214,2483,3330,526
12825,4309,4225,2492,3339,527
12850,4315,4235,2499,3348,527
12875,4320,4244,2506,3356,528
12900,4327,4255,2514,3365,529
12925,4334,4267,2519,3376,529
12950,4341,4276,2526,3386,529
12975,4347,4287,2531,3392,529
13000,4351,4293,2536,3397,532
13025,4355,4301,2542,3405,534
13050,4360,4313,2548,3411,536
13075,4365,4321,2555,3419,536
13100,4372,4329,2561,3426,536
13125,4379,4336,2567,3431,537
13150,4382,4347,2574,3437,538
13175,4389,4358,2580,3447,540
13200,4395,4372,2591,3459,541
13225,4400,4382,2597,3466,542
13250,4404,4389,2605,3470,543
13275,4406,4401,2611,3481,544
13300,4409,4407,2616,3486,547
13325,4418,4418,2625,3494,547
13350,4428,4426,2632,3501,547
13375,4434,4433,2638,3510,550
13400,4437,4441,2643,3517,551
13425,4439,4452,2649,3526,551
