Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0
25,76,0,1,0,38
50,188,0,1,0,94
75,258,0,1,0,170
100,450,0,1,0,267
125,560,0,1,0,437
150,802,0,1,0,562
175,934,0,2,0,697
200,1212,0,5,0,837
225,1212,0,7,0,1053
250,1358,0,11,0,1199
275,1358,0,13,0,1345
300,1504,0,19,0,1491
325,1504,0,23,0,1711
350,1504,0,26,0,1859
375,1504,0,31,0,2008
400,1504,0,41,0,2083
425,1654,0,47,0,2233
450,1654,0,57,0,2308
475,1654,0,63,0,2533
500,1654,0,76,0,2608
525,1654,0,85,0,2758
550,1654,0,95,0,2983
575,1654,0,104,0,3133
600,1654,0,112,0,3358
625,1804,0,119,0,3508
650,1804,0,128,0,3658
675,1804,0,141,0,3808
700,1804,0,154,0,3958
725,1804,0,162,0,4108
750,1804,0,172,0,4183
775,1804,0,181,0,4408
800,1954,0,188,0,4483
825,1954,0,198,0,4708
850,1954,0,203,0,4783
875,1954,0,216,0,4933
900,1954,0,227,0,5083
925,1954,0,237,0,5158
950,1954,0,251,0,5383
975,1954,0,262,0,5608
1000,1954,0,271,0,5833
1025,2104,0,279,0,6133
1050,2104,0,290,0,6208
1075,2104,0,303,0,6358
1100,2104,0,314,0,6433
1125,2104,0,323,0,6508
1150,2104,0,335,0,6658
1175,2104,0,345,0,6808
1200,2104,0,354,0,6958
1225,2104,0,366,0,7033
1250,2104,0,377,0,7258
1275,2254,0,391,0,7333
1300,2254,0,403,0,7483
1325,2254,0,413,0,7708
1350,2254,0,425,0,7858
1375,2254,0,437,0,8083
1400,2254,0,450,0,8158
1425,2254,0,459,0,8158
1450,2254,0,469,0,8383
1475,2254,0,478,0,8458
1500,2254,0,487,0,8683
1525,2254,0,501,0,8833
1550,2404,0,511,0,8908
1575,2404,0,522,0,9058
1600,2404,0,537,0,9208
1625,2404,0,547,0,9283
1650,2404,0,560,0,9583
1675,2404,0,573,0,9733
1700,2404,0,584,0,9808
1725,2404,0,596,0,9958
1750,2404,0,607,0,10183
1775,2404,0,617,0,10333
1800,2404,0,628,0,10408
1825,2404,0,641,0,10558
1850,2554,0,654,0,10783
1875,2554,0,664,0,10933
1900,2554,0,679,0,11083
1925,2554,0,690,0,11233
1950,2554,0,701,0,11308
1975,2554,0,715,0,11458
2000,2554,0,725,0,11533
2025,2554,0,735,0,11608
2050,2554,0,748,0,11758
2075,2554,0,765,0,11908
2100,2554,0,779,0,12058
2125,2554,0,797,0,12208
2150,2554,0,814,0,12358
2175,2554,0,833,0,12508
2200,2554,0,855,0,12658
2225,2704,0,876,0,12733
2250,2704,0,896,0,12883
2275,2704,0,917,0,13033
2300,2704,0,936,0,13183
2325,2704,0,953,0,13258
2350,2704,0,970,0,13258
2375,2704,0,990,0,13333
2400,2704,0,1011,0,13483
2425,2704,0,1028,0,13558
2450,2704,0,1048,0,13633
2475,2704,0,1066,0,13708
2500,2704,0,1087,0,13783
2525,2704,0,1107,0,13858
2550,2704,0,1128,0,13933
2575,2704,0,1146,0,14083
2600,2704,0,1163,0,14158
2625,2704,0,1178,0,14233
2650,2704,0,1198,0,14383
2675,2704,0,1214,0,14533
2700,2704,0,1238,0,14608
2725,2704,0,1254,0,14683
2750,2704,0,1274,0,14833
2775,2704,0,1295,0,14983
2800,2704,0,1313,0,15133
2825,2854,0,1335,0,15208
2850,2854,0,1354,0,15283
2875,2854,0,1372,0,15358
2900,2854,0,1392,0,15508
2925,2854,0,1413,0,15508
2950,2854,0,1431,0,15583
2975,2854,0,1451,0,15658
3000,2854,0,1474,0,15733
3025,2854,0,1494,0,15808
3050,2854,0,1513,0,15883
3075,2854,0,1531,0,15958
3100,2854,0,1551,0,16033
3125,2854,0,1570,0,16183
3150,2854,0,1593,0,16258
3175,2854,0,1609,0,16408
3200,2854,0,1629,0,16483
3225,2854,0,1648,0,16708
3250,2854,0,1667,0,16708
3275,2854,0,1687,0,16858
3300,2854,0,1705,0,16933
3325,2854,0,1727,0,17008
3350,2854,0,1744,0,17233
3375,2854,0,1761,0,17308
3400,3004,0,1781,0,17458
3425,3004,0,1795,0,17608
3450,3004,0,1811,0,17683
3475,3004,0,1831,0,17833
3500,3004,0,1846,0,17833
3525,3004,0,1866,0,17908
3550,3004,0,1882,0,17983
3575,3004,0,1903,0,18058
3600,3004,0,1919,0,18133
3625,3004,0,1936,0,18208
3650,3004,0,1952,0,18283
3675,3004,0,1975,0,18358
3700,3004,0,1993,0,18433
3725,3004,0,2005,0,18508
3750,3004,0,2022,0,18508
3775,3004,0,2042,0,18583
3800,3004,0,2062,0,18658
3825,3004,0,2077,0,18733
3850,3004,0,2095,0,18808
3875,3004,0,2111,0,18883
3900,3004,0,2126,0,18883
3925,3004,0,2143,0,18958
3950,3004,0,2161,0,19108
3975,3004,0,2180,0,19108
4000,3004,0,2196,0,19183
4025,3004,0,2208,0,19333
4050,3004,0,2224,0,19408
4075,3004,0,2239,0,19558
4100,3004,0,2254,0,19558
4125,3004,0,2270,0,19708
4150,3004,0,2284,0,19783
4175,3004,0,2299,0,19858
4200,3004,0,2321,0,19933
4225,3154,0,2339,0,20008
4250,3154,0,2358,0,20083
4275,3154,0,2376,0,20158
4300,3154,0,2395,0,20233
4325,3154,0,2409,0,20308
4350,3154,0,2427,0,20308
4375,3154,0,2448,0,20458
4400,3154,0,2466,0,20533
4425,3154,0,2486,0,20608
4450,3154,0,2502,0,20608
4475,3154,0,2520,0,20758
4500,3154,0,2536,0,20758
4525,3154,0,2553,0,20833
4550,3154,0,2570,0,20908
4575,3154,0,2585,0,20983
4600,3154,0,2604,0,21133
4625,3154,0,2624,0,21133
4650,3304,0,2638,0,21208
4675,3304,0,2655,0,21208
4700,3304,0,2670,0,21283
4725,3304,0,2685,0,21358
4750,3304,0,2707,0,21358
4775,3304,0,2720,0,21433
4800,3304,0,2737,0,21583
4825,3304,0,2752,0,21583
4850,3304,0,2772,0,21733
4875,3304,0,2787,0,21733
4900,3304,0,2803,0,21808
4925,3304,0,2823,0,21808
4950,3304,0,2841,0,21958
4975,3304,0,2857,0,21958
5000,3304,0,2872,0,21958
