Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
4775,2498,0,3586,0,1030,0
4800,2498,0,3611,0,1030,0
4825,2498,0,3634,0,1030,0
4850,2498,0,3658,0,1030,0
4875,2498,0,3680,0,1030,0
4900,2498,0,3705,0,1030,0
4925,2498,0,3730,0,1030,0
4950,2498,0,3754,0,1088,0
4975,2498,0,3778,0,1088,0
5000,2498,0,3803,0,1088,0
5025,2498,0,3828,0,1088,0
5050,2498,0,3852,4,1088,0
5075,2498,0,3877,4,1088,0
5100,2498,0,3902,4,1088,0
5125,2498,0,3927,8,1088,0
5150,2612,0,3951,8,1088,0
5175,2612,0,3976,8,1088,0
5200,2612,0,4000,14,1088,0
5225,2612,0,4025,14,1088,0
5250,2612,0,4048,14,1088,0
5275,2612,0,4072,16,1088,0
5300,2612,0,4097,16,1088,0
5325,2612,0,4122,16,1088,0
5350,2612,0,4147,22,1088,0
5375,2612,0,4170,22,1088,0
5400,2612,0,4194,22,1146,0
5425,2612,0,4219,26,1146,0
5450,2612,0,4243,26,1146,0
5475,2612,0,4267,26,1146,0
5500,2612,0,4291,28,1146,0
5525,2612,0,4313,28,1146,0
5550,2612,0,4337,28,1146,0
5575,2612,0,4361,32,1146,0
5600,2612,0,4386,32,1146,0
5625,2612,0,4411,32,1146,0
5650,2612,0,4434,36,1146,0
5675,2612,0,4457,36,1146,0
5700,2612,0,4481,36,1146,0
5725,2612,0,4503,44,1146,0
5750,2612,0,4526,44,1146,0
5775,2612,0,4550,44,1146,0
5800,2612,0,4573,46,1146,0
5825,2726,0,4595,46,1204,0
5850,2726,0,4619,46,1204,0
5875,2726,0,4641,48,1204,0
5900,2726,0,4663,48,1204,0
5925,2726,0,4687,48,1204,0
5950,2726,0,4708,50,1204,0
5975,2726,0,4732,50,1204,0
6000,2726,0,4755,50,1204,0
6025,2726,0,4778,52,1204,0
6050,2726,0,4803,52,1204,0
6075,2726,0,4824,52,1204,0
6100,2726,0,4848,54,1204,0
6125,2726,0,4871,54,1204,0
6150,2726,0,4893,54,1204,0
6175,2726,0,4916,62,1204,0
6200,2726,0,4940,62,1204,0
6225,2726,0,4964,62,1204,0
6250,2726,0,4987,68,1204,0
6275,2726,0,5012,68,1204,0
6300,2726,0,5035,68,1204,0
6325,2726,0,5056,70,1204,0
6350,2726,0,5078,70,1204,0
6375,2726,0,5097,70,1262,0
6400,2726,0,5121,74,1262,0
6425,2726,0,5142,74,1262,0
6450,2726,0,5165,74,1262,0
6475,2840,0,5186,76,1262,0
6500,2840,0,5208,76,1262,0
6525,2840,0,5229,76,1262,0
6550,2840,0,5251,88,1262,0
6575,2840,0,5271,88,1262,0
6600,2840,0,5292,88,1262,0
6625,2840,0,5315,90,1262,0
6650,2840,0,5337,90,1262,0
6675,2840,0,5360,90,1262,0
6700,2840,0,5381,92,1320,0
6725,2840,0,5405,92,1320,0
6750,2840,0,5427,92,1320,0
6775,2840,0,5450,94,1320,0
6800,2840,0,5471,94,1320,0
6825,2840,0,5495,94,1320,0
6850,2840,0,5519,108,1320,0
6875,2840,0,5542,108,1320,0
6900,2840,0,5562,108,1320,0
6925,2840,0,5585,110,1320,0
6950,2840,0,5609,110,1320,0
6975,2840,0,5628,110,1320,0
7000,2840,0,5652,114,1320,0
7025,2840,0,5676,114,1320,0
7050,2840,0,5701,114,1320,0
7075,2840,0,5723,116,1320,0
7100,2840,0,5744,116,1320,0
7125,2840,0,5767,116,1320,0
7150,2840,0,5791,124,1320,0
7175,2954,0,5815,124,1320,0
7200,2954,0,5837,124,1320,0
7225,2954,0,5859,128,1378,0
7250,2954,0,5880,128,1378,0
7275,2954,0,5905,128,1378,0
7300,2954,0,5927,134,1378,0
7325,2954,0,5952,134,1378,0
7350,2954,0,5976,134,1378,0
7375,2954,0,5999,136,1378,0
7400,2954,0,6021,136,1378,0
7425,2954,0,6043,136,1378,0
7450,2954,0,6064,138,1378,0
7475,2954,0,6085,138,1378,0
7500,2954,0,6109,138,1378,0
7525,2954,0,6131,148,1378,0
7550,2954,0,6155,148,1378,0
7575,2954,0,6175,148,1378,0
7600,2954,0,6196,150,1378,0
7625,2954,0,6221,150,1378,0
7650,2954,0,6243,150,1378,0
7675,2954,0,6265,152,1436,0
7700,2954,0,6286,152,1436,0
7725,2954,0,6311,152,1436,0
7750,2954,0,6330,154,1436,0
7775,2954,0,6353,154,1436,0
7800,2954,0,6373,154,1436,0
7825,2954,0,6396,156,1436,0
7850,2954,0,6416,156,1436,0
7875,2954,0,6437,156,1436,0
7900,2954,0,6456,158,1436,0
7925,2954,0,6478,158,1436,0
7950,2954,0,6497,158,1436,0
7975,2954,0,6518,160,1436,0
8000,3068,0,6539,160,1436,0
8025,3068,0,6561,160,1436,0
8050,3068,0,6582,164,1436,0
8075,3068,0,6603,164,1436,0
8100,3068,0,6624,164,1436,0
8125,3068,0,6644,166,1436,0
8150,3068,0,6665,166,1436,0
8175,3068,0,6684,166,1436,0
8200,3068,0,6704,168,1436,0
8225,3068,0,6718,168,1436,0
8250,3068,0,6738,168,1436,0
8275,3068,0,6758,170,1436,0
8300,3068,0,6778,170,1436,0
8325,3068,0,6800,170,1494,0
8350,3068,0,6820,182,1494,0
8375,3068,0,6837,182,1494,0
8400,3068,0,6861,182,1494,0
8425,3068,0,6882,184,1494,0
8450,3068,0,6902,184,1494,0
8475,3068,0,6921,184,1494,0
8500,3068,0,6941,186,1494,0
8525,3068,0,6960,186,1494,0
8550,3068,0,6978,186,1494,0
8575,3068,0,6998,190,1494,0
8600,3068,0,7019,190,1494,0
8625,3068,0,7040,190,1494,0
8650,3068,0,7060,194,1494,0
8675,3068,0,7080,194,1494,0
8700,3068,0,7102,194,1494,0
8725,3068,0,7121,200,1494,0
8750,3068,0,7143,200,1494,0
8775,3068,0,7162,200,1494,0
8800,3068,0,7179,204,1494,0
8825,3068,0,7200,204,1494,0
8850,3068,0,7217,204,1552,0
8875,3068,0,7232,206,1552,0
8900,3068,0,7253,206,1552,0
8925,3182,0,7271,206,1552,0
8950,3182,0,7288,210,1552,0
8975,3182,0,7307,210,1552,0
9000,3182,0,7327,210,1552,0
9025,3182,0,7349,212,1552,0
9050,3182,0,7370,212,1552,0
