Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,0,1
50,3,2,2,0,2
75,4,2,2,3,3
100,9,3,3,3,3
125,12,6,7,4,4
150,17,8,9,6,5
175,27,11,11,6,5
200,37,15,13,7,7
225,51,17,16,9,7
250,64,20,19,10,9
275,78,20,19,11,12
300,85,22,23,12,16
325,94,22,23,13,17
350,109,25,24,13,19
375,122,28,25,17,21
400,132,30,26,18,21
425,148,33,30,19,22
450,162,36,34,21,22
475,175,37,37,24,24
500,190,44,39,24,24
525,199,47,40,25,26
550,212,50,42,27,27
575,224,52,44,27,28
600,239,56,47,29,31
625,253,60,50,31,32
650,271,63,52,33,32
675,287,66,54,34,34
700,298,70,57,34,34
725,313,74,61,37,36
750,326,80,64,38,36
775,339,84,68,40,37
800,359,86,71,40,38
825,373,86,72,43,38
850,391,90,77,43,38
875,406,95,81,43,39
900,420,101,84,44,39
925,431,104,86,44,41
950,441,111,91,47,41
975,454,111,93,48,41
1000,463,112,96,51,42
1025,478,116,98,53,42
1050,490,123,101,54,42
1075,499,130,104,54,44
1100,513,136,107,55,46
1125,523,139,109,55,47
1150,534,144,111,56,47
1175,543,146,113,58,47
1200,551,151,119,61,47
1225,560,156,123,62,47
1250,576,164,130,62,47
1275,588,170,134,64,47
1300,600,177,140,65,47
1325,610,182,144,65,47
1350,620,183,146,67,47
1375,633,189,148,67,48
1400,645,193,149,69,48
1425,654,196,151,69,49
1450,669,198,155,69,52
1475,679,202,159,70,55
1500,686,205,161,71,56
1525,699,209,163,75,56
1550,711,213,165,84,56
1575,722,219,167,91,58
1600,736,223,171,102,58
1625,749,228,174,109,61
1650,759,235,181,118,64
1675,769,244,183,126,65
1700,781,251,188,133,65
1725,790,256,194,142,67
1750,798,260,198,147,67
1775,807,270,200,152,67
1800,818,274,202,156,68
1825,827,277,205,163,70
1850,831,278,208,168,70
1875,843,285,211,181,70
1900,850,289,212,189,72
1925,857,295,216,195,73
1950,863,297,217,199,74
1975,873,303,218,203,75
2000,885,309,222,212,76
2025,897,314,227,221,77
2050,906,318,230,226,78
2075,912,326,233,232,80
2100,922,332,237,243,80
2125,932,340,243,256,81
2150,937,345,247,259,82
2175,944,351,249,263,82
2200,952,358,252,269,82
2225,959,364,258,281,84
2250,973,371,262,288,84
2275,988,378,268,296,84
2300,1001,384,272,304,84
2325,1013,390,275,315,85
2350,1025,395,278,323,86
2375,1032,400,280,327,87
2400,1044,406,283,335,87
2425,1058,413,285,343,88
2450,1067,419,289,352,89
2475,1077,424,291,360,89
2500,1085,429,294,371,89
2525,1095,434,298,379,90
2550,1105,439,300,387,90
2575,1113,447,303,397,90
2600,1122,455,307,406,91
2625,1128,458,309,413,91
2650,1136,464,312,423,93
2675,1143,464,312,430,93
2700,1148,470,314,438,95
2725,1157,477,318,449,96
2750,1164,481,321,455,96
2775,1174,484,322,462,96
2800,1182,490,324,469,97
2825,1194,499,328,477,100
2850,1198,502,329,478,101
2875,1209,508,330,490,102
2900,1215,516,334,499,106
2925,1221,521,336,507,106
2950,1228,525,340,516,107
2975,1236,530,344,521,108
3000,1245,539,346,526,109
3025,1256,551,351,533,111
3050,1268,559,354,544,114
3075,1277,567,360,553,115
3100,1285,575,361,563,116
3125,1293,578,363,569,116
3150,1297,583,365,572,118
3175,1304,591,368,576,119
3200,1317,600,372,585,119
3225,1329,610,374,592,119
3250,1340,614,377,601,120
3275,1350,619,382,610,121
3300,1359,626,388,618,122
3325,1366,633,394,622,124
3350,1373,643,399,628,125
3375,1379,647,401,634,125
3400,1390,656,407,639,126
3425,1397,661,410,646,126
3450,1407,665,415,654,126
3475,1413,671,418,657,126
3500,1424,675,423,663,126
3525,1433,678,428,671,126
3550,1440,689,430,676,126
3575,1447,697,433,686,126
3600,1454,707,435,691,127
3625,1462,713,441,696,127
3650,1473,720,441,704,128
3675,1479,730,446,710,129
3700,1490,734,447,718,133
3725,1499,740,449,725,133
3750,1509,747,455,734,135
3775,1517,754,460,741,136
3800,1526,763,468,748,138
3825,1533,770,471,754,139
3850,1544,774,473,765,139
3875,1554,783,475,773,141
3900,1564,790,478,782,142
3925,1572,797,481,788,143
3950,1579,804,486,798,144
3975,1589,813,490,809,145
4000,1598,820,494,816,147
4025,1605,831,496,823,148
4050,1613,844,502,831,150
4075,1624,852,504,838,151
4100,1631,860,508,846,152
4125,1639,864,510,855,154
4150,1648,872,513,864,155
4175,1659,878,516,874,155
4200,1671,883,518,885,156
4225,1679,888,523,895,158
4250,1683,891,526,901,159
4275,1695,898,529,906,162
4300,1705,904,530,912,164
4325,1712,909,533,914,165
4350,1722,921,536,926,167
4375,1730,929,539,931,168
4400,1739,937,543,938,170
4425,1748,943,547,946,171
4450,1755,950,551,955,172
4475,1763,956,555,962,172
4500,1773,966,560,969,175
4525,1782,979,566,976,176
4550,1792,989,573,982,176
4575,1803,997,577,990,177
4600,1816,1004,581,999,178
4625,1823,1012,589,1005,179
4650,1836,1018,592,1012,180
4675,1847,1023,597,1022,181
4700,1857,1034,602,1029,182
4725,1866,1042,610,1035,183
4750,1875,1050,614,1043,186
4775,1884,1058,621,1054,186
4800,1893,1070,628,1065,187
4825,1902,1080,634,1073,189
4850,1911,1090,640,1082,190
4875,1921,1100,646,1090,190
4900,1931,1107,650,1101,193
4925,1940,1115,652,1108,195
