Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
2450,1061,288,255,101,675,664,106
2475,1074,293,259,101,684,671,108
2500,1082,299,264,101,693,673,109
2525,1091,301,266,101,696,677,112
2550,1102,308,268,104,703,680,112
2575,1113,312,273,105,708,685,114
2600,1122,315,277,105,712,686,114
2625,1131,319,282,105,720,687,114
2650,1141,323,284,106,724,690,115
2675,1148,329,291,107,728,693,119
2700,1158,333,293,108,732,694,119
2725,1167,335,296,108,738,697,120
2750,1179,338,299,109,749,700,121
2775,1189,341,302,109,752,703,122
2800,1202,349,311,111,757,708,125
2825,1212,356,315,113,762,711,126
2850,1222,368,322,115,770,714,126
2875,1238,375,326,116,779,719,126
2900,1245,380,331,118,785,723,126
2925,1258,386,334,118,789,730,128
2950,1269,390,335,118,795,736,128
2975,1277,394,337,118,798,740,130
3000,1291,397,339,118,803,742,131
3025,1302,404,346,118,814,751,134
3050,1315,410,349,118,822,755,135
3075,1327,416,356,120,832,762,136
3100,1339,422,359,120,843,766,137
3125,1349,427,361,120,849,768,139
3150,1359,433,367,122,859,775,143
3175,1373,439,371,124,866,778,143
3200,1386,444,379,125,874,782,145
3225,1400,451,382,125,884,786,146
3250,1414,455,383,126,891,789,147
3275,1421,459,387,126,902,794,147
3300,1432,463,391,126,912,795,147
3325,1441,470,392,128,919,797,149
3350,1450,475,397,128,926,800,150
3375,1459,481,399,130,934,806,150
3400,1470,485,401,130,941,811,152
3425,1481,489,403,132,945,811,154
3450,1491,496,405,134,953,814,154
3475,1499,500,406,136,959,818,154
3500,1512,507,412,136,969,827,155
3525,1522,511,417,136,976,830,155
3550,1532,517,422,137,987,833,156
3575,1544,527,424,138,997,840,156
3600,1553,535,427,138,1004,843,158
3625,1563,540,431,139,1014,848,159
3650,1572,545,433,140,1025,854,159
3675,1583,548,435,140,1032,856,159
3700,1595,555,439,141,1038,860,159
3725,1607,561,445,143,1045,864,159
3750,1616,565,448,143,1051,868,159
3775,1628,569,451,143,1059,872,159
3800,1639,575,456,143,1069,874,160
3825,1650,579,460,144,1075,880,161
3850,1661,585,465,146,1085,884,163
3875,1678,592,468,147,1095,888,164
3900,1692,600,470,148,1105,892,167
3925,1705,603,472,149,1118,896,168
3950,1717,610,474,149,1127,900,169
3975,1729,620,480,150,1138,905,169
4000,1742,631,483,152,1146,910,171
4025,1755,636,487,153,1154,913,172
4050,1765,641,489,153,1161,918,172
4075,1773,648,491,154,1165,924,172
4100,1781,653,493,155,1175,931,173
4125,1792,659,497,157,1187,938,174
4150,1804,663,500,159,1195,943,175
4175,1813,669,505,159,1203,951,177
4200,1822,679,507,161,1210,960,179
4225,1828,682,510,162,1215,963,180
4250,1837,690,514,163,1221,970,180
4275,1844,698,518,164,1232,973,181
4300,1850,703,521,166,1242,976,181
4325,1857,712,526,168,1250,981,183
4350,1865,716,528,169,1255,984,183
4375,1875,724,531,170,1265,990,183
4400,1884,728,535,170,1270,993,183
4425,1890,731,539,171,1274,996,185
4450,1897,737,544,172,1280,1000,186
4475,1905,740,547,173,1285,1002,187
4500,1916,743,551,173,1289,1008,189
4525,1926,749,556,174,1298,1013,189
4550,1941,758,562,175,1306,1018,189
4575,1945,765,567,176,1312,1025,189
4600,1955,772,570,179,1319,1029,192
4625,1964,783,578,179,1325,1034,193
4650,1970,786,580,180,1331,1041,194
4675,1982,789,583,181,1334,1042,194
4700,1989,794,588,181,1341,1044,195
4725,1994,799,592,183,1352,1050,195
4750,2001,808,595,184,1362,1053,195
4775,2010,814,600,184,1372,1058,197
4800,2016,819,603,184,1379,1061,198
4825,2026,825,606,187,1387,1064,200
4850,2032,831,607,188,1396,1064,200
4875,2042,837,609,190,1409,1070,202
4900,2052,843,612,190,1417,1077,202
4925,2063,851,614,192,1427,1082,202
4950,2073,859,618,194,1432,1089,202
4975,2079,864,621,195,1437,1091,203
5000,2089,871,624,195,1445,1094,206
5025,2097,875,626,201,1452,1097,206
5050,2110,883,631,208,1463,1103,208
5075,2117,890,636,214,1472,1108,208
5100,2126,897,636,217,1480,1109,210
5125,2137,907,638,225,1490,1110,211
5150,2146,918,644,236,1499,1116,214
5175,2158,920,645,242,1505,1119,215
5200,2168,927,650,252,1514,1125,216
5225,2176,932,654,258,1520,1130,216
5250,2184,941,655,265,1528,1133,216
5275,2193,945,657,276,1536,1135,216
5300,2203,951,658,283,1539,1141,216
5325,2213,959,660,287,1546,1148,217
5350,2221,967,664,294,1552,1149,217
5375,2229,973,665,298,1558,1152,217
5400,2243,984,669,305,1567,1154,217
5425,2251,994,675,314,1573,1155,219
5450,2263,1005,679,319,1582,1160,219
5475,2272,1013,683,326,1588,1165,219
5500,2286,1024,687,331,1596,1172,220
5525,2297,1036,690,338,1605,1178,220
5550,2306,1042,691,344,1613,1180,221
5575,2314,1049,695,352,1620,1186,222
5600,2322,1059,699,360,1625,1191,223
5625,2332,1068,700,365,1630,1193,223
5650,2340,1072,703,374,1638,1195,225
5675,2353,1080,711,384,1646,1204,226
5700,2361,1086,715,391,1654,1208,226
5725,2370,1090,717,395,1661,1212,228
5750,2377,1094,718,402,1666,1215,229
5775,2386,1101,721,412,1675,1222,230
5800,2394,1106,723,416,1681,1223,233
5825,2402,1110,727,422,1685,1225,234
5850,2407,1118,733,432,1695,1230,234
5875,2418,1124,734,439,1703,1236,234
5900,2431,1131,737,447,1711,1239,236
5925,2440,1140,743,454,1720,1245,239
5950,2449,1148,749,466,1731,1248,239
5975,2457,1158,756,475,1742,1251,241
6000,2468,1164,759,480,1749,1256,244
6025,2479,1169,762,488,1754,1258,244
6050,2490,1178,770,496,1766,1263,245
6075,2499,1184,773,503,1772,1267,245
6100,2509,1186,774,511,1781,1267,246
6125,2515,1193,779,521,1788,1271,247
6150,2527,1203,782,529,1798,1275,248
6175,2541,1210,786,536,1806,1279,249
6200,2551,1212,787,539,1810,1281,252
6225,2559,1221,791,546,1822,1285,253
6250,2568,1226,794,551,1828,1289,254
6275,2575,1235,801,555,1833,1295,254
6300,2586,1246,807,565,1842,1298,256
6325,2594,1248,809,572,1846,1301,257
6350,2602,1253,814,580,1851,1303,257
6375,2613,1262,818,588,1858,1307,259
6400,2621,1267,821,596,1864,1310,260
6425,2632,1276,825,605,1871,1313,260
6450,2642,1283,830,613,1878,1317,260
6475,2652,1293,836,620,1887,1322,262
6500,2664,1299,839,632,1894,1328,262
6525,2672,1306,842,638,1905,1331,262
6550,2684,1312,846,647,1916,1334,262
6575,2697,1316,850,654,1923,1337,262
6600,2707,1322,854,660,1929,1339,262
6625,2717,1329,861,666,1938,1341,264
6650,2727,1338,866,676,1946,1347,265
6675,2736,1342,868,683,1953,1350,267
6700,2744,1351,872,688,1962,1357,270
6725,2751,1353,877,698,1967,1360,271
6750,2760,1359,880,704,1975,1364,272
6775,2768,1365,882,713,1982,1367,273
6800,2779,1373,884,718,1991,1370,275
6825,2786,1378,888,725,1997,1372,277
6850,2792,1385,889,730,2005,1374,278
6875,2805,1392,892,735,2013,1377,281
6900,2819,1403,896,745,2026,1381,281
6925,2825,1408,900,752,2036,1381,283
6950,2838,1416,905,762,2048,1384,284
6975,2842,1424,906,770,2059,1385,286
7000,2851,1435,911,778,2067,1387,286
7025,2861,1443,916,780,2072,1391,288
7050,2870,1450,926,790,2086,1396,289
7075,2881,1459,928,797,2097,1398,290
7100,2892,1469,934,806,2107,1404,291
7125,2904,1478,937,815,2116,1408,295
7150,2912,1486,940,822,2123,1410,295
7175,2922,1494,946,828,2136,1414,297
7200,2933,1505,949,835,2143,1416,297
7225,2944,1516,954,843,2153,1419,298
7250,2956,1527,965,854,2164,1424,298
7275,2965,1539,972,861,2176,1428,300
7300,2979,1548,974,873,2188,1433,302
7325,2990,1557,977,886,2197,1436,302
7350,2997,1569,983,894,2205,1441,305
7375,3007,1575,988,901,2214,1441,305
7400,3017,1580,993,907,2224,1443,305
7425,3027,1585,993,915,2236,1444,305
7450,3037,1592,995,917,2245,1446,305
7475,3045,1599,999,924,2255,1451,307
7500,3052,1607,1003,929,2261,1458,307
7525,3061,1615,1007,935,2271,1459,307
7550,3071,1622,1012,946,2280,1461,309
7575,3082,1630,1017,956,2292,1464,310
7600,3093,1640,1020,964,2304,1469,312
7625,3104,1646,1024,974,2317,1473,313
7650,3111,1656,1028,979,2327,1475,314
7675,3121,1666,1032,986,2341,1478,317
7700,3132,1676,1035,994,2352,1483,317
7725,3143,1684,1041,1003,2363,1487,317
7750,3154,1694,1048,1013,2374,1493,318
7775,3160,1702,1052,1020,2383,1495,318
7800,3165,1713,1059,1030,2392,1500,318
7825,3172,1724,1066,1041,2402,1501,320
7850,3182,1729,1069,1046,2405,1501,322
7875,3193,1737,1076,1056,2415,1507,322
7900,3202,1746,1079,1066,2423,1509,323
7925,3209,1753,1082,1074,2428,1513,323
7950,3219,1759,1087,1081,2435,1517,324
7975,3228,1771,1094,1087,2443,1520,326
8000,3239,1779,1101,1097,2452,1524,326
8025,3247,1793,1107,1111,2464,1529,329
8050,3256,1803,1114,1123,2475,1534,329
8075,3262,1808,1117,1131,2483,1537,330
8100,3270,1814,1121,1139,2491,1541,331
8125,3279,1822,1125,1147,2500,1543,334
8150,3289,1827,1131,1157,2511,1548,336
8175,3297,1836,1138,1163,2519,1556,338
8200,3304,1842,1140,1173,2531,1559,339
8225,3316,1849,1143,1183,2540,1567,341
8250,3321,1858,1148,1188,2549,1571,341
8275,3332,1867,1154,1199,2559,1577,341
8300,3342,1877,1161,1209,2571,1581,343
8325,3347,1886,1166,1220,2577,1586,344
8350,3352,1893,1167,1225,2581,1588,345
8375,3361,1902,1174,1233,2588,1592,347
8400,3371,1913,1178,1245,2602,1597,349
8425,3380,1923,1185,1253,2612,1599,351
8450,3386,1929,1192,1259,2617,1605,352
8475,3395,1935,1195,1266,2626,1609,353
8500,3399,1945,1198,1272,2634,1612,353
8525,3408,1957,1208,1283,2646,1619,356
8550,3413,1965,1210,1288,2653,1622,357
8575,3421,1971,1216,1296,2662,1623,357
8600,3427,1975,1218,1306,2673,1627,358
8625,3434,1980,1221,1309,2678,1633,362
8650,3441,1985,1223,1316,2685,1635,363
8675,3451,1996,1230,1326,2690,1641,365
8700,3455,2003,1236,1335,2702,1645,365
8725,3463,2010,1239,1343,2708,1647,365
8750,3467,2019,1244,1356,2720,1650,367
8775,3473,2028,1249,1363,2730,1654,369
8800,3480,2036,1251,1372,2737,1655,369
8825,3487,2041,1255,1379,2744,1658,371
8850,3497,2051,1260,1388,2754,1663,372
8875,3505,2056,1264,1397,2760,1665,372
8900,3512,2063,1265,1406,2765,1669,375
8925,3520,2076,1272,1418,2777,1675,376
8950,3523,2083,1277,1422,2781,1675,377
8975,3536,2091,1281,1434,2791,1679,378
9000,3541,2103,1292,1442,2804,1684,378
9025,3547,2112,1295,1449,2812,1686,382
9050,3551,2119,1300,1456,2820,1687,382
9075,3558,2133,1309,1469,2830,1688,384
9100,3562,2140,1315,1478,2836,1690,384
9125,3575,2149,1320,1488,2850,1693,385
9150,3582,2158,1330,1498,2863,1697,386
9175,3586,2162,1335,1507,2874,1699,386
9200,3596,2168,1339,1519,2885,1701,386
9225,3598,2176,1343,1526,2893,1702,387
9250,3606,2183,1348,1537,2908,1705,389
9275,3612,2191,1352,1546,2920,1708,392
9300,3620,2197,1357,1554,2933,1710,392
9325,3628,2206,1361,1563,2940,1711,393
9350,3633,2213,1366,1573,2945,1711,395
9375,3640,2221,1370,1582,2956,1714,396
9400,3651,2229,1374,1595,2968,1716,397
9425,3662,2240,1378,1607,2983,1717,398
9450,3673,2249,1382,1617,2991,1722,399
9475,3680,2252,1386,1627,2999,1727,400
9500,3687,2262,1388,1640,3010,1728,401
9525,3695,2273,1393,1652,3021,1729,402
9550,3701,2286,1398,1657,3030,1731,404
9575,3707,2292,1402,1667,3040,1736,404
9600,3713,2304,1408,1678,3049,1740,404
9625,3724,2309,1411,1686,3057,1743,404
9650,3733,2321,1414,1694,3069,1745,404
9675,3739,2326,1418,1698,3075,1747,404
9700,3745,2335,1426,1710,3086,1753,405
9725,3753,2344,1428,1717,3093,1755,405
9750,3755,2354,1433,1726,3102,1757,408
9775,3762,2363,1438,1735,3115,1758,411
9800,3769,2372,1444,1747,3127,1762,413
9825,3775,2377,1447,1754,3132,1764,415
9850,3782,2387,1452,1766,3141,1765,415
9875,3789,2395,1455,1775,3146,1766,418
9900,3796,2406,1458,1786,3155,1773,418
9925,3803,2416,1462,1796,3164,1778,419
9950,3808,2428,1470,1809,3174,1781,422
9975,3814,2438,1472,1819,3182,1783,422
10000,3820,2447,1474,1826,3192,1785,423
10025,3828,2459,1482,1837,3207,1788,426
10050,3833,2465,1483,1845,3214,1790,428
10075,3838,2473,1486,1851,3220,1794,429
10100,3843,2479,1487,1858,3230,1796,431
10125,3851,2486,1490,1866,3241,1797,431
10150,3859,2498,1496,1877,3249,1800,432
10175,3866,2505,1501,1883,3254,1800,433
10200,3868,2513,1505,1890,3259,1802,435
10225,3875,2523,1514,1900,3272,1804,435
10250,3882,2532,1519,1907,3280,1807,436
10275,3888,2538,1520,1914,3286,1808,436
10300,3898,2548,1528,1924,3295,1813,438
10325,3903,2555,1531,1933,3303,1817,440
10350,3907,2560,1535,1936,3306,1818,441
10375,3910,2571,1543,1941,3320,1822,443
10400,3917,2582,1549,1949,3331,1828,443
10425,3922,2589,1554,1962,3340,1831,444
10450,3927,2595,1560,1970,3346,1837,447
10475,3936,2604,1564,1980,3356,1841,448
10500,3942,2614,1570,1989,3366,1845,448
10525,3951,2623,1575,1997,3374,1846,451
10550,3957,2632,1582,2009,3385,1850,454
10575,3962,2638,1587,2019,3396,1853,455
10600,3969,2648,1593,2024,3404,1856,456
10625,3976,2655,1595,2032,3411,1859,456
10650,3983,2661,1599,2038,3419,1861,457
10675,3992,2672,1607,2045,3430,1864,459
10700,3994,2679,1612,2052,3437,1865,460
10725,3999,2687,1618,2058,3443,1868,462
10750,4005,2693,1621,2068,3454,1871,463
10775,4014,2701,1627,2079,3465,1872,465
10800,4022,2711,1634,2088,3477,1875,467
10825,4030,2723,1643,2098,3490,1879,468
10850,4038,2731,1648,2104,3497,1880,471
10875,4047,2740,1657,2115,3505,1882,473
10900,4054,2750,1662,2123,3511,1885,473
10925,4060,2757,1665,2133,3519,1886,473
10950,4067,2765,1672,2138,3531,1890,473
10975,4077,2777,1675,2145,3542,1893,473
11000,4085,2790,1684,2156,3553,1901,473
11025,4089,2793,1686,2161,3561,1906,476
11050,4096,2802,1693,2172,3572,1911,477
11075,4103,2815,1698,2184,3585,1915,480
11100,4109,2822,1702,2191,3595,1923,481
11125,4110,2827,1708,2196,3600,1927,483
11150,4113,2831,1710,2199,3609,1928,484
11175,4116,2843,1717,2204,3618,1929,485
11200,4127,2851,1724,2211,3627,1934,486
11225,4135,2857,1729,2217,3634,1938,488
11250,4138,2861,1732,2222,3640,1939,488
11275,4146,2866,1735,2231,3648,1943,488
11300,4153,2877,1747,2237,3660,1946,489
11325,4163,2886,1754,2245,3669,1952,490
11350,4171,2894,1761,2251,3676,1954,491
11375,4178,2904,1766,2259,3685,1955,492
11400,4184,2910,1773,2268,3695,1956,494
11425,4190,2918,1776,2276,3703,1959,495
11450,4197,2928,1784,2283,3715,1961,495
11475,4204,2941,1789,2288,3725,1966,496
11500,4212,2951,1796,2298,3738,1971,497
11525,4217,2962,1807,2307,3750,1974,497
11550,4224,2970,1811,2315,3758,1976,498
11575,4229,2977,1817,2325,3768,1978,499
11600,4235,2987,1824,2334,3778,1981,500
11625,4242,2997,1831,2346,3790,1983,501
11650,4248,3004,1837,2353,3802,1987,502
11675,4253,3012,1845,2363,3819,1991,502
11700,4262,3016,1848,2367,3829,1993,502
11725,4269,3029,1853,2378,3843,1995,502
11750,4275,3038,1859,2387,3853,1999,504
11775,4285,3048,1864,2392,3866,2002,507
11800,4296,3057,1872,2402,3878,2009,507
11825,4304,3066,1878,2409,3888,2013,510
11850,4307,3073,1885,2417,3898,2013,511
11875,4312,3082,1894,2427,3907,2016,512
11900,4318,3092,1903,2436,3921,2018,513
11925,4322,3101,1910,2442,3931,2021,513
11950,4327,3109,1918,2454,3942,2025,513
11975,4336,3119,1927,2463,3955,2029,515
12000,4341,3123,1935,2470,3960,2033,516
12025,4346,3131,1942,2476,3970,2037,517
12050,4355,3136,1946,2483,3978,2039,520
12075,4359,3145,1956,2497,3989,2039,520
12100,4365,3156,1962,2507,3999,2040,521
12125,4369,3164,1968,2516,4011,2041,524
12150,4375,3172,1974,2525,4019,2042,526
12175,4381,3182,1982,2532,4028,2044,528
12200,4388,3189,1985,2536,4037,2045,528
12225,4392,3200,1992,2545,4046,2046,529
12250,4399,3210,1996,2555,4056,2049,530
12275,4404,3218,2000,2560,4063,2053,530
12300,4415,3232,2009,2572,4076,2057,532
12325,4425,3241,2015,2579,4086,2062,532
12350,4434,3250,2020,2590,4098,2066,533
12375,4440,3256,2024,2599,4104,2069,533
12400,4447,3266,2030,2603,4118,2070,535
12425,4453,3274,2032,2608,4122,2073,536
12450,4459,3279,2035,2613,4127,2073,538
12475,4470,3288,2038,2622,4134,2076,539
12500,4479,3298,2046,2629,4141,2082,541
12525,4489,3314,2055,2643,4155,2091,541
12550,4496,3319,2059,2649,4161,2093,542
12575,4498,3326,2065,2656,4170,2094,546
12600,4505,3336,2074,2664,4177,2097,548
12625,4515,3345,2079,2675,4184,2101,551
12650,4521,3357,2088,2690,4191,2105,551
12675,4530,3366,2096,2697,4200,2108,552
12700,4539,3376,2102,2709,4211,2108,556
12725,4546,3386,2108,2717,4217,2109,558
12750,4552,3394,2114,2722,4226,2112,558
12775,4557,3406,2124,2732,4236,2118,558
12800,4565,3418,2133,2744,4248,2121,558
12825,4572,3427,2137,2756,4258,2123,558
12850,4580,3442,2145,2767,4269,2128,559
12875,4585,3452,2147,2776,4274,2130,559
12900,4591,3458,2154,2788,4281,2133,561
12925,4597,3468,2161,2795,4287,2136,561
12950,4604,3474,2166,2803,4293,2141,563
12975,4610,3483,2171,2810,4302,2143,563
13000,4618,3495,2175,2819,4312,2147,564
13025,4623,3504,2181,2829,4324,2152,565
13050,4630,3514,2188,2839,4336,2154,565
13075,4639,3524,2194,2846,4345,2155,565
13100,4648,3534,2201,2860,4352,2158,567
13125,4656,3545,2205,2867,4360,2161,568
13150,4668,3552,2209,2876,4366,2162,570
13175,4675,3556,2214,2882,4372,2164,570
13200,4680,3567,2222,2892,4383,2168,571
13225,4686,3575,2229,2903,4392,2172,573
13250,4691,3580,2233,2911,4399,2172,574
13275,4698,3591,2240,2923,4411,2175,575
13300,4704,3602,2246,2934,4421,2180,576
13325,4707,3608,2249,2937,4426,2182,577
13350,4710,3616,2253,2947,4432,2185,577
13375,4713,3624,2259,2954,4439,2187,578
13400,4717,3632,2266,2964,4447,2190,579
13425,4723,3639,2271,2972,4459,2192,580
13450,4728,3645,2276,2981,4465,2194,581
13475,4735,3654,2283,2991,4476,2200,582
13500,4739,3665,2289,2999,4481,2200,584
13525,4747,3672,2296,3006,4488,2201,585
13550,4752,3678,2300,3013,4496,2204,585
13575,4758,3685,2306,3020,4507,2206,586
13600,4763,3692,2313,3030,4515,2207,587
13625,4768,3703,2324,3036,4525,2214,587
13650,4772,3711,2331,3047,4532,2218,587
13675,4777,3722,2341,3056,4541,2223,589
13700,4780,3728,2347,3062,4549,2227,591
13725,4785,3732,2349,3067,4553,2231,591
13750,4799,3748,2358,3083,4569,2236,591
13775,4808,3762,2369,3093,4584,2241,591
13800,4816,3772,2378,3105,4598,2245,592
13825,4818,3777,2384,3112,4606,2246,592
13850,4824,3784,2389,3117,4614,2248,592
13875,4826,3791,2394,3121,4623,2250,595
13900,4835,3801,2401,3130,4634,2251,596
13925,4837,3810,2406,3139,4643,2253,598
13950,4843,3816,2412,3148,4649,2257,600
13975,4852,3823,2416,3157,4657,2258,600
14000,4859,3830,2421,3165,4665,2259,600
14025,4867,3839,2428,3173,4675,2262,600
14050,4873,3846,2434,3181,4680,2266,600
14075,4881,3857,2440,3189,4689,2269,600
14100,4889,3868,2452,3197,4700,2272,603
14125,4896,3877,2458,3206,4709,2273,604
14150,4903,3884,2462,3214,4718,2275,605
14175,4911,3894,2472,3220,4725,2278,606
14200,4916,3905,2480,3229,4734,2282,606
14225,4923,3913,2483,3236,4743,2284,607
14250,4928,3921,2489,3246,4750,2287,608
14275,4936,3932,2496,3252,4760,2290,609
14300,4942,3938,2501,3263,4767,2291,609
14325,4948,3946,2507,3270,4779,2293,609
14350,4955,3951,2510,3279,4789,2295,611
14375,4962,3959,2514,3287,4796,2295,612
14400,4965,3967,2518,3293,4801,2297,613
14425,4971,3976,2524,3300,4812,2300,613
14450,4975,3982,2530,3306,4818,2305,613
14475,4978,3990,2535,3316,4827,2306,615
14500,4984,3998,2541,3324,4833,2309,615
14525,4987,4006,2550,3334,4839,2312,615
14550,4994,4015,2556,3344,4848,2317,615
14575,5001,4026,2563,3355,4858,2320,616
14600,5004,4035,2568,3363,4864,2321,618
14625,5009,4045,2574,3375,4872,2322,618
14650,5014,4052,2580,3383,4879,2325,618
14675,5018,4057,2582,3388,4886,2328,618
14700,5022,4069,2589,3397,4892,2330,621
14725,5027,4080,2597,3405,4903,2332,622
14750,5033,4090,2605,3414,4912,2334,623
14775,5038,4097,2609,3421,4918,2335,623
14800,5043,4104,2615,3430,4931,2337,624
14825,5049,4118,2624,3440,4946,2338,626
14850,5053,4127,2630,3449,4954,2339,626
14875,5060,4138,2639,3456,4965,2341,627
14900,5067,4148,2646,3467,4974,2343,628
14925,5074,4157,2655,3474,4984,2344,631
14950,5082,4166,2661,3481,4992,2346,631
14975,5088,4174,2670,3491,5000,2348,633
15000,5094,4177,2673,3495,5005,2349,634
15025,5096,4180,2675,3499,5008,2349,634
15050,5104,4189,2679,3513,5019,2350,635
15075,5111,4198,2685,3520,5030,2351,636
15100,5118,4205,2690,3529,5039,2353,639
15125,5122,4217,2699,3537,5050,2357,641
15150,5130,4224,2704,3546,5060,2357,642
15175,5135,4230,2709,3553,5066,2358,643
15200,5143,4239,2714,3564,5076,2362,645
15225,5148,4248,2719,3570,5088,2365,645
15250,5149,4254,2725,3575,5095,2367,648
15275,5156,4260,2732,3584,5104,2370,651
15300,5160,4266,2738,3595,5115,2372,652
15325,5166,4271,2741,3602,5125,2373,652
15350,5174,4279,2745,3610,5134,2376,654
15375,5181,4283,2748,3618,5140,2378,654
15400,5189,4295,2756,3626,5149,2382,654
15425,5194,4305,2761,3637,5161,2383,655
15450,5198,4318,2769,3650,5175,2386,657
15475,5206,4332,2775,3659,5190,2389,657
15500,5210,4338,2777,3667,5198,2391,657
15525,5217,4347,2783,3675,5209,2391,658
15550,5221,4356,2790,3686,5220,2395,658
15575,5225,4366,2797,3692,5228,2398,659
15600,5229,4369,2799,3696,5234,2400,660
15625,5233,4378,2806,3706,5245,2402,661
15650,5243,4389,2813,3715,5257,2403,661
15675,5248,4400,2816,3724,5263,2406,664
15700,5251,4406,2820,3730,5271,2406,665
15725,5256,4417,2824,3739,5281,2409,665
15750,5266,4428,2829,3749,5295,2411,666
15775,5272,4436,2840,3757,5305,2412,668
15800,5281,4443,2841,3763,5316,2414,669
15825,5288,4453,2847,3774,5331,2417,671
15850,5294,4463,2854,3783,5341,2420,671
15875,5300,4471,2860,3792,5346,2421,671
15900,5305,4479,2865,3799,5353,2421,672
15925,5310,4487,2871,3807,5365,2422,673
15950,5316,4496,2877,3816,5375,2423,674
15975,5323,4502,2880,3824,5385,2423,675
16000,5333,4515,2887,3838,5398,2425,676
16025,5336,4521,2892,3845,5411,2425,676
16050,5342,4531,2895,3854,5424,2426,679
16075,5349,4539,2902,3862,5435,2428,681
16100,5353,4549,2908,3869,5442,2430,683
16125,5357,4559,2914,3878,5451,2430,683
16150,5362,4568,2922,3889,5461,2431,683
16175,5367,4572,2927,3897,5467,2431,683
16200,5373,4581,2932,3904,5477,2432,684
16225,5377,4589,2938,3908,5490,2433,684
16250,5385,4602,2948,3919,5505,2434,685
16275,5392,4607,2954,3928,5512,2435,687
16300,5396,4617,2959,3939,5527,2435,688
16325,5404,4628,2967,3949,5539,2437,689
16350,5407,4635,2971,3957,5548,2437,692
16375,5412,4645,2976,3963,5560,2438,693
16400,5416,4651,2979,3970,5569,2440,693
