Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
0,0,0,0,0,0,0,0
25,1,1,1,0,1,2,1
50,2,2,2,2,2,8,1
75,6,5,5,3,5,10,1
100,10,6,5,4,8,14,1
125,14,6,5,4,9,22,1
150,19,6,6,5,12,30,3
175,22,7,8,6,14,39,5
200,26,10,11,7,20,51,6
225,31,13,13,8,24,62,6
250,37,13,13,8,29,76,7
275,45,14,17,8,34,85,8
300,52,15,18,8,39,96,8
325,59,21,22,9,43,107,8
350,67,25,25,9,47,121,8
375,77,26,27,9,55,131,11
400,86,28,29,12,63,139,11
425,99,31,30,14,70,153,15
450,112,35,34,14,83,166,16
475,116,36,36,15,86,175,17
500,126,38,38,16,91,185,19
525,137,40,43,17,99,196,20
550,151,42,48,19,106,209,21
575,160,45,52,21,115,217,22
600,175,47,55,21,124,232,22
625,183,50,58,21,130,245,23
650,191,54,62,22,135,252,27
675,199,56,65,24,139,261,28
700,211,60,68,26,145,272,28
725,219,62,70,28,152,281,28
750,230,66,75,30,160,294,29
775,241,67,78,32,164,307,30
800,253,68,79,33,173,317,31
825,263,68,82,34,181,326,32
850,277,71,83,34,189,336,33
875,290,75,86,34,194,345,33
900,302,77,88,35,203,355,34
925,315,79,91,38,213,367,35
950,325,79,92,38,220,374,35
975,337,85,96,41,226,383,35
1000,352,87,98,41,234,391,36
1025,363,93,103,41,240,401,37
1050,374,97,105,41,250,410,38
1075,387,102,106,41,257,418,40
1100,404,107,109,42,267,428,41
1125,416,109,111,42,277,438,41
1150,429,116,116,43,283,443,42
1175,442,116,118,43,293,457,46
1200,453,118,118,43,299,463,49
1225,466,122,122,44,311,473,53
1250,475,124,126,45,315,477,56
1275,488,126,127,45,321,483,57
1300,502,129,129,45,328,492,58
1325,515,133,135,47,337,500,61
1350,527,135,137,49,348,509,63
1375,538,135,138,49,354,514,63
1400,548,137,140,49,361,520,64
1425,559,142,141,51,373,527,65
1450,565,148,144,54,381,527,67
1475,580,151,149,54,389,535,68
1500,596,155,150,54,395,541,68
1525,610,161,154,54,409,548,68
1550,623,164,158,55,419,554,68
1575,632,168,164,55,426,561,69
1600,649,170,169,56,432,568,71
1625,662,173,172,56,438,569,72
1650,674,177,174,59,444,575,74
1675,689,180,176,59,453,578,76
1700,702,181,177,63,459,582,76
1725,713,185,179,65,466,586,79
1750,727,187,180,67,472,588,80
1775,740,189,181,68,478,592,81
1800,752,192,185,69,482,596,82
1825,767,196,189,70,494,600,82
1850,777,200,192,73,501,603,83
1875,790,208,196,73,509,604,85
1900,801,211,198,74,518,604,86
1925,815,215,199,75,524,607,87
1950,829,217,201,76,531,609,87
1975,842,220,202,76,540,612,87
2000,855,224,202,76,546,615,89
2025,868,230,206,79,556,619,89
2050,882,235,211,81,565,621,90
2075,898,240,211,82,576,626,90
2100,907,240,218,83,585,629,91
2125,921,244,220,83,592,632,94
2150,932,246,221,84,598,637,96
2175,941,249,223,84,603,639,96
2200,953,251,225,86,606,641,96
2225,962,257,228,87,612,643,96
2250,971,261,231,87,619,645,98
2275,982,262,233,89,625,645,98
2300,993,263,235,90,631,648,100
2325,1005,266,241,94,636,651,100
2350,1014,268,241,96,643,654,102
2375,1025,271,245,97,649,656,103
2400,1040,274,246,99,660,660,104
2425,1050,282,251,99,665,661,104
