Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
4650,886,545,367,170,981,500,195
4675,891,553,370,170,990,504,195
4700,897,555,373,171,996,507,196
4725,901,558,375,171,1001,509,196
4750,905,562,379,172,1006,514,197
4775,912,568,383,172,1013,517,198
4800,919,572,385,173,1017,522,199
4825,924,573,387,175,1025,525,201
4850,932,577,391,175,1031,528,203
4875,936,579,391,176,1037,530,205
4900,941,583,392,177,1043,535,205
4925,947,590,397,178,1050,542,207
4950,951,595,399,181,1058,545,208
4975,959,598,401,181,1068,550,209
5000,966,605,406,182,1076,555,210
5025,969,609,408,185,1082,557,212
5050,972,611,409,188,1087,559,214
5075,983,617,415,197,1100,564,214
5100,989,618,416,200,1104,566,216
5125,994,623,420,208,1108,572,217
5150,1000,629,423,212,1115,575,219
5175,1007,635,427,221,1125,583,222
5200,1012,637,429,223,1131,585,224
5225,1021,642,432,229,1141,589,225
5250,1027,646,434,234,1149,592,228
5275,1033,650,437,242,1154,595,229
5300,1038,654,438,250,1158,598,231
5325,1046,661,442,256,1169,603,231
5350,1053,664,444,263,1178,606,232
5375,1062,671,448,269,1186,612,232
5400,1071,678,450,275,1193,615,232
5425,1074,679,452,281,1200,618,233
5450,1077,682,455,287,1205,622,233
5475,1081,683,456,289,1209,624,233
5500,1088,690,460,298,1214,628,234
5525,1094,696,464,304,1221,635,235
5550,1096,698,466,309,1226,638,235
5575,1108,702,469,317,1235,645,236
5600,1114,708,469,323,1243,649,237
5625,1122,713,474,329,1255,656,239
5650,1127,716,475,336,1260,659,240
5675,1133,719,477,340,1265,659,241
5700,1144,722,479,347,1272,662,242
5725,1149,730,485,353,1280,667,243
5750,1155,734,487,360,1289,673,246
5775,1159,740,492,368,1297,682,248
5800,1163,745,493,374,1305,686,248
5825,1169,750,494,377,1314,690,248
5850,1175,752,495,382,1323,692,250
5875,1184,754,496,386,1332,695,251
5900,1187,755,496,388,1336,696,254
5925,1192,760,499,395,1341,698,256
5950,1194,764,506,403,1348,705,257
5975,1200,769,509,410,1358,709,259
6000,1208,780,512,417,1368,718,262
6025,1214,783,514,421,1374,721,263
6050,1218,793,518,427,1381,727,264
6075,1223,798,520,435,1385,731,266
6100,1228,800,522,441,1390,734,266
6125,1234,806,525,447,1398,737,266
6150,1243,813,530,457,1407,742,268
6175,1248,817,532,465,1414,745,268
6200,1254,819,532,467,1419,747,268
6225,1259,822,536,468,1424,750,269
6250,1264,829,540,475,1430,757,271
6275,1268,834,544,481,1435,761,271
6300,1272,837,545,487,1442,764,272
6325,1278,843,548,497,1456,772,272
6350,1285,850,554,505,1462,778,272
6375,1291,858,557,512,1471,781,272
6400,1299,862,560,515,1477,784,274
6425,1304,864,561,519,1482,788,274
6450,1312,868,563,522,1488,791,275
6475,1316,869,563,530,1494,792,276
6500,1320,873,565,532,1504,796,277
6525,1328,880,569,535,1516,803,278
6550,1335,884,571,542,1523,808,279
6575,1342,887,573,549,1531,812,280
6600,1346,894,574,557,1538,816,280
6625,1353,899,578,564,1544,823,283
6650,1358,904,581,572,1552,827,283
6675,1360,908,583,578,1558,831,283
6700,1365,914,583,584,1571,832,286
6725,1371,918,587,590,1580,836,286
6750,1379,925,590,598,1589,839,288
6775,1385,933,594,608,1596,846,288
6800,1391,937,596,610,1603,848,290
6825,1396,939,598,613,1607,849,291
6850,1402,942,600,623,1615,851,292
6875,1409,947,603,627,1620,854,293
6900,1411,950,605,629,1626,856,294
6925,1418,960,611,639,1638,864,294
6950,1422,966,612,646,1644,867,294
6975,1427,970,613,652,1652,869,294
7000,1433,973,614,657,1657,872,294
7025,1437,977,615,660,1665,875,295
7050,1440,978,615,666,1669,876,296
7075,1448,987,619,674,1674,882,297
7100,1457,992,620,681,1685,887,299
7125,1465,998,623,685,1692,890,300
7150,1469,1004,626,690,1698,892,300
7175,1476,1009,628,695,1707,895,302
7200,1482,1015,629,697,1715,898,304
7225,1490,1020,632,701,1720,902,308
7250,1496,1028,637,706,1728,908,308
7275,1498,1032,639,711,1735,910,309
7300,1502,1036,642,717,1744,917,309
7325,1505,1044,645,727,1754,924,309
7350,1515,1047,647,731,1759,928,311
7375,1520,1052,650,737,1765,936,312
7400,1521,1055,652,741,1771,937,312
7425,1527,1056,653,750,1774,940,313
7450,1532,1059,653,754,1779,944,315
7475,1539,1066,659,761,1789,953,315
7500,1545,1070,664,766,1801,959,316
7525,1552,1072,666,772,1806,960,316
7550,1556,1080,668,781,1815,965,318
7575,1563,1089,677,792,1826,972,318
7600,1567,1096,682,797,1837,980,319
7625,1571,1102,686,805,1846,985,320
7650,1577,1107,688,811,1857,988,321
7675,1581,1110,691,817,1862,991,322
7700,1586,1112,694,820,1864,993,322
7725,1592,1120,700,830,1875,1000,325
7750,1601,1123,705,837,1885,1005,328
7775,1606,1128,708,842,1892,1007,330
7800,1613,1130,709,850,1900,1009,331
7825,1615,1136,711,856,1908,1012,333
7850,1619,1141,714,865,1916,1016,334
7875,1627,1144,717,869,1923,1019,334
7900,1632,1150,720,879,1927,1026,334
7925,1638,1157,724,886,1935,1033,335
7950,1646,1164,729,900,1948,1043,337
7975,1653,1167,732,904,1955,1048,337
8000,1658,1174,737,910,1963,1054,339
8025,1665,1183,744,916,1971,1062,339
8050,1669,1186,747,922,1980,1066,340
8075,1674,1188,752,926,1987,1070,340
