Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,0,2
50,3,2,2,0,4
75,4,2,2,0,4
100,9,3,3,1,4
125,12,8,7,2,7
150,17,11,9,2,8
175,27,15,11,3,9
200,37,19,13,4,10
225,51,24,16,5,10
250,64,28,19,5,12
275,78,31,19,6,13
300,85,39,23,8,13
325,94,42,23,10,14
350,109,44,24,13,14
375,122,51,25,14,14
400,132,55,26,15,14
425,148,61,30,15,15
450,162,71,34,16,16
475,175,74,37,19,19
500,190,82,39,20,20
525,199,89,40,22,21
550,212,95,42,24,21
575,224,99,44,26,24
600,239,107,47,27,26
625,253,117,50,27,28
650,271,128,52,27,30
675,287,134,54,28,32
700,298,138,57,30,34
725,313,145,61,31,35
750,326,154,64,31,35
775,339,160,68,33,36
800,359,170,71,34,36
825,373,179,72,35,36
850,391,192,77,36,37
875,406,203,81,38,37
900,420,213,84,38,38
925,431,223,86,39,40
950,441,231,91,39,41
975,454,243,93,39,41
1000,463,249,96,39,41
1025,478,260,98,42,42
1050,490,274,101,42,43
1075,499,282,104,44,44
1100,513,293,107,45,44
1125,523,304,109,46,44
1150,534,312,111,48,46
1175,543,319,113,50,46
1200,551,325,119,53,46
1225,560,332,123,53,48
1250,576,343,130,53,49
1275,588,350,134,53,50
1300,600,360,140,55,52
1325,610,365,144,55,52
1350,620,371,146,55,53
1375,633,378,148,58,53
1400,645,383,149,59,53
1425,654,388,151,61,53
1450,669,393,155,62,55
1475,679,402,159,64,55
1500,686,408,161,64,55
1525,699,413,163,66,56
1550,711,423,165,67,57
1575,722,433,167,69,57
1600,736,443,171,71,57
1625,749,451,174,72,59
1650,759,463,181,74,60
1675,769,475,183,75,61
1700,781,487,188,76,61
1725,790,497,194,78,63
1750,798,504,198,78,67
1775,807,514,200,81,68
1800,818,522,202,84,69
1825,827,527,205,85,70
1850,831,530,208,85,71
1875,843,537,211,87,71
1900,850,544,212,87,74
1925,857,552,216,87,74
1950,863,557,217,91,75
1975,873,563,218,91,77
2000,885,569,222,94,79
2025,897,576,227,94,80
2050,906,581,230,95,80
2075,912,587,233,95,80
2100,922,594,237,95,81
2125,932,601,243,95,81
2150,937,608,247,95,81
2175,944,616,249,95,84
2200,952,623,252,95,85
2225,959,632,258,97,86
2250,973,639,262,97,86
2275,988,648,268,98,88
2300,1001,654,272,98,88
2325,1013,662,275,98,89
2350,1025,670,278,99,90
2375,1032,676,280,101,90
2400,1044,682,283,102,90
2425,1058,691,285,104,91
2450,1067,698,289,104,91
2475,1077,704,291,104,93
2500,1085,711,294,104,94
2525,1095,718,298,105,97
2550,1105,723,300,105,100
2575,1113,732,303,105,102
2600,1122,741,307,106,102
2625,1128,748,309,106,102
2650,1136,754,312,106,103
2675,1143,758,312,109,106
2700,1148,764,314,110,107
2725,1157,774,318,112,107
2750,1164,779,321,112,107
2775,1174,787,322,114,110
2800,1182,796,324,114,110
2825,1194,806,328,115,110
2850,1198,812,329,116,111
2875,1209,822,330,116,112
2900,1215,832,334,118,114
2925,1221,837,336,120,114
2950,1228,844,340,120,116
2975,1236,850,344,120,116
3000,1245,859,346,122,117
3025,1256,870,351,123,118
3050,1268,880,354,124,120
3075,1277,888,360,125,121
3100,1285,896,361,125,121
3125,1293,901,363,127,122
3150,1297,907,365,128,125
3175,1304,913,368,130,125
3200,1317,923,372,130,126
3225,1329,931,374,131,127
3250,1340,939,377,132,130
3275,1350,944,382,132,130
3300,1359,950,388,132,131
3325,1366,958,394,133,132
3350,1373,967,399,134,134
3375,1379,971,401,135,135
3400,1390,978,407,136,135
3425,1397,984,410,136,136
3450,1407,990,415,138,136
3475,1413,999,418,140,138
3500,1424,1006,423,142,140
3525,1433,1013,428,142,140
3550,1440,1027,430,142,140
3575,1447,1037,433,143,140
3600,1454,1047,435,144,142
3625,1462,1054,441,144,142
3650,1473,1064,441,145,142
3675,1479,1071,446,145,143
3700,1490,1077,447,147,144
3725,1499,1083,449,147,146
3750,1509,1094,455,148,146
3775,1517,1103,460,149,146
3800,1526,1116,468,150,146
3825,1533,1127,471,151,148
3850,1544,1138,473,151,152
3875,1554,1146,475,151,152
3900,1564,1154,478,152,153
3925,1572,1160,481,155,155
3950,1579,1166,486,155,157
3975,1589,1175,490,156,158
4000,1598,1186,494,157,159
4025,1605,1197,496,157,160
4050,1613,1208,502,158,162
4075,1624,1218,504,158,166
4100,1631,1224,508,159,166
4125,1639,1231,510,160,167
4150,1648,1243,513,161,169
4175,1659,1250,516,165,169
4200,1671,1255,518,165,171
4225,1679,1265,523,166,171
4250,1683,1274,526,166,171
4275,1695,1281,529,166,172
4300,1705,1288,530,168,172
4325,1712,1292,533,169,176
4350,1722,1301,536,169,177
4375,1730,1309,539,170,178
4400,1739,1314,543,172,180
4425,1748,1322,547,174,183
4450,1755,1332,551,176,184
4475,1763,1342,555,177,185
4500,1773,1354,560,177,186
4525,1782,1366,566,177,186
4550,1792,1375,573,178,187
4575,1803,1384,577,179,190
4600,1816,1390,581,179,190
4625,1823,1396,589,180,190
4650,1836,1405,592,180,191
4675,1847,1412,597,180,194
4700,1857,1421,602,180,197
4725,1866,1432,610,180,197
4750,1875,1435,614,180,197
4775,1884,1444,621,183,198
4800,1893,1454,628,183,201
4825,1902,1460,634,185,201
4850,1911,1473,640,185,201
4875,1921,1485,646,186,201
4900,1931,1493,650,187,205
4925,1940,1503,652,190,206
4950,1950,1513,655,191,207
4975,1960,1520,659,192,207
5000,1966,1528,663,192,208
5025,1976,1537,666,192,210
5050,1987,1550,670,192,212
5075,1996,1561,675,192,214
5100,2004,1576,681,193,215
5125,2010,1584,684,194,216
5150,2018,1594,688,194,216
5175,2029,1607,690,195,218
5200,2038,1618,694,196,221
5225,2050,1629,695,196,222
5250,2060,1637,701,198,224
5275,2070,1651,705,201,224
5300,2082,1663,705,201,226
5325,2094,1674,708,201,227
5350,2102,1684,710,201,228
5375,2111,1697,718,202,229
5400,2121,1707,720,203,230
5425,2132,1719,724,204,231
5450,2141,1733,730,204,234
5475,2148,1741,732,204,234
5500,2158,1750,736,207,235
5525,2170,1760,744,207,237
5550,2177,1770,751,208,239
5575,2188,1786,759,209,239
5600,2198,1793,763,210,240
5625,2208,1804,767,211,241
5650,2216,1812,769,211,241
5675,2230,1823,772,211,241
5700,2244,1834,777,213,241
5725,2256,1848,781,213,242
5750,2268,1862,787,214,243
5775,2277,1873,792,215,243
5800,2289,1884,795,215,243
5825,2297,1896,797,216,245
5850,2305,1906,802,216,245
5875,2317,1919,806,218,247
5900,2327,1932,811,219,247
5925,2336,1941,816,219,248
5950,2342,1950,820,220,250
5975,2352,1958,823,220,251
6000,2364,1972,828,221,251
6025,2377,1985,834,223,251
6050,2388,1993,836,223,252
6075,2401,2006,844,224,253
6100,2411,2015,850,226,253
6125,2422,2024,856,227,253
6150,2437,2040,862,228,253
6175,2445,2051,868,229,254
6200,2453,2065,873,229,256
6225,2465,2075,876,229,257
6250,2473,2083,879,229,258
6275,2481,2094,885,229,259
6300,2488,2105,891,229,259
6325,2498,2115,895,231,261
6350,2506,2126,902,231,261
6375,2517,2138,911,232,262
6400,2523,2147,914,234,263
6425,2532,2159,921,235,266
6450,2539,2170,924,235,267
6475,2548,2177,927,236,268
6500,2556,2187,930,237,268
6525,2569,2195,938,239,269
6550,2579,2205,941,239,271
6575,2589,2215,947,240,272
6600,2599,2226,954,241,273
6625,2607,2238,959,243,273
6650,2611,2249,966,244,273
6675,2618,2260,968,245,275
6700,2629,2273,973,248,276
6725,2633,2277,979,249,278
6750,2642,2290,985,249,278
6775,2650,2298,990,250,279
6800,2659,2304,995,250,279
6825,2664,2315,999,250,283
6850,2670,2329,1003,250,284
6875,2674,2335,1007,252,284
6900,2682,2345,1011,252,286
6925,2684,2355,1016,254,287
6950,2691,2367,1022,255,287
6975,2698,2378,1028,256,290
7000,2708,2390,1034,258,291
7025,2716,2396,1038,259,291
7050,2725,2411,1041,260,292
7075,2733,2424,1051,260,296
7100,2742,2431,1057,262,296
7125,2749,2440,1061,262,297
7150,2758,2451,1066,264,297
7175,2761,2457,1067,264,299
7200,2771,2465,1071,265,299
7225,2783,2476,1078,267,300
7250,2792,2485,1083,267,301
7275,2800,2492,1087,271,301
7300,2808,2502,1090,271,302
7325,2813,2511,1094,271,302
7350,2821,2520,1098,271,302
7375,2827,2526,1105,271,304
7400,2835,2534,1112,273,304
7425,2844,2543,1117,273,304
7450,2851,2554,1122,274,304
7475,2860,2564,1128,277,304
7500,2869,2570,1133,277,307
7525,2877,2575,1138,278,307
7550,2881,2588,1143,278,307
7575,2888,2599,1150,278,307
7600,2897,2613,1156,278,307
7625,2902,2623,1161,278,308
7650,2908,2630,1163,280,310
7675,2915,2638,1166,281,312
7700,2920,2646,1167,282,312
7725,2924,2651,1168,282,312
7750,2933,2666,1171,283,312
7775,2938,2676,1173,283,312
7800,2946,2684,1176,285,312
7825,2956,2697,1180,286,314
7850,2965,2708,1185,287,314
7875,2971,2715,1190,288,315
7900,2981,2729,1197,290,315
7925,2983,2740,1200,290,315
7950,2995,2751,1210,292,316
7975,3002,2761,1216,293,316
8000,3010,2770,1219,295,317
8025,3012,2783,1226,296,317
8050,3017,2797,1233,296,318
8075,3024,2810,1237,299,319
8100,3029,2821,1243,300,321
8125,3037,2829,1250,302,323
8150,3046,2842,1258,303,324
8175,3053,2852,1264,303,325
8200,3057,2855,1270,305,327
8225,3064,2864,1280,305,329
8250,3069,2874,1285,308,332
8275,3077,2889,1292,309,334
8300,3091,2900,1298,311,335
8325,3099,2909,1302,311,336
8350,3102,2918,1311,311,337
8375,3109,2927,1317,312,338
8400,3118,2936,1322,315,341
8425,3124,2944,1328,316,341
8450,3135,2956,1337,316,342
8475,3141,2965,1344,317,343
8500,3147,2978,1351,319,345
8525,3156,2986,1360,320,346
8550,3162,2995,1370,321,347
8575,3170,3004,1376,323,349
8600,3176,3013,1383,323,349
8625,3182,3026,1389,323,350
8650,3186,3038,1396,325,354
8675,3196,3048,1403,328,355
8700,3205,3055,1407,330,356
8725,3213,3064,1413,331,358
8750,3221,3074,1419,331,358
8775,3227,3084,1431,334,360
8800,3236,3093,1436,334,362
8825,3244,3105,1445,335,362
8850,3246,3111,1453,335,362
8875,3254,3121,1464,336,362
8900,3260,3129,1469,336,362
8925,3273,3140,1476,337,362
8950,3281,3146,1484,337,363
8975,3292,3157,1490,339,364
9000,3301,3169,1498,340,366
9025,3308,3182,1500,342,368
9050,3313,3189,1506,343,368
9075,3324,3203,1512,343,368
9100,3328,3211,1520,344,368
9125,3337,3221,1526,344,368
9150,3343,3230,1530,345,369
9175,3351,3237,1535,346,372
9200,3356,3247,1541,348,373
9225,3364,3259,1550,349,375
9250,3370,3269,1558,349,376
9275,3375,3276,1562,351,376
9300,3381,3287,1570,351,376
9325,3389,3297,1576,352,378
9350,3397,3306,1581,355,380
9375,3401,3317,1588,355,380
9400,3407,3323,1592,356,381
9425,3410,3330,1599,357,383
9450,3415,3344,1607,359,384
9475,3424,3354,1611,359,385
9500,3428,3361,1614,361,385
9525,3431,3372,1620,362,388
9550,3434,3379,1627,365,388
9575,3441,3389,1635,366,389
9600,3448,3401,1644,367,389
9625,3455,3414,1651,367,392
9650,3465,3424,1658,367,393
9675,3473,3434,1663,368,394
9700,3476,3444,1670,368,395
9725,3482,3456,1682,370,397
9750,3490,3472,1689,370,397
9775,3495,3482,1697,370,398
9800,3504,3496,1704,371,399
9825,3512,3506,1710,372,399
9850,3517,3515,1716,374,400
9875,3523,3527,1723,375,403
9900,3527,3538,1731,376,404
9925,3534,3551,1738,376,405
9950,3539,3562,1744,376,406
9975,3544,3574,1746,380,406
10000,3552,3581,1749,382,406
10025,3558,3590,1754,385,406
10050,3563,3598,1761,386,407
10075,3567,3606,1766,386,410
10100,3573,3614,1773,389,411
10125,3584,3624,1780,391,411
10150,3593,3634,1782,391,411
10175,3597,3642,1788,391,411
10200,3604,3653,1793,393,413
10225,3610,3658,1795,395,413
10250,3614,3664,1798,395,415
10275,3618,3670,1804,397,416
10300,3625,3683,1810,399,416
10325,3629,3692,1817,400,417
10350,3639,3705,1826,400,418
10375,3646,3714,1834,402,418
10400,3653,3728,1845,402,418
10425,3657,3740,1852,402,419
10450,3666,3749,1859,404,420
10475,3675,3759,1866,404,421
10500,3681,3766,1871,404,422
10525,3687,3773,1874,406,423
10550,3690,3777,1877,406,424
10575,3696,3787,1880,407,426
10600,3703,3799,1888,408,427
10625,3709,3805,1891,410,428
10650,3718,3815,1899,410,429
10675,3727,3822,1905,411,430
10700,3737,3836,1913,411,433
10725,3738,3842,1917,412,434
10750,3744,3854,1927,413,435
10775,3751,3862,1929,416,435
10800,3759,3874,1935,416,435
10825,3765,3884,1942,416,437
10850,3770,3896,1949,418,440
10875,3779,3904,1954,418,441
10900,3784,3913,1960,419,443
10925,3789,3922,1966,419,444
10950,3793,3933,1971,420,446
10975,3801,3943,1975,420,447
11000,3805,3951,1980,420,449
11025,3810,3963,1986,422,450
11050,3817,3972,1993,424,451
11075,3820,3979,1999,424,451
11100,3831,3990,2009,424,452
11125,3836,3998,2013,429,452
11150,3844,4008,2018,429,453
11175,3848,4019,2024,430,454
11200,3855,4030,2031,430,454
11225,3861,4040,2039,430,456
11250,3869,4053,2045,430,458
11275,3882,4066,2056,430,459
11300,3889,4081,2068,431,459
11325,3901,4094,2076,431,460
11350,3906,4104,2083,431,461
11375,3917,4117,2092,432,462
11400,3922,4126,2096,433,462
11425,3931,4140,2105,434,465
11450,3940,4150,2112,435,466
11475,3947,4157,2118,437,469
11500,3953,4167,2126,438,469
11525,3958,4175,2133,440,470
11550,3963,4189,2142,441,471
11575,3971,4200,2150,442,472
11600,3976,4209,2155,444,472
11625,3983,4226,2166,445,472
11650,3988,4237,2174,445,474
11675,3994,4253,2183,445,475
11700,4004,4265,2192,446,476
11725,4014,4275,2196,446,477
11750,4020,4284,2199,446,477
11775,4028,4299,2209,447,477
11800,4038,4312,2217,450,480
11825,4047,4324,2225,450,481
11850,4052,4335,2234,451,482
11875,4059,4345,2240,454,485
11900,4062,4352,2245,454,488
11925,4066,4365,2252,455,488
11950,4074,4375,2259,456,489
11975,4079,4387,2261,458,489
12000,4086,4397,2267,459,489
12025,4093,4412,2275,460,490
12050,4100,4422,2281,460,493
12075,4112,4437,2289,460,493
12100,4120,4454,2296,461,493
12125,4127,4464,2307,465,493
12150,4138,4479,2319,465,497
