Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,1,3
50,2,2,2,2,4
75,6,5,5,4,6
100,10,6,5,6,8
125,14,6,5,6,9
150,19,6,6,6,11
175,22,7,8,6,11
200,26,10,11,7,11
225,31,13,13,7,12
250,37,13,13,8,14
275,45,14,17,8,17
300,52,15,18,8,19
325,59,21,22,9,19
350,67,25,25,10,19
375,77,26,27,10,21
400,86,28,29,10,23
425,99,31,30,11,26
450,112,35,34,13,27
475,116,36,36,15,31
500,126,38,38,17,32
525,137,40,43,18,34
550,151,42,48,19,35
575,160,45,52,20,35
600,175,47,55,21,37
625,183,50,58,22,38
650,191,54,62,22,40
675,199,56,65,24,41
700,211,60,68,25,43
725,219,62,70,27,43
750,230,66,75,28,43
775,241,67,78,28,44
800,253,68,79,28,44
825,263,68,82,28,44
850,277,71,83,31,44
875,290,75,86,32,45
900,302,77,88,33,46
925,315,79,91,34,46
950,325,79,92,35,46
975,337,85,96,36,47
1000,352,87,98,36,47
1025,363,93,103,36,48
1050,374,97,105,37,48
1075,387,102,106,38,48
1100,404,107,109,39,49
1125,416,109,111,39,49
1150,429,116,116,39,50
1175,442,116,118,41,50
1200,453,118,118,42,51
1225,466,122,122,43,53
1250,475,124,126,43,54
1275,488,126,127,44,55
1300,502,129,129,45,57
1325,515,133,135,46,58
1350,527,135,137,48,58
1375,538,135,138,48,59
1400,548,137,140,49,59
1425,559,142,141,51,60
1450,565,148,144,52,62
1475,580,151,149,52,63
1500,596,155,150,53,63
1525,610,161,154,54,64
1550,623,164,158,55,64
1575,632,168,164,58,65
1600,649,170,169,60,66
1625,662,173,172,61,67
1650,674,177,174,62,68
1675,689,180,176,62,71
1700,702,181,177,62,71
1725,713,185,179,62,71
1750,727,187,180,62,71
1775,740,189,181,62,74
1800,752,192,185,64,74
1825,767,196,189,64,74
1850,777,200,192,65,74
1875,790,208,196,66,75
1900,801,211,198,66,75
1925,815,215,199,66,75
1950,829,217,201,66,75
1975,842,220,202,67,76
2000,855,224,202,67,77
2025,868,230,206,69,77
2050,882,235,211,70,78
2075,898,240,211,72,80
2100,907,240,218,72,81
2125,921,244,220,73,83
2150,932,246,221,74,83
2175,941,249,223,74,84
2200,953,251,225,75,84
2225,962,257,228,75,86
2250,971,261,231,76,86
2275,982,262,233,76,86
2300,993,263,235,77,87
2325,1005,266,241,78,88
2350,1014,268,241,78,88
2375,1025,271,245,79,89
2400,1040,274,246,80,93
2425,1050,282,251,80,93
2450,1061,288,255,82,93
2475,1074,293,259,83,94
2500,1082,299,264,83,94
2525,1091,301,266,84,94
2550,1102,308,268,86,94
2575,1113,312,273,87,94
2600,1122,315,277,87,96
2625,1131,319,282,89,98
2650,1141,323,284,90,99
2675,1148,329,291,91,100
2700,1158,333,293,92,101
2725,1167,335,296,92,102
2750,1179,338,299,93,102
2775,1189,341,302,95,103
2800,1202,349,311,95,105
2825,1212,356,315,95,108
2850,1222,368,322,96,108
2875,1238,375,326,98,108
2900,1245,380,331,98,108
2925,1258,386,334,98,110
2950,1269,390,335,101,110
2975,1277,394,337,101,110
3000,1291,397,339,101,112
3025,1302,404,346,101,112
3050,1315,410,349,102,112
3075,1327,416,356,105,112
3100,1339,422,359,105,113
