Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
4675,3304,0,2655,0,1180
4700,3304,0,2670,0,1180
4725,3304,0,2685,0,1180
4750,3304,0,2707,0,1180
4775,3304,0,2720,0,1180
4800,3304,0,2737,0,1180
4825,3304,0,2752,0,1180
4850,3304,0,2772,0,1180
4875,3304,0,2787,0,1256
4900,3304,0,2803,0,1256
4925,3304,0,2823,0,1256
4950,3304,0,2841,0,1256
4975,3304,0,2857,0,1256
5000,3304,0,2872,0,1256
5025,3304,0,2887,0,1256
5050,3304,0,2904,14,1256
5075,3304,0,2917,14,1256
5100,3304,0,2936,14,1256
5125,3304,0,2952,18,1256
5150,3304,0,2971,18,1256
5175,3304,0,2985,18,1256
5200,3304,0,3004,20,1256
5225,3304,0,3014,20,1256
5250,3304,0,3027,20,1256
5275,3304,0,3045,26,1256
5300,3304,0,3061,26,1256
5325,3304,0,3079,26,1256
5350,3304,0,3096,28,1256
5375,3304,0,3113,28,1256
5400,3304,0,3129,28,1332
5425,3304,0,3140,34,1332
5450,3304,0,3156,34,1332
5475,3304,0,3172,34,1332
5500,3304,0,3186,36,1332
5525,3304,0,3200,36,1332
5550,3304,0,3213,36,1332
5575,3454,0,3229,48,1332
5600,3454,0,3241,48,1332
5625,3454,0,3255,48,1332
5650,3454,0,3273,52,1332
5675,3454,0,3287,52,1332
5700,3454,0,3304,52,1332
5725,3454,0,3320,54,1332
5750,3454,0,3334,54,1332
5775,3454,0,3351,54,1332
5800,3454,0,3363,58,1332
5825,3454,0,3376,58,1332
5850,3454,0,3389,58,1408
5875,3454,0,3399,62,1408
5900,3454,0,3415,62,1408
5925,3454,0,3428,62,1408
5950,3454,0,3442,64,1408
5975,3454,0,3457,64,1408
6000,3454,0,3469,64,1408
6025,3454,0,3486,66,1408
6050,3454,0,3500,66,1408
6075,3454,0,3510,66,1408
6100,3454,0,3523,70,1408
6125,3454,0,3532,70,1408
6150,3454,0,3545,70,1408
6175,3454,0,3558,72,1408
6200,3454,0,3574,72,1408
6225,3454,0,3587,72,1408
6250,3454,0,3601,82,1408
