Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,0,3
50,3,2,2,0,5
75,4,2,2,1,6
100,9,3,3,1,6
125,12,6,7,2,6
150,17,8,9,3,6
175,27,11,11,4,7
200,37,15,13,5,8
225,51,17,16,6,8
250,64,20,19,7,8
275,78,20,19,8,8
300,85,22,23,10,8
325,94,22,23,11,9
350,109,25,24,11,11
375,122,28,25,11,13
400,132,30,26,11,13
425,148,33,30,12,14
450,162,36,34,14,15
475,175,37,37,17,16
500,190,44,39,17,17
525,199,47,40,17,18
550,212,50,42,19,22
575,224,52,44,20,22
600,239,56,47,24,24
625,253,60,50,26,24
650,271,63,52,27,27
675,287,66,54,29,29
700,298,70,57,30,29
725,313,74,61,30,30
750,326,80,64,33,30
775,339,84,68,34,31
800,359,86,71,36,32
825,373,86,72,36,35
850,391,90,77,37,36
875,406,95,81,37,37
900,420,101,84,37,38
925,431,104,86,38,39
950,441,111,91,38,40
975,454,111,93,39,40
1000,463,112,96,41,41
1025,478,116,98,41,43
1050,490,123,101,42,43
1075,499,130,104,43,43
1100,513,136,107,43,43
1125,523,139,109,43,44
1150,534,144,111,45,44
1175,543,146,113,45,44
1200,551,151,119,47,47
1225,560,156,123,47,48
1250,576,164,130,48,48
1275,588,170,134,49,48
1300,600,177,140,49,50
1325,610,182,144,49,50
1350,620,183,146,52,50
1375,633,189,148,54,51
1400,645,193,149,55,52
1425,654,196,151,56,54
1450,669,198,155,56,56
1475,679,202,159,57,58
1500,686,205,161,59,59
1525,699,209,163,60,59
1550,711,213,165,60,59
1575,722,219,167,62,59
1600,736,223,171,62,59
1625,749,228,174,63,61
1650,759,235,181,63,61
1675,769,244,183,63,61
1700,781,251,188,64,62
1725,790,256,194,66,62
1750,798,260,198,66,63
1775,807,270,200,67,63
1800,818,274,202,69,67
1825,827,277,205,69,67
1850,831,278,208,72,68
1875,843,285,211,73,69
1900,850,289,212,74,73
1925,857,295,216,74,74
1950,863,297,217,75,78
1975,873,303,218,78,78
2000,885,309,222,81,79
2025,897,314,227,83,80
