Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
1800,795,236,202,86,624,488,66
1825,805,238,205,87,634,490,68
1850,809,239,208,87,639,490,68
1875,818,243,211,87,647,494,71
1900,825,248,212,88,652,496,73
1925,831,253,216,88,658,500,73
1950,837,255,217,88,664,500,75
1975,846,262,218,88,671,500,75
2000,857,265,222,89,679,504,76
2025,868,268,227,89,688,505,76
2050,877,271,230,90,698,508,77
2075,881,278,233,92,703,510,78
2100,890,283,237,92,709,514,79
2125,900,287,243,92,717,516,82
2150,905,292,247,93,721,518,82
2175,912,297,249,93,726,521,83
2200,919,305,252,93,734,524,84
2225,925,312,258,96,740,530,86
2250,939,316,262,96,749,534,87
2275,954,324,268,98,761,539,87
2300,967,328,272,99,768,545,90
2325,979,334,275,99,780,553,91
2350,988,337,278,101,790,564,92
2375,996,343,280,102,799,568,92
2400,1006,351,283,103,807,572,92
2425,1019,355,285,104,814,576,92
2450,1028,360,289,107,824,581,92
2475,1036,364,291,109,834,586,92
2500,1043,372,294,111,844,588,94
2525,1052,376,298,115,857,593,95
2550,1063,378,300,115,862,598,95
2575,1071,385,303,115,873,605,98
2600,1080,393,307,117,885,613,102
2625,1087,399,309,118,894,619,106
2650,1094,406,312,120,899,627,107
2675,1101,408,312,122,907,633,107
2700,1107,413,314,123,914,635,108
2725,1115,421,318,124,923,643,108
2750,1121,426,321,125,936,648,110
2775,1130,428,322,126,944,653,112
2800,1137,431,324,127,955,659,113
2825,1149,436,328,128,968,663,113
2850,1154,438,329,130,975,669,115
2875,1165,443,330,130,984,675,115
2900,1170,447,334,131,995,678,116
2925,1174,451,336,131,1000,685,118
2950,1181,455,340,131,1006,689,118
2975,1190,459,344,133,1012,692,119
3000,1199,466,346,135,1016,695,119
3025,1210,474,351,135,1027,697,121
3050,1222,480,354,137,1036,704,122
3075,1233,486,360,138,1045,712,123
3100,1239,492,361,139,1052,716,123
3125,1244,495,363,141,1058,719,124
3150,1247,502,365,143,1061,723,127
3175,1254,509,368,144,1068,724,127
3200,1267,517,372,144,1078,731,128
3225,1276,520,374,147,1086,733,128
3250,1286,528,377,148,1099,739,129
3275,1296,535,382,148,1106,741,129
3300,1304,541,388,148,1115,746,132
3325,1310,548,394,149,1125,752,132
3350,1318,554,399,149,1133,759,132
3375,1323,558,401,149,1138,765,133
3400,1331,561,407,152,1147,767,135
3425,1339,567,410,152,1155,772,136
3450,1348,574,415,153,1160,774,137
3475,1354,577,418,154,1167,776,139
3500,1365,582,423,154,1175,780,141
3525,1373,585,428,155,1180,782,142
3550,1380,595,430,156,1186,784,144
3575,1390,605,433,157,1193,789,144
3600,1397,614,435,158,1201,791,144
3625,1405,618,441,159,1210,796,144
3650,1415,625,441,160,1219,799,147
3675,1421,634,446,162,1226,803,148
3700,1432,638,447,162,1231,805,149
3725,1439,645,449,163,1241,810,150
3750,1447,653,455,163,1252,814,151
3775,1456,659,460,163,1263,817,153
3800,1464,666,468,163,1270,819,155
3825,1472,672,471,163,1281,819,155
3850,1484,681,473,164,1295,822,155
3875,1494,688,475,165,1304,823,157
3900,1504,697,478,167,1313,824,157
3925,1511,705,481,168,1320,827,157
3950,1517,710,486,168,1324,832,158
3975,1528,717,490,169,1334,838,158
4000,1537,722,494,169,1340,838,160
4025,1545,728,496,170,1350,841,162
4050,1554,739,502,171,1363,848,162
4075,1563,747,504,174,1370,853,163
4100,1569,754,508,175,1377,857,164
4125,1579,760,510,177,1381,861,165
4150,1587,766,513,177,1389,865,166
4175,1597,772,516,179,1398,868,166
4200,1607,776,518,179,1405,871,167
4225,1615,782,523,179,1411,876,169
4250,1620,788,526,179,1420,879,171
4275,1633,797,529,180,1430,886,172
4300,1642,803,530,180,1436,890,174
4325,1649,806,533,181,1443,893,174
4350,1658,815,536,182,1456,897,174
4375,1665,821,539,185,1462,900,174
4400,1673,828,543,185,1473,901,176
4425,1682,834,547,187,1481,903,176
4450,1691,838,551,188,1492,907,176
4475,1697,844,555,189,1505,909,178
4500,1708,853,560,190,1517,914,178
4525,1718,863,566,194,1529,918,179
4550,1727,871,573,194,1540,923,180
4575,1738,880,577,197,1553,927,183
4600,1747,884,581,197,1560,931,184
4625,1753,894,589,198,1568,938,184
4650,1766,903,592,198,1579,941,184
4675,1777,910,597,200,1589,945,185
4700,1788,920,602,200,1600,947,185
4725,1798,930,610,200,1614,955,187
4750,1805,935,614,201,1627,962,187
4775,1814,944,621,203,1639,967,189
4800,1824,956,628,203,1655,974,189
4825,1835,964,634,203,1663,978,190
4850,1845,974,640,205,1673,980,193
4875,1856,984,646,208,1683,985,193
4900,1865,988,650,208,1690,990,194
4925,1874,994,652,208,1695,991,194
4950,1883,998,655,210,1704,994,195
4975,1892,1005,659,211,1713,998,196
5000,1900,1012,663,215,1720,999,196
5025,1910,1020,666,220,1730,1002,199
5050,1920,1028,670,232,1736,1006,199
5075,1930,1034,675,237,1743,1009,200
5100,1940,1042,681,243,1753,1012,201
5125,1945,1049,684,247,1757,1013,202
5150,1952,1057,688,254,1763,1018,202
5175,1963,1063,690,264,1771,1022,204
5200,1972,1073,694,274,1781,1026,207
5225,1984,1082,695,278,1792,1031,208
5250,1995,1090,701,283,1802,1034,210
5275,2005,1100,705,293,1816,1035,211
5300,2015,1104,705,302,1825,1036,212
5325,2027,1112,708,307,1834,1039,213
5350,2035,1117,710,316,1841,1041,215
5375,2046,1128,718,323,1854,1048,217
5400,2057,1134,720,332,1860,1052,218
5425,2068,1143,724,339,1870,1056,219
5450,2077,1152,730,344,1876,1058,223
5475,2084,1159,732,352,1885,1059,225
5500,2093,1168,736,357,1894,1062,225
5525,2105,1181,744,368,1906,1068,226
5550,2112,1189,751,380,1916,1070,227
5575,2123,1202,759,392,1922,1074,228
5600,2133,1208,763,397,1926,1076,228
5625,2143,1217,767,404,1938,1081,230
5650,2152,1221,769,412,1947,1085,230
5675,2166,1231,772,423,1959,1091,231
5700,2180,1238,777,433,1970,1096,232
5725,2191,1248,781,446,1979,1101,233
5750,2205,1259,787,455,1991,1110,236
5775,2213,1269,792,467,2002,1115,236
5800,2227,1277,795,481,2013,1119,236
5825,2235,1289,797,490,2022,1124,236
5850,2243,1296,802,501,2031,1129,236
5875,2255,1303,806,515,2040,1133,237
5900,2265,1310,811,528,2052,1138,239
5925,2275,1321,816,535,2065,1140,240
5950,2281,1331,820,546,2079,1145,241
5975,2291,1339,823,558,2090,1147,242
6000,2303,1352,828,568,2101,1151,242
6025,2315,1365,834,577,2113,1154,243
6050,2325,1374,836,587,2121,1159,244
6075,2339,1382,844,598,2136,1167,244
6100,2349,1393,850,608,2146,1172,244
6125,2360,1403,856,621,2155,1177,245
6150,2374,1411,862,633,2168,1181,246
6175,2382,1421,868,643,2180,1186,247
6200,2391,1428,873,656,2192,1195,249
6225,2403,1437,876,662,2201,1198,249
6250,2410,1445,879,670,2213,1201,249
6275,2418,1454,885,678,2224,1205,250
6300,2427,1466,891,685,2237,1210,250
6325,2437,1473,895,696,2244,1215,252
6350,2446,1483,902,706,2259,1220,253
6375,2457,1496,911,721,2271,1226,254
6400,2461,1499,914,728,2280,1229,254
6425,2471,1510,921,740,2292,1232,254
6450,2478,1520,924,750,2298,1236,255
6475,2485,1524,927,759,2306,1239,256
6500,2492,1530,930,769,2315,1241,258
6525,2504,1537,938,780,2327,1245,259
6550,2514,1547,941,793,2338,1247,261
6575,2523,1558,947,804,2349,1249,263
6600,2532,1566,954,814,2361,1255,263
6625,2540,1576,959,826,2371,1258,264
6650,2545,1585,966,838,2379,1260,266
6675,2551,1592,968,848,2391,1262,268
6700,2562,1601,973,859,2404,1267,269
6725,2566,1608,979,865,2410,1273,271
6750,2574,1616,985,874,2423,1276,272
6775,2582,1624,990,876,2431,1284,274
6800,2591,1632,995,880,2440,1289,274
6825,2595,1641,999,890,2453,1293,274
6850,2601,1648,1003,899,2458,1297,274
6875,2605,1657,1007,907,2468,1302,276
6900,2613,1666,1011,919,2482,1307,276
6925,2615,1673,1016,927,2490,1312,277
6950,2622,1685,1022,939,2500,1314,278
6975,2629,1694,1028,943,2509,1321,280
7000,2639,1703,1034,954,2522,1327,281
7025,2646,1708,1038,965,2527,1332,282
7050,2655,1720,1041,974,2540,1337,283
7075,2663,1728,1051,981,2551,1342,283
7100,2673,1737,1057,987,2558,1345,284
7125,2681,1746,1061,994,2564,1346,284
7150,2690,1756,1066,999,2574,1348,285
7175,2694,1761,1067,1005,2581,1349,285
7200,2704,1767,1071,1013,2592,1353,288
7225,2716,1777,1078,1023,2603,1356,289
7250,2725,1786,1083,1030,2612,1357,291
7275,2732,1793,1087,1039,2619,1357,293
7300,2740,1802,1090,1049,2629,1358,293
7325,2746,1808,1094,1057,2637,1360,296
7350,2752,1815,1098,1065,2642,1361,298
7375,2758,1823,1105,1074,2646,1362,298
7400,2767,1830,1112,1083,2654,1367,298
7425,2775,1839,1117,1091,2662,1369,299
7450,2782,1846,1122,1098,2674,1371,300
7475,2792,1854,1128,1109,2685,1372,300
7500,2801,1860,1133,1113,2692,1379,300
7525,2808,1863,1138,1120,2700,1381,302
7550,2813,1871,1143,1131,2710,1383,302
7575,2821,1882,1150,1142,2720,1388,302
7600,2830,1893,1156,1149,2732,1390,302
7625,2835,1904,1161,1158,2742,1392,302
7650,2841,1910,1163,1165,2750,1396,303
7675,2848,1914,1166,1169,2757,1397,304
7700,2853,1916,1167,1175,2762,1399,304
7725,2857,1921,1168,1181,2767,1402,306
7750,2867,1929,1171,1192,2783,1403,307
7775,2872,1939,1173,1197,2796,1404,308
7800,2880,1944,1176,1201,2806,1410,309
7825,2889,1952,1180,1213,2816,1410,309
7850,2898,1962,1185,1225,2827,1412,310
7875,2905,1970,1190,1233,2835,1414,311
7900,2915,1983,1197,1246,2848,1418,313
7925,2919,1990,1200,1251,2858,1421,313
7950,2931,2002,1210,1262,2869,1427,315
7975,2938,2011,1216,1270,2881,1431,317
8000,2946,2021,1219,1281,2892,1435,320
8025,2949,2031,1226,1286,2901,1435,322
8050,2954,2044,1233,1297,2915,1440,322
8075,2962,2055,1237,1307,2927,1443,323
8100,2967,2066,1243,1318,2938,1449,323
8125,2975,2076,1250,1328,2947,1451,324
8150,2984,2089,1258,1341,2960,1455,325
8175,2990,2097,1264,1353,2972,1459,326
8200,2993,2100,1270,1363,2977,1461,328
8225,3000,2110,1280,1374,2990,1467,329
8250,3005,2118,1285,1384,2997,1469,329
8275,3012,2127,1292,1394,3008,1472,330
8300,3026,2136,1298,1404,3022,1475,334
8325,3035,2148,1302,1411,3032,1479,335
8350,3038,2157,1311,1421,3043,1482,336
8375,3043,2164,1317,1425,3049,1484,336
8400,3051,2174,1322,1436,3061,1485,337
8425,3057,2183,1328,1445,3069,1490,338
8450,3068,2192,1337,1454,3080,1495,339
8475,3073,2197,1344,1459,3087,1498,339
8500,3079,2210,1351,1470,3097,1502,339
8525,3088,2219,1360,1477,3108,1505,340
8550,3094,2230,1370,1486,3119,1507,341
8575,3102,2241,1376,1495,3130,1510,342
8600,3108,2251,1383,1504,3136,1511,342
8625,3114,2264,1389,1511,3151,1515,342
8650,3118,2276,1396,1523,3163,1517,342
8675,3127,2287,1403,1531,3175,1518,343
8700,3136,2297,1407,1535,3188,1520,344
8725,3143,2306,1413,1550,3198,1524,346
8750,3150,2319,1419,1562,3210,1526,346
8775,3156,2333,1431,1574,3221,1529,346
8800,3164,2342,1436,1583,3234,1530,347
8825,3172,2353,1445,1592,3243,1532,349
8850,3174,2363,1453,1602,3252,1535,349
8875,3181,2375,1464,1615,3263,1538,349
8900,3187,2386,1469,1625,3274,1540,353
8925,3200,2397,1476,1638,3288,1543,354
8950,3209,2406,1484,1644,3297,1544,355
8975,3219,2419,1490,1657,3309,1545,357
9000,3228,2431,1498,1669,3322,1547,358
9025,3236,2440,1500,1682,3337,1550,361
9050,3241,2447,1506,1693,3348,1551,361
9075,3253,2459,1512,1703,3357,1555,364
9100,3257,2467,1520,1712,3367,1558,366
9125,3266,2478,1526,1721,3378,1561,368
9150,3273,2488,1530,1729,3389,1562,369
9175,3280,2495,1535,1737,3399,1562,372
9200,3286,2506,1541,1748,3412,1566,373
9225,3293,2514,1550,1757,3422,1569,375
9250,3299,2523,1558,1763,3430,1571,375
9275,3305,2526,1562,1768,3438,1572,377
9300,3310,2536,1570,1777,3450,1573,378
9325,3319,2547,1576,1790,3460,1575,378
9350,3327,2556,1581,1801,3470,1577,379
9375,3330,2567,1588,1809,3481,1578,380
9400,3336,2574,1592,1817,3489,1578,382
9425,3341,2582,1599,1827,3495,1582,384
9450,3346,2594,1607,1841,3510,1585,385
9475,3355,2602,1611,1852,3518,1586,385
9500,3359,2611,1614,1859,3525,1587,385
9525,3361,2619,1620,1867,3536,1588,387
9550,3364,2627,1627,1872,3543,1590,388
9575,3371,2638,1635,1879,3552,1591,389
9600,3378,2652,1644,1890,3565,1595,391
9625,3386,2664,1651,1903,3576,1601,391
9650,3397,2674,1658,1912,3587,1603,392
9675,3406,2684,1663,1922,3596,1606,394
9700,3410,2694,1670,1931,3607,1606,395
9725,3416,2707,1682,1942,3622,1610,397
9750,3424,2723,1689,1957,3638,1613,399
9775,3429,2734,1697,1968,3652,1615,400
9800,3439,2746,1704,1980,3668,1618,402
9825,3447,2756,1710,1993,3679,1620,404
9850,3453,2766,1716,2002,3688,1622,406
9875,3459,2777,1723,2010,3700,1625,407
9900,3463,2788,1731,2023,3710,1626,408
9925,3469,2801,1738,2031,3721,1629,410
9950,3474,2811,1744,2044,3732,1632,410
9975,3479,2820,1746,2053,3743,1636,410
10000,3487,2828,1749,2060,3751,1638,410
10025,3492,2836,1754,2065,3760,1638,410
10050,3498,2848,1761,2075,3768,1643,411
10075,3502,2857,1766,2082,3774,1646,412
10100,3508,2863,1773,2090,3784,1649,412
10125,3519,2875,1780,2099,3794,1652,413
10150,3528,2879,1782,2108,3799,1654,415
10175,3532,2887,1788,2117,3807,1659,417
10200,3538,2897,1793,2126,3817,1662,419
10225,3544,2901,1795,2133,3823,1666,419
10250,3547,2906,1798,2140,3827,1668,421
10275,3551,2914,1804,2150,3835,1671,423
10300,3558,2922,1810,2160,3846,1674,425
10325,3562,2930,1817,2167,3854,1677,426
10350,3572,2941,1826,2177,3864,1685,428
10375,3578,2951,1834,2188,3873,1691,428
10400,3586,2964,1845,2203,3884,1696,430
10425,3593,2975,1852,2213,3896,1702,430
10450,3602,2984,1859,2225,3908,1705,431
10475,3611,2992,1866,2235,3918,1708,432
10500,3617,3001,1871,2242,3924,1709,432
10525,3623,3007,1874,2250,3932,1712,432
10550,3626,3014,1877,2260,3935,1714,437
10575,3633,3020,1880,2269,3941,1715,439
10600,3641,3029,1888,2279,3954,1718,442
10625,3648,3038,1891,2284,3961,1722,444
10650,3656,3047,1899,2292,3971,1724,446
10675,3664,3053,1905,2302,3978,1726,447
10700,3674,3064,1913,2312,3989,1728,447
10725,3675,3069,1917,2319,3993,1728,448
10750,3681,3079,1927,2331,4004,1731,450
10775,3688,3086,1929,2340,4012,1732,451
10800,3696,3096,1935,2345,4022,1732,451
10825,3702,3104,1942,2355,4026,1737,452
10850,3707,3116,1949,2366,4032,1745,452
10875,3716,3124,1954,2375,4042,1747,453
10900,3721,3132,1960,2386,4050,1747,453
10925,3726,3137,1966,2398,4061,1749,454
10950,3729,3145,1971,2409,4072,1751,454
10975,3737,3151,1975,2416,4080,1751,456
11000,3742,3157,1980,2421,4086,1753,457
11025,3747,3166,1986,2431,4096,1755,458
11050,3755,3176,1993,2439,4107,1758,459
11075,3758,3184,1999,2444,4112,1759,459
11100,3769,3194,2009,2456,4127,1763,460
11125,3774,3203,2013,2462,4134,1767,463
11150,3782,3211,2018,2475,4144,1770,465
11175,3787,3220,2024,2482,4152,1771,465
11200,3793,3228,2031,2493,4161,1773,469
11225,3800,3237,2039,2504,4173,1776,471
11250,3807,3246,2045,2516,4187,1779,471
11275,3820,3258,2056,2530,4199,1784,472
11300,3827,3272,2068,2544,4213,1786,476
11325,3839,3283,2076,2553,4223,1789,477
11350,3844,3293,2083,2563,4234,1790,477
11375,3857,3304,2092,2577,4244,1791,479
11400,3862,3312,2096,2583,4251,1793,479
11425,3870,3322,2105,2593,4262,1795,481
11450,3879,3331,2112,2605,4273,1795,482
11475,3885,3337,2118,2612,4279,1796,482
11500,3893,3347,2126,2620,4288,1797,483
11525,3900,3353,2133,2627,4294,1800,483
11550,3905,3364,2142,2639,4304,1803,483
11575,3913,3373,2150,2649,4316,1804,484
11600,3917,3382,2155,2656,4325,1805,485
11625,3926,3395,2166,2669,4338,1807,486
11650,3931,3404,2174,2680,4352,1808,487
11675,3937,3418,2183,2695,4368,1813,489
11700,3947,3430,2192,2702,4379,1814,489
11725,3958,3438,2196,2709,4386,1817,492
11750,3963,3443,2199,2715,4394,1819,493
11775,3971,3454,2209,2732,4408,1821,496
11800,3981,3464,2217,2741,4419,1823,497
11825,3991,3474,2225,2751,4427,1826,499
11850,3996,3484,2234,2762,4437,1829,500
11875,4003,3493,2240,2768,4445,1832,500
11900,4006,3500,2245,2779,4450,1834,501
11925,4010,3506,2252,2787,4458,1838,502
11950,4016,3515,2259,2798,4469,1842,502
11975,4021,3525,2261,2807,4477,1843,505
12000,4027,3532,2267,2816,4488,1844,506
12025,4034,3546,2275,2827,4498,1848,508
12050,4039,3556,2281,2837,4506,1851,510
12075,4051,3568,2289,2853,4520,1857,510
12100,4059,3580,2296,2865,4532,1858,514
12125,4066,3593,2307,2877,4546,1863,515
12150,4077,3606,2319,2892,4559,1869,517
12175,4083,3615,2327,2907,4570,1871,517
12200,4091,3625,2337,2918,4584,1875,517
12225,4093,3634,2343,2925,4588,1878,517
12250,4100,3645,2349,2933,4595,1882,518
12275,4108,3655,2358,2944,4607,1882,519
12300,4111,3661,2365,2955,4619,1883,521
12325,4120,3671,2370,2966,4628,1886,521
12350,4126,3678,2376,2974,4636,1887,523
12375,4134,3688,2380,2986,4646,1891,526
12400,4140,3697,2383,2996,4653,1892,527
12425,4147,3705,2389,3005,4663,1894,528
12450,4152,3714,2396,3017,4674,1895,529
12475,4158,3722,2400,3027,4684,1895,529
12500,4169,3733,2409,3039,4695,1897,530
12525,4178,3739,2412,3046,4703,1898,531
12550,4187,3752,2420,3055,4715,1903,532
12575,4195,3762,2429,3064,4725,1907,533
12600,4201,3777,2442,3080,4742,1911,534
12625,4204,3784,2447,3089,4749,1915,536
12650,4210,3795,2455,3100,4759,1920,538
12675,4217,3802,2459,3110,4767,1922,540
12700,4223,3808,2464,3119,4775,1923,540
12725,4227,3813,2466,3125,4786,1925,542
12750,4233,3820,2471,3135,4795,1930,543
12775,4240,3827,2476,3145,4806,1931,544
12800,4246,3836,2483,3150,4816,1931,544
12825,4249,3845,2492,3157,4824,1937,544
12850,4255,3854,2499,3170,4833,1937,546
12875,4260,3863,2506,3179,4846,1938,546
12900,4267,3872,2514,3189,4855,1938,546
12925,4274,3884,2519,3201,4867,1938,546
12950,4281,3893,2526,3211,4877,1939,548
12975,4287,3899,2531,3218,4888,1942,549
13000,4291,3905,2536,3225,4896,1946,549
13025,4295,3914,2542,3233,4906,1948,549
13050,4301,3923,2548,3241,4917,1950,551
13075,4308,3931,2555,3247,4927,1952,551
13100,4315,3937,2561,3252,4937,1955,552
13125,4322,3945,2567,3262,4946,1956,553
13150,4325,3953,2574,3276,4956,1957,553
13175,4332,3962,2580,3288,4966,1957,554
13200,4338,3975,2591,3300,4980,1959,554
13225,4343,3984,2597,3310,4990,1960,554
13250,4348,3991,2605,3320,4999,1964,557
13275,4350,3999,2611,3328,5008,1965,557
13300,4353,4003,2616,3337,5016,1967,559
13325,4361,4011,2625,3348,5027,1971,561
13350,4370,4018,2632,3358,5039,1974,561
13375,4376,4025,2638,3366,5048,1977,563
13400,4379,4033,2643,3373,5056,1978,565
13425,4380,4042,2649,3381,5067,1979,565
13450,4383,4048,2650,3387,5073,1984,566
13475,4393,4057,2656,3399,5084,1988,567
13500,4395,4065,2663,3405,5093,1991,569
13525,4401,4075,2668,3414,5104,1992,570
13550,4406,4081,2675,3421,5111,1996,573
13575,4412,4085,2678,3426,5115,1999,574
13600,4417,4094,2684,3431,5126,2002,574
13625,4423,4102,2690,3438,5135,2005,578
13650,4432,4107,2694,3447,5140,2008,578
13675,4438,4116,2701,3458,5152,2009,582
13700,4446,4128,2710,3472,5164,2012,582
13725,4453,4139,2720,3483,5177,2017,583
13750,4460,4153,2730,3494,5188,2021,584
13775,4467,4160,2737,3503,5196,2025,586
13800,4473,4168,2744,3513,5206,2026,586
13825,4481,4177,2754,3523,5217,2030,586
13850,4487,4184,2760,3533,5229,2033,586
13875,4492,4191,2766,3543,5237,2034,587
13900,4498,4204,2774,3550,5251,2038,587
13925,4506,4215,2779,3557,5265,2040,587
13950,4515,4224,2784,3570,5278,2042,589
13975,4523,4233,2787,3576,5284,2043,590
14000,4530,4241,2794,3587,5294,2044,592
14025,4535,4247,2796,3595,5303,2045,594
14050,4540,4257,2804,3607,5313,2047,594
14075,4543,4261,2805,3613,5317,2050,595
14100,4551,4270,2812,3623,5332,2052,595
14125,4558,4280,2820,3630,5340,2055,595
14150,4563,4287,2828,3638,5347,2059,595
14175,4570,4299,2841,3652,5358,2063,597
14200,4572,4305,2847,3662,5367,2063,598
14225,4581,4319,2857,3675,5383,2064,599
14250,4591,4328,2865,3688,5392,2068,599
14275,4598,4337,2874,3704,5406,2070,600
14300,4606,4346,2880,3715,5419,2072,601
14325,4610,4353,2881,3720,5427,2074,602
14350,4619,4363,2886,3731,5440,2076,602
14375,4623,4367,2889,3734,5445,2077,602
14400,4631,4374,2892,3740,5456,2077,602
14425,4635,4383,2895,3747,5467,2077,602
14450,4642,4396,2901,3758,5481,2080,603
14475,4646,4403,2904,3767,5491,2083,605
14500,4653,4411,2911,3772,5499,2086,605
14525,4655,4417,2915,3778,5507,2086,609
14550,4664,4426,2919,3789,5518,2089,611
14575,4670,4433,2926,3797,5527,2090,611
14600,4676,4447,2935,3811,5541,2092,612
14625,4681,4457,2941,3819,5551,2094,612
14650,4690,4470,2953,3830,5565,2097,612
14675,4695,4478,2959,3841,5573,2097,612
14700,4701,4486,2966,3848,5582,2099,613
14725,4707,4496,2973,3860,5594,2101,613
14750,4710,4505,2980,3868,5601,2101,614
14775,4718,4519,2989,3878,5617,2104,615
14800,4723,4529,2996,3883,5629,2106,615
14825,4730,4538,3002,3893,5636,2110,616
14850,4733,4546,3006,3901,5647,2112,618
14875,4736,4558,3013,3911,5659,2117,618
14900,4743,4568,3019,3919,5669,2119,618
14925,4753,4581,3029,3931,5681,2121,620
14950,4759,4588,3036,3941,5693,2125,620
14975,4766,4596,3041,3948,5701,2126,620
15000,4769,4605,3050,3957,5712,2128,622
15025,4771,4616,3054,3966,5724,2131,623
15050,4775,4623,3058,3977,5737,2135,625
15075,4781,4632,3066,3983,5744,2135,627
15100,4786,4639,3071,3994,5750,2136,627
15125,4787,4648,3078,4001,5761,2137,627
15150,4789,4655,3081,4003,5769,2141,627
15175,4792,4661,3086,4008,5774,2143,627
15200,4796,4669,3092,4015,5783,2145,629
15225,4796,4678,3094,4024,5795,2145,630
15250,4801,4684,3098,4029,5804,2146,631
15275,4806,4688,3101,4036,5812,2148,632
15300,4809,4697,3107,4047,5823,2150,633
15325,4812,4706,3110,4056,5835,2153,633
15350,4814,4709,3115,4060,5840,2155,633
15375,4819,4716,3118,4070,5850,2155,634
15400,4822,4722,3124,4078,5860,2157,634
15425,4829,4729,3129,4085,5866,2160,637
15450,4835,4737,3136,4099,5877,2164,638
15475,4840,4743,3142,4107,5882,2164,640
15500,4846,4749,3147,4114,5889,2165,641
15525,4848,4758,3153,4121,5900,2167,644
15550,4854,4770,3164,4133,5914,2170,644
15575,4858,4778,3171,4139,5922,2173,644
15600,4864,4788,3179,4150,5930,2175,645
15625,4866,4797,3184,4157,5940,2179,645
15650,4871,4809,3193,4167,5952,2182,649
15675,4876,4818,3202,4175,5961,2187,650
15700,4886,4831,3208,4188,5975,2189,651
15725,4897,4841,3217,4200,5989,2191,652
15750,4903,4852,3227,4211,6000,2195,652
15775,4908,4862,3235,4219,6010,2198,653
15800,4914,4867,3239,4227,6017,2198,655
15825,4918,4875,3243,4232,6022,2200,656
15850,4921,4885,3250,4239,6031,2202,657
15875,4929,4896,3257,4248,6041,2204,657
15900,4931,4904,3262,4258,6049,2205,658
15925,4936,4911,3268,4268,6058,2210,660
15950,4938,4918,3273,4275,6064,2210,660
15975,4945,4927,3282,4284,6071,2215,662
16000,4953,4938,3292,4294,6082,2221,663
16025,4956,4949,3298,4302,6093,2223,666
16050,4961,4960,3301,4311,6104,2223,669
16075,4963,4965,3306,4317,6110,2224,671
16100,4965,4973,3312,4323,6117,2227,673
16125,4974,4986,3320,4332,6130,2233,674
16150,4978,4993,3324,4336,6135,2235,675
16175,4982,5002,3331,4342,6147,2235,677
16200,4987,5013,3338,4352,6159,2240,680
16225,4988,5019,3344,4359,6164,2243,682
16250,4990,5028,3354,4371,6175,2246,682
16275,4995,5038,3362,4380,6184,2248,682
16300,5001,5048,3369,4390,6194,2249,682
16325,5006,5056,3373,4397,6203,2250,683
