Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
0,0,0,0,1,0,0,0
25,1,1,1,1,1,6,1
50,3,2,2,1,2,10,2
75,4,2,2,2,2,18,4
100,9,3,3,2,3,22,4
125,12,6,7,3,8,30,4
150,17,8,9,3,11,34,6
175,27,11,11,5,15,40,7
200,37,14,13,6,22,52,7
225,51,16,16,8,31,62,9
250,64,19,19,9,40,74,9
275,78,19,19,10,52,85,10
300,85,20,23,12,60,92,11
325,94,20,23,14,68,100,15
350,109,22,24,15,73,110,15
375,122,24,25,18,80,123,15
400,133,26,26,21,89,134,15
425,148,29,30,22,99,145,17
450,162,33,34,24,110,155,19
475,175,34,37,27,119,166,20
500,191,39,39,28,131,180,21
525,200,43,40,29,137,189,22
550,213,45,42,31,145,201,22
575,224,47,44,31,154,209,22
600,239,50,47,32,168,220,24
625,252,52,50,33,179,228,24
650,268,52,52,34,194,242,24
675,284,55,54,36,203,252,24
700,295,58,57,37,211,260,24
725,312,63,61,37,223,273,25
750,326,68,64,38,234,288,25
775,338,71,68,39,244,296,26
800,358,73,71,40,263,309,26
825,370,73,72,40,275,318,27
850,388,76,77,43,286,326,29
875,403,79,81,43,293,337,29
900,417,86,84,43,304,345,31
925,427,89,86,45,312,351,33
950,439,95,91,47,322,359,34
975,453,95,93,47,334,369,35
1000,462,97,96,47,343,375,35
1025,477,100,98,51,354,381,35
1050,488,101,101,51,366,388,36
1075,498,107,104,51,375,395,37
1100,511,113,107,53,383,399,38
1125,523,116,109,54,389,404,42
1150,535,121,111,55,398,406,42
1175,544,123,113,56,406,409,43
1200,552,127,119,58,411,409,43
1225,561,131,123,59,420,413,43
1250,577,135,130,61,434,420,43
1275,589,139,134,61,443,422,44
1300,601,143,140,62,451,428,44
1325,609,147,144,65,459,431,45
1350,617,148,146,66,466,436,46
1375,627,154,148,67,474,442,46
1400,637,156,149,69,484,443,48
1425,644,158,151,70,490,446,50
1450,657,163,155,71,499,450,51
1475,665,167,159,73,507,451,52
1500,672,171,161,74,515,452,53
1525,685,171,163,76,523,453,55
1550,697,173,165,77,533,457,56
1575,708,180,167,77,545,462,61
1600,721,185,171,78,554,466,62
1625,733,190,174,80,562,467,63
1650,741,199,181,80,573,469,63
1675,752,207,183,82,584,476,63
1700,764,214,188,84,593,479,64
1725,773,221,194,84,603,481,64
1750,780,225,198,85,612,484,66
1775,785,233,200,85,618,487,66
