Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0,0
25,1,1,1,3,1,0
50,2,2,2,4,2,1
75,6,5,5,5,6,2
100,10,6,5,6,10,2
125,14,6,5,7,15,4
150,19,6,6,9,20,5
175,22,7,8,9,25,6
200,26,10,11,9,30,8
225,31,13,13,11,34,9
250,37,13,13,12,37,9
275,45,14,17,12,44,11
300,52,15,18,13,54,12
325,59,21,22,13,63,13
350,67,25,25,15,72,13
375,77,26,27,16,78,13
400,86,28,29,17,87,13
425,99,31,30,18,95,13
450,112,35,34,18,109,15
475,116,36,36,19,117,16
500,126,38,38,20,127,16
525,137,40,43,22,136,17
550,151,42,48,24,146,18
575,160,45,52,24,157,21
600,175,47,55,26,172,23
625,183,50,58,29,180,26
650,191,54,62,29,190,27
675,199,56,65,30,195,27
700,211,60,68,32,207,31
725,219,62,70,34,214,32
750,230,66,75,34,222,34
775,241,67,78,34,227,36
800,253,68,79,35,234,38
825,263,68,82,35,240,43
850,277,71,83,38,250,43
875,290,75,86,39,261,43
900,302,77,88,41,274,43
925,315,79,91,41,282,44
950,325,79,92,41,292,45
975,337,85,96,43,300,45
1000,352,87,98,44,310,47
1025,363,93,103,45,316,48
1050,374,97,105,45,324,50
1075,387,102,106,45,333,51
1100,404,107,109,47,346,51
1125,416,109,111,47,356,51
1150,429,116,116,49,368,51
1175,442,116,118,50,381,51
1200,453,118,118,53,391,52
1225,466,122,122,54,405,52
1250,475,124,126,55,412,53
1275,488,126,127,56,420,54
1300,502,129,129,57,428,54
1325,515,133,135,60,437,55
1350,527,135,137,60,444,56
1375,538,135,138,60,453,56
1400,548,137,140,63,459,57
1425,559,142,141,65,469,59
1450,565,148,144,65,479,59
1475,580,151,149,66,487,61
1500,596,155,150,66,498,64
1525,610,161,154,66,510,64
1550,623,164,158,68,518,65
1575,632,168,164,69,527,66
1600,649,170,169,71,535,66
1625,662,173,172,72,539,66
1650,674,177,174,72,547,66
1675,689,180,176,73,552,66
1700,702,181,177,73,560,67
1725,713,185,179,75,567,69
1750,727,187,180,76,576,69
1775,740,189,181,77,581,71
1800,752,192,185,77,586,74
1825,767,196,189,80,595,75
1850,777,200,192,82,600,76
1875,790,208,196,82,611,76
1900,801,211,198,84,619,78
1925,815,215,199,84,628,78
1950,829,217,201,87,639,79
1975,842,220,202,88,646,79
2000,855,224,202,89,655,80
2025,868,230,206,89,668,83
2050,882,235,211,91,679,85
2075,898,240,211,91,691,85
2100,907,240,218,93,699,86
2125,921,244,220,94,707,88
2150,932,246,221,96,713,90
2175,941,249,223,97,720,90
2200,953,251,225,100,725,90
2225,962,257,228,100,730,91
2250,971,261,231,100,739,92
2275,982,262,233,100,744,92
2300,993,263,235,101,755,94
2325,1005,266,241,102,763,95
2350,1014,268,241,102,768,95
2375,1025,271,245,103,774,97
2400,1040,274,246,105,784,98
2425,1050,282,251,106,791,98
2450,1061,288,255,107,798,98
2475,1074,293,259,107,809,98
2500,1082,299,264,107,818,99
2525,1091,301,266,107,823,99
2550,1102,308,268,110,830,103
2575,1113,312,273,112,838,103
2600,1122,315,277,112,844,105
2625,1131,319,282,114,852,105
2650,1141,323,284,116,858,105
2675,1148,329,291,118,864,106
2700,1158,333,293,118,868,107
2725,1167,335,296,120,875,109
2750,1179,338,299,121,887,110
2775,1189,341,302,121,895,113
2800,1202,349,311,121,903,114
2825,1212,356,315,121,910,116
2850,1222,368,322,123,918,118
2875,1238,375,326,125,932,120
2900,1245,380,331,125,943,121
2925,1258,386,334,125,953,122
2950,1269,390,335,125,957,124
