Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
4925,2384,0,0,0,0,0
4950,2384,0,0,0,0,0
4975,2498,0,0,0,0,0
5000,2498,0,0,0,0,0
5025,2498,0,0,0,0,0
5050,2498,0,0,0,0,0
5075,2498,0,0,0,0,0
5100,2498,0,0,0,0,0
5125,2498,0,0,0,0,0
5150,2498,0,0,0,0,0
5175,2498,0,0,0,0,0
5200,2498,0,0,0,0,0
5225,2498,0,0,0,0,0
5250,2498,0,0,0,0,0
5275,2498,0,0,0,0,0
5300,2498,0,0,0,0,0
5325,2498,0,0,0,0,0
5350,2498,0,0,0,0,0
5375,2498,0,0,0,0,0
5400,2498,0,0,0,0,0
5425,2498,0,0,0,0,0
5450,2498,0,0,0,0,0
5475,2498,0,0,0,0,0
5500,2498,0,0,0,0,0
5525,2498,0,0,0,0,0
5550,2498,0,0,0,0,0
5575,2498,0,0,0,0,0
5600,2498,0,0,0,0,0
5625,2498,0,0,0,0,0
5650,2612,0,0,0,0,0
5675,2612,0,0,0,0,0
5700,2612,0,0,0,0,0
5725,2612,0,0,0,0,0
5750,2612,0,0,0,0,0
5775,2612,0,0,0,0,0
5800,2612,0,0,0,0,0
5825,2612,0,0,0,0,0
5850,2612,0,0,0,0,0
5875,2612,0,0,0,0,0
5900,2612,0,0,0,0,0
5925,2612,0,0,0,0,0
5950,2612,0,0,0,0,0
5975,2612,0,0,0,0,0
6000,2612,0,0,0,0,0
6025,2612,0,0,0,0,0
6050,2612,0,0,0,0,0
6075,2612,0,0,0,0,0
6100,2612,0,0,0,0,0
6125,2612,0,0,0,0,0
6150,2612,0,0,0,0,0
6175,2612,0,0,0,0,0
6200,2612,0,0,0,0,0
6225,2612,0,0,0,0,0
6250,2612,0,0,0,0,0
6275,2612,0,0,0,0,0
6300,2612,0,0,0,0,0
6325,2612,0,0,0,0,0
6350,2612,0,0,0,0,0
6375,2726,0,0,0,0,0
6400,2726,0,0,0,0,0
6425,2726,0,0,0,0,0
6450,2726,0,0,0,0,0
6475,2726,0,0,0,0,0
6500,2726,0,0,0,0,0
6525,2726,0,0,0,0,0
6550,2726,0,0,0,0,0
6575,2726,0,0,0,0,0
6600,2726,0,0,0,0,0
6625,2726,0,0,0,0,0
6650,2726,0,0,0,0,0
6675,2726,0,0,0,0,0
6700,2726,0,0,0,0,0
6725,2726,0,0,0,0,0
6750,2726,0,0,0,0,0
6775,2726,0,0,0,0,0
6800,2726,0,0,0,0,0
6825,2726,0,0,0,0,0
6850,2726,0,0,0,0,0
6875,2726,0,0,0,0,0
6900,2726,0,0,0,0,0
6925,2726,0,0,0,0,0
6950,2726,0,0,0,0,0
6975,2726,0,0,0,0,0
7000,2726,0,0,0,0,0
7025,2726,0,0,0,0,0
7050,2726,0,0,0,0,0
7075,2840,0,0,0,0,0
7100,2840,0,0,0,0,0
7125,2840,0,0,0,0,0
7150,2840,0,0,0,0,0
7175,2840,0,0,0,0,0
7200,2840,0,0,0,0,0
7225,2840,0,0,0,0,0
7250,2840,0,0,0,0,0
7275,2840,0,0,0,0,0
7300,2840,0,0,0,0,0
7325,2840,0,0,0,0,0
7350,2840,0,0,0,0,0
7375,2840,0,0,0,0,0
7400,2840,0,0,0,0,0
7425,2840,0,0,0,0,0
7450,2840,0,0,0,0,0
7475,2840,0,0,0,0,0
7500,2840,0,0,0,0,0
7525,2840,0,0,0,0,0
7550,2840,0,0,0,0,0
7575,2840,0,0,0,0,0
7600,2840,0,0,0,0,0
7625,2840,0,0,0,0,0
7650,2840,0,0,0,0,0
7675,2840,0,0,0,0,0
7700,2840,0,0,0,0,0
7725,2840,0,0,0,0,0
7750,2840,0,0,0,0,0
7775,2840,0,0,0,0,0
7800,2840,0,0,0,0,0
7825,2840,0,0,0,0,0
7850,2840,0,0,0,0,0
7875,2840,0,0,0,0,0
7900,2840,0,0,0,0,0
7925,2840,0,0,0,0,0
7950,2840,0,0,0,0,0
7975,2840,0,0,0,0,0
8000,2954,0,0,0,0,0
8025,2954,0,0,0,0,0
8050,2954,0,0,0,0,0
8075,2954,0,0,0,0,0
8100,2954,0,0,0,0,0
8125,2954,0,0,0,0,0
8150,2954,0,0,0,0,0
8175,2954,0,0,0,0,0
8200,2954,0,0,0,0,0
8225,2954,0,0,0,0,0
8250,2954,0,0,0,0,0
8275,2954,0,0,0,0,0
8300,2954,0,0,0,0,0
8325,2954,0,0,0,0,0
8350,2954,0,0,0,0,0
8375,2954,0,0,0,0,0
8400,2954,0,0,0,0,0
8425,2954,0,0,0,0,0
8450,2954,0,0,0,0,0
8475,2954,0,0,0,0,0
8500,2954,0,0,0,0,0
8525,2954,0,0,0,0,0
8550,2954,0,0,0,0,0
8575,2954,0,0,0,0,0
8600,2954,0,0,0,0,0
8625,2954,0,0,0,0,0
8650,2954,0,0,0,0,0
8675,2954,0,0,0,0,0
8700,2954,0,0,0,0,0
8725,2954,0,0,0,0,0
8750,2954,0,0,0,0,0
8775,2954,0,0,0,0,0
8800,2954,0,0,0,0,0
8825,2954,0,0,0,0,0
8850,2954,0,0,0,0,0
8875,2954,0,0,0,0,0
8900,2954,0,0,0,0,0
8925,2954,0,0,0,0,0
8950,2954,0,0,0,0,0
8975,3068,0,0,0,0,0
9000,3068,0,0,0,0,0
9025,3068,0,0,0,0,0
9050,3068,0,0,0,0,0
9075,3068,0,0,0,0,0
9100,3068,0,0,0,0,0
9125,3068,0,0,0,0,0
9150,3068,0,0,0,0,0
9175,3068,0,0,0,0,0
9200,3068,0,0,0,0,0
9225,3068,0,0,0,0,0
9250,3068,0,0,0,0,0
9275,3068,0,0,0,0,0
9300,3068,0,0,0,0,0
9325,3068,0,0,0,0,0
9350,3068,0,0,0,0,0
9375,3068,0,0,0,0,0
9400,3068,0,0,0,0,0
9425,3068,0,0,0,0,0
9450,3068,0,0,0,0,0
9475,3068,0,0,0,0,0
9500,3068,0,0,0,0,0
9525,3068,0,0,0,0,0
9550,3068,0,0,0,0,0
9575,3068,0,0,0,0,0
9600,3068,0,0,0,0,0
9625,3068,0,0,0,0,0
9650,3068,0,0,0,0,0
9675,3068,0,0,0,0,0
9700,3068,0,0,0,0,0
9725,3068,0,0,0,0,0
9750,3068,0,0,0,0,0
9775,3068,0,0,0,0,0
9800,3182,0,0,0,0,0
9825,3182,0,0,0,0,0
9850,3182,0,0,0,0,0
9875,3182,0,0,0,0,0
9900,3182,0,0,0,0,0
9925,3182,0,0,0,0,0
9950,3182,0,0,0,0,0
9975,3182,0,0,0,0,0
10000,3182,0,0,0,0,0
10025,3182,0,0,0,0,0
10050,3182,0,0,0,0,0
10075,3182,0,0,0,0,0
10100,3182,0,0,0,0,0
10125,3182,0,0,0,0,0
10150,3182,0,0,0,0,0
10175,3182,0,0,0,0,0
10200,3182,0,0,0,0,0
10225,3182,0,0,0,0,0
10250,3182,0,0,0,0,0
10275,3182,0,0,0,0,0
10300,3182,0,0,0,0,0
10325,3182,0,0,0,0,0
10350,3182,0,0,0,0,0
10375,3182,0,0,0,0,0
10400,3182,0,0,0,0,0
10425,3182,0,0,0,0,0
10450,3182,0,0,0,0,0
10475,3182,0,0,0,0,0
10500,3182,0,0,0,0,0
10525,3182,0,0,0,0,0
10550,3182,0,0,0,0,0
10575,3182,0,0,0,0,0
10600,3182,0,0,0,0,0
10625,3182,0,0,0,0,0
10650,3296,0,0,0,0,0
10675,3296,0,0,0,0,0
10700,3296,0,0,0,0,0
10725,3296,0,0,0,0,0
10750,3296,0,0,0,0,0
10775,3296,0,0,0,0,0
10800,3296,0,0,0,0,0
10825,3296,0,0,0,0,0
10850,3296,0,0,0,0,0
10875,3296,0,0,0,0,0
10900,3296,0,0,0,0,0
10925,3296,0,0,0,0,0
10950,3296,0,0,0,0,0
10975,3296,0,0,0,0,0
11000,3296,0,0,0,0,0
11025,3296,0,0,0,0,0
11050,3296,0,0,0,0,0
11075,3296,0,0,0,0,0
11100,3296,0,0,0,0,0
11125,3296,0,0,0,0,0
11150,3296,0,0,0,0,0
11175,3296,0,0,0,0,0
11200,3296,0,0,0,0,0
11225,3296,0,0,0,0,0
11250,3296,0,0,0,0,0
11275,3296,0,0,0,0,0
11300,3296,0,0,0,0,0
11325,3296,0,0,0,0,0
11350,3296,0,0,0,0,0
11375,3296,0,0,0,0,0
11400,3296,0,0,0,0,0
11425,3296,0,0,0,0,0
11450,3296,0,0,0,0,0
11475,3296,0,0,0,0,0
11500,3296,0,0,0,0,0
11525,3296,0,0,0,0,0
11550,3296,0,0,0,0,0
11575,3296,0,0,0,0,0
11600,3296,0,0,0,0,0
11625,3296,0,0,0,0,0
11650,3296,0,0,0,0,0
11675,3296,0,0,0,0,0
11700,3296,0,0,0,0,0
11725,3296,0,0,0,0,0
11750,3296,0,0,0,0,0
11775,3296,0,0,0,0,0
11800,3296,0,0,0,0,0
11825,3296,0,0,0,0,0
11850,3296,0,0,0,0,0
11875,3296,0,0,0,0,0
11900,3296,0,0,0,0,0
11925,3296,0,0,0,0,0
11950,3410,0,0,0,0,0
11975,3410,0,0,0,0,0
12000,3410,0,0,0,0,0
12025,3410,0,0,0,0,0
12050,3410,0,0,0,0,0
12075,3410,0,0,0,0,0
12100,3410,0,0,0,0,0
12125,3410,0,0,0,0,0
12150,3410,0,0,0,0,0
12175,3410,0,0,0,0,0
12200,3410,0,0,0,0,0
12225,3410,0,0,0,0,0
12250,3410,0,0,0,0,0
12275,3410,0,0,0,0,0
12300,3410,0,0,0,0,0
12325,3410,0,0,0,0,0
12350,3410,0,0,0,0,0
12375,3410,0,0,0,0,0
12400,3410,0,0,0,0,0
12425,3410,0,0,0,0,0
12450,3410,0,0,0,0,0
12475,3410,0,0,0,0,0
12500,3410,0,0,0,0,0
12525,3410,0,0,0,0,0
12550,3410,0,0,0,0,0
12575,3410,0,0,0,0,0
12600,3410,0,0,0,0,0
12625,3410,0,0,0,0,0
12650,3410,0,0,0,0,0
12675,3410,0,0,0,0,0
12700,3410,0,0,0,0,0
12725,3410,0,0,0,0,0
12750,3410,0,0,0,0,0
12775,3410,0,0,0,0,0
12800,3410,0,0,0,0,0
12825,3410,0,0,0,0,0
12850,3410,0,0,0,0,0
12875,3410,0,0,0,0,0
