Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0
25,58,0,1,0
50,210,0,1,0
75,290,0,1,0
100,376,0,1,0
125,472,0,2,0
150,574,0,7,0
175,676,0,7,0
200,676,0,9,0
225,788,0,12,0
250,902,0,18,0
275,902,0,28,0
300,902,0,36,0
325,902,0,40,0
350,902,0,46,0
375,902,0,54,0
400,1016,0,61,0
425,1016,0,71,0
450,1130,0,80,0
475,1130,0,90,0
500,1130,0,104,0
525,1130,0,115,0
550,1130,0,123,0
575,1130,0,134,0
600,1130,0,142,0
625,1130,0,150,0
650,1130,0,162,0
675,1244,0,173,0
700,1244,0,184,0
725,1244,0,194,0
750,1244,0,210,0
775,1244,0,223,0
800,1244,0,233,0
825,1244,0,246,0
850,1244,0,252,0
875,1358,0,265,0
900,1358,0,273,0
925,1358,0,284,0
950,1358,0,293,0
975,1358,0,304,0
1000,1358,0,318,0
1025,1358,0,329,0
1050,1358,0,342,0
1075,1472,0,353,0
1100,1472,0,368,0
1125,1472,0,381,0
1150,1472,0,391,0
1175,1472,0,407,0
1200,1472,0,423,0
1225,1472,0,440,0
1250,1472,0,453,0
1275,1472,0,462,0
1300,1472,0,478,0
1325,1472,0,489,0
1350,1472,0,503,0
1375,1472,0,518,0
1400,1586,0,535,0
1425,1586,0,545,0
1450,1586,0,557,0
1475,1586,0,574,0
1500,1586,0,586,0
1525,1586,0,603,0
1550,1586,0,616,4
1575,1586,0,635,4
1600,1586,0,651,30
1625,1586,0,667,30
1650,1586,0,681,30
1675,1586,0,696,56
1700,1586,0,707,56
1725,1586,0,720,76
1750,1586,0,734,76
1775,1700,0,750,106
1800,1700,0,761,106
1825,1700,0,780,120
1850,1700,0,792,120
1875,1700,0,809,120
1900,1700,0,823,136
1925,1700,0,834,136
1950,1700,0,849,138
1975,1700,0,864,138
2000,1700,0,876,162
2025,1700,0,885,162
2050,1700,0,901,162
2075,1700,0,924,170
2100,1700,0,945,170
2125,1700,0,965,184
2150,1700,0,987,184
2175,1814,0,1009,206
2200,1814,0,1031,206
2225,1814,0,1053,234
2250,1814,0,1074,234
2275,1814,0,1097,234
2300,1814,0,1118,262
2325,1814,0,1142,262
2350,1814,0,1165,266
2375,1814,0,1187,266
2400,1814,0,1207,294
2425,1814,0,1230,294
2450,1814,0,1251,294
2475,1814,0,1272,326
2500,1814,0,1291,326
2525,1814,0,1311,328
2550,1814,0,1334,328
2575,1814,0,1354,360
2600,1814,0,1374,360
2625,1928,0,1395,376
2650,1928,0,1414,376
2675,1928,0,1435,376
2700,1928,0,1457,402
2725,1928,0,1476,402
2750,1928,0,1497,418
2775,1928,0,1517,418
2800,1928,0,1538,444
2825,1928,0,1555,444
2850,1928,0,1572,444
2875,1928,0,1595,446
2900,1928,0,1614,446
2925,1928,0,1634,472
2950,2042,0,1652,472
2975,2042,0,1670,494
3000,2042,0,1692,494
3025,2042,0,1711,508
3050,2042,0,1732,508
3075,2042,0,1752,508
3100,2042,0,1769,514
3125,2042,0,1784,514
3150,2042,0,1805,530
3175,2042,0,1822,530
3200,2042,0,1843,544
3225,2042,0,1860,544
3250,2042,0,1878,560
3275,2042,0,1893,560
3300,2042,0,1910,560
3325,2042,0,1930,590
3350,2042,0,1948,590
3375,2042,0,1967,614
3400,2042,0,1985,614
3425,2042,0,2003,640
3450,2042,0,2016,640
3475,2042,0,2033,640
3500,2156,0,2048,644
3525,2156,0,2067,644
3550,2156,0,2084,646
3575,2156,0,2102,646
3600,2156,0,2120,650
3625,2156,0,2131,650
3650,2156,0,2146,650
3675,2156,0,2163,650
3700,2156,0,2177,650
3725,2156,0,2189,650
3750,2156,0,2204,650
3775,2156,0,2221,650
3800,2156,0,2239,650
3825,2270,0,2255,658
3850,2270,0,2269,658
3875,2270,0,2283,658
3900,2270,0,2303,658
3925,2270,0,2317,658
