Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0
25,58,0,1,0
50,210,0,1,0
75,290,0,1,0
100,376,0,1,0
125,472,0,2,0
150,574,0,7,0
175,676,0,7,0
200,676,0,9,0
225,788,0,12,0
250,902,0,18,0
275,902,0,28,0
300,902,0,36,0
325,902,0,40,0
350,902,0,46,0
375,902,0,54,0
400,1016,0,61,0
425,1016,0,71,0
450,1130,0,80,0
475,1130,0,90,0
500,1130,0,104,0
525,1130,0,115,0
550,1130,0,123,0
575,1130,0,134,0
600,1130,0,142,0
625,1130,0,150,0
650,1130,0,162,0
675,1244,0,173,0
700,1244,0,184,0
725,1244,0,194,0
750,1244,0,210,0
775,1244,0,223,0
800,1244,0,233,0
825,1244,0,246,0
850,1244,0,252,0
875,1358,0,265,0
900,1358,0,273,0
925,1358,0,284,0
950,1358,0,293,0
975,1358,0,304,0
1000,1358,0,318,0
1025,1358,0,329,0
1050,1358,0,342,0
1075,1472,0,353,0
1100,1472,0,368,0
1125,1472,0,381,0
1150,1472,0,391,0
1175,1472,0,407,0
1200,1472,0,423,0
1225,1472,0,440,0
1250,1472,0,453,0
1275,1472,0,462,0
1300,1472,0,478,0
1325,1472,0,489,0
1350,1472,0,503,0
1375,1472,0,518,0
1400,1586,0,535,0
1425,1586,0,545,0
1450,1586,0,557,0
1475,1586,0,574,0
1500,1586,0,586,0
1525,1586,0,603,0
1550,1586,0,616,2
1575,1586,0,635,2
1600,1586,0,651,46
1625,1586,0,667,46
1650,1586,0,681,46
1675,1586,0,696,70
1700,1586,0,707,70
1725,1586,0,720,84
1750,1586,0,734,84
1775,1700,0,750,102
1800,1700,0,761,102
1825,1700,0,780,116
1850,1700,0,792,116
1875,1700,0,809,116
1900,1700,0,823,118
1925,1700,0,834,118
1950,1700,0,849,150
1975,1700,0,864,150
2000,1700,0,876,152
2025,1700,0,885,152
2050,1700,0,901,152
2075,1700,0,924,192
2100,1700,0,945,192
2125,1700,0,965,222
2150,1700,0,987,222
2175,1814,0,1009,248
2200,1814,0,1031,248
2225,1814,0,1053,262
2250,1814,0,1074,262
2275,1814,0,1097,262
2300,1814,0,1118,288
2325,1814,0,1142,288
2350,1814,0,1165,312
2375,1814,0,1187,312
2400,1814,0,1207,350
2425,1814,0,1230,350
2450,1814,0,1251,350
2475,1814,0,1272,382
2500,1814,0,1291,382
2525,1814,0,1311,384
2550,1814,0,1334,384
2575,1814,0,1354,398
2600,1814,0,1374,398
2625,1928,0,1395,414
2650,1928,0,1414,414
2675,1928,0,1435,414
2700,1928,0,1457,450
2725,1928,0,1476,450
2750,1928,0,1497,458
2775,1928,0,1517,458
2800,1928,0,1538,466
2825,1928,0,1555,466
2850,1928,0,1572,466
2875,1928,0,1595,478
2900,1928,0,1614,478
2925,1928,0,1634,508
2950,2042,0,1652,508
2975,2042,0,1670,520
3000,2042,0,1692,520
3025,2042,0,1711,530
3050,2042,0,1732,530
3075,2042,0,1752,530
3100,2042,0,1769,548
3125,2042,0,1784,548
3150,2042,0,1805,560
3175,2042,0,1822,560
3200,2042,0,1843,598
3225,2042,0,1860,598
3250,2042,0,1878,600
3275,2042,0,1893,600
3300,2042,0,1910,600
3325,2042,0,1930,618
3350,2042,0,1948,618
3375,2042,0,1967,628
3400,2042,0,1985,628
3425,2042,0,2003,630
3450,2042,0,2016,630
3475,2042,0,2033,630
3500,2156,0,2048,632
3525,2156,0,2067,632
3550,2156,0,2084,640
3575,2156,0,2102,640
3600,2156,0,2120,642
3625,2156,0,2131,642
3650,2156,0,2146,666
3675,2156,0,2163,666
3700,2156,0,2177,666
3725,2156,0,2189,680
3750,2156,0,2204,680
3775,2156,0,2221,698
3800,2156,0,2239,698
3825,2270,0,2255,742
3850,2270,0,2269,742
3875,2270,0,2283,742
3900,2270,0,2303,744
3925,2270,0,2317,744
