Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
6300,2612,0,3487,578
6325,2612,0,3503,578
6350,2612,0,3513,584
6375,2726,0,3517,584
6400,2726,0,3529,590
6425,2726,0,3540,590
6450,2726,0,3554,600
6475,2726,0,3563,600
6500,2726,0,3570,610
6525,2726,0,3581,610
6550,2726,0,3592,610
6575,2726,0,3601,614
6600,2726,0,3610,614
6625,2726,0,3623,622
6650,2726,0,3634,622
6675,2726,0,3647,624
6700,2726,0,3656,624
6725,2726,0,3663,624
6750,2726,0,3673,628
6775,2726,0,3681,628
6800,2726,0,3692,634
6825,2726,0,3703,634
6850,2726,0,3715,636
6875,2726,0,3724,636
6900,2726,0,3733,638
6925,2726,0,3744,638
6950,2726,0,3754,638
6975,2726,0,3763,648
7000,2726,0,3772,648
7025,2726,0,3780,660
7050,2726,0,3790,660
7075,2840,0,3800,662
7100,2840,0,3811,662
7125,2840,0,3822,662
7150,2840,0,3830,672
7175,2840,0,3841,672
7200,2840,0,3852,688
7225,2840,0,3860,688
7250,2840,0,3868,702
7275,2840,0,3879,702
7300,2840,0,3891,704
7325,2840,0,3902,704
7350,2840,0,3910,704
7375,2840,0,3916,706
7400,2840,0,3925,706
7425,2840,0,3936,708
7450,2840,0,3946,708
7475,2840,0,3957,726
7500,2840,0,3962,726
7525,2840,0,3974,738
7550,2840,0,3982,738
7575,2840,0,3991,738
7600,2840,0,3997,740
7625,2840,0,4009,740
7650,2840,0,4020,754
7675,2840,0,4028,754
7700,2840,0,4033,774
7725,2840,0,4044,774
7750,2840,0,4055,774
7775,2840,0,4066,778
7800,2840,0,4072,778
7825,2840,0,4079,782
7850,2840,0,4092,782
7875,2840,0,4097,790
7900,2840,0,4108,790
7925,2840,0,4118,796
7950,2840,0,4125,796
7975,2840,0,4131,796
8000,2954,0,4140,808
8025,2954,0,4150,808
8050,2954,0,4158,810
8075,2954,0,4165,810
8100,2954,0,4172,830
8125,2954,0,4181,830
8150,2954,0,4188,830
8175,2954,0,4197,836
8200,2954,0,4201,836
8225,2954,0,4204,842
8250,2954,0,4206,842
8275,2954,0,4211,860
8300,2954,0,4219,860
8325,2954,0,4226,884
8350,2954,0,4233,884
8375,2954,0,4239,884
8400,2954,0,4245,886
8425,2954,0,4253,886
8450,2954,0,4264,888
8475,2954,0,4272,888
8500,2954,0,4279,894
8525,2954,0,4289,894
8550,2954,0,4295,894
8575,2954,0,4299,896
8600,2954,0,4307,896
8625,2954,0,4313,900
8650,2954,0,4322,900
8675,2954,0,4330,904
8700,2954,0,4339,904
8725,2954,0,4344,914
8750,2954,0,4350,914
8775,2954,0,4358,914
8800,2954,0,4364,920
8825,2954,0,4375,920
8850,2954,0,4379,934
8875,2954,0,4386,934
8900,2954,0,4395,936
8925,2954,0,4402,936
8950,2954,0,4411,938
8975,3068,0,4417,938
9000,3068,0,4423,938
9025,3068,0,4432,948
9050,3068,0,4437,948
9075,3068,0,4444,956
9100,3068,0,4451,956
9125,3068,0,4460,958
9150,3068,0,4469,958
9175,3068,0,4474,958
9200,3068,0,4479,960
9225,3068,0,4488,960
9250,3068,0,4493,964
9275,3068,0,4496,964
9300,3068,0,4506,974
9325,3068,0,4513,974
9350,3068,0,4519,984
9375,3068,0,4526,984
9400,3068,0,4535,984
9425,3068,0,4539,988
9450,3068,0,4550,988
9475,3068,0,4555,990
9500,3068,0,4563,990
9525,3068,0,4570,992
9550,3068,0,4576,992
9575,3068,0,4583,992
9600,3068,0,4588,998
9625,3068,0,4592,998
9650,3068,0,4600,1000
9675,3068,0,4606,1000
9700,3068,0,4615,1002
9725,3068,0,4619,1002
9750,3068,0,4628,1004
9775,3068,0,4635,1004
9800,3182,0,4639,1004
9825,3182,0,4646,1014
9850,3182,0,4654,1014
9875,3182,0,4659,1030
9900,3182,0,4666,1030
9925,3182,0,4674,1032
9950,3182,0,4680,1032
9975,3182,0,4686,1032
10000,3182,0,4695,1036
10025,3182,0,4700,1036
10050,3182,0,4707,1044
10075,3182,0,4715,1044
10100,3182,0,4719,1046
10125,3182,0,4726,1046
10150,3182,0,4736,1058
10175,3182,0,4742,1058
10200,3182,0,4747,1058
10225,3182,0,4752,1072
10250,3182,0,4758,1072
10275,3182,0,4763,1078
10300,3182,0,4771,1078
10325,3182,0,4777,1082
10350,3182,0,4783,1082
10375,3182,0,4787,1088
