Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,2,1
50,3,2,2,4,2
75,4,2,2,4,3
100,9,3,3,4,5
125,12,8,7,4,6
150,17,11,9,5,6
175,27,15,11,6,6
200,37,19,13,7,6
225,51,24,16,7,6
250,64,28,19,8,6
275,78,31,19,8,11
300,85,39,23,11,11
325,94,42,23,14,11
350,109,44,24,15,12
375,122,51,25,18,13
400,132,55,26,19,13
425,148,61,30,20,13
450,162,71,34,22,15
475,175,74,37,23,15
500,190,82,39,24,15
525,199,89,40,26,17
550,212,95,42,27,19
575,224,99,44,28,19
600,239,107,47,29,22
625,253,117,50,29,23
650,271,128,52,31,23
675,287,134,54,33,24
700,298,138,57,33,27
725,313,145,61,34,27
750,326,154,64,34,29
775,339,160,68,36,31
800,359,170,71,36,31
825,373,179,72,37,31
850,391,192,77,37,34
875,406,203,81,37,36
900,420,213,84,40,38
925,431,223,86,42,39
950,441,231,91,42,39
975,454,243,93,42,41
1000,463,249,96,42,42
1025,478,260,98,43,44
1050,490,274,101,44,44
1075,499,282,104,48,44
1100,513,293,107,50,45
1125,523,304,109,50,48
1150,534,312,111,52,49
1175,543,319,113,55,49
1200,551,325,119,56,49
1225,560,332,123,57,49
1250,576,343,130,57,52
1275,588,350,134,59,54
1300,600,360,140,60,54
1325,610,365,144,63,56
1350,620,371,146,64,57
1375,633,378,148,66,58
1400,645,383,149,66,62
1425,654,388,151,66,62
1450,669,393,155,66,62
1475,679,402,159,67,63
1500,686,408,161,67,63
1525,699,413,163,68,63
1550,711,423,165,69,64
1575,722,433,167,69,64
1600,736,443,171,69,64
1625,749,451,174,70,64
1650,759,463,181,71,64
1675,769,475,183,75,64
1700,781,487,188,76,65
1725,790,497,194,76,65
1750,798,504,198,76,65
1775,807,514,200,77,65
1800,818,522,202,77,67
1825,827,527,205,77,68
1850,831,530,208,77,70
1875,843,537,211,79,71
1900,850,544,212,81,72
1925,857,552,216,81,74
1950,863,557,217,82,75
1975,873,563,218,82,78
2000,885,569,222,82,80
2025,897,576,227,82,80
2050,906,581,230,83,81
2075,912,587,233,83,83
2100,922,594,237,83,85
2125,932,601,243,83,85
2150,937,608,247,84,88
2175,944,616,249,84,89
2200,952,623,252,85,89
2225,959,632,258,86,91
2250,973,639,262,86,92
2275,988,648,268,86,92
2300,1001,654,272,87,93
2325,1013,662,275,91,93
2350,1025,670,278,94,94
2375,1032,676,280,94,98
2400,1044,682,283,94,98
2425,1058,691,285,94,102
2450,1067,698,289,96,104
2475,1077,704,291,96,106
2500,1085,711,294,97,109
2525,1095,718,298,98,110
2550,1105,723,300,99,111
2575,1113,732,303,102,112
2600,1122,741,307,102,112
2625,1128,748,309,103,116
2650,1136,754,312,105,116
2675,1143,758,312,107,118
2700,1148,764,314,108,118
2725,1157,774,318,109,119
2750,1164,779,321,110,120
2775,1174,787,322,110,120
2800,1182,796,324,112,120
2825,1194,806,328,114,120
2850,1198,812,329,116,121
2875,1209,822,330,116,122
2900,1215,832,334,118,123
2925,1221,837,336,119,125
2950,1228,844,340,122,126
2975,1236,850,344,123,127
3000,1245,859,346,123,128
3025,1256,870,351,124,128
3050,1268,880,354,125,130
3075,1277,888,360,125,131
3100,1285,896,361,125,133
3125,1293,901,363,127,134
3150,1297,907,365,127,135
3175,1304,913,368,129,136
3200,1317,923,372,129,136
3225,1329,931,374,130,136
3250,1340,939,377,131,139
3275,1350,944,382,132,139
3300,1359,950,388,134,140
3325,1366,958,394,134,140
3350,1373,967,399,135,140
3375,1379,971,401,136,140
3400,1390,978,407,136,140
3425,1397,984,410,136,142
3450,1407,990,415,136,144
3475,1413,999,418,138,146
3500,1424,1006,423,138,148
3525,1433,1013,428,139,149
3550,1440,1027,430,139,151
3575,1447,1037,433,139,152
3600,1454,1047,435,141,153
3625,1462,1054,441,143,154
3650,1473,1064,441,144,154
3675,1479,1071,446,145,155
3700,1490,1077,447,147,155
3725,1499,1083,449,147,157
3750,1509,1094,455,150,158
3775,1517,1103,460,151,159
3800,1526,1116,468,152,159
3825,1533,1127,471,152,160
3850,1544,1138,473,152,160
3875,1554,1146,475,153,162
3900,1564,1154,478,154,162
3925,1572,1160,481,155,164
3950,1579,1166,486,155,165
3975,1589,1175,490,155,165
4000,1598,1186,494,155,165
4025,1605,1197,496,158,167
4050,1613,1208,502,159,169
4075,1624,1218,504,159,169
4100,1631,1224,508,161,169
4125,1639,1231,510,163,171
4150,1648,1243,513,166,172
4175,1659,1250,516,166,173
4200,1671,1255,518,166,174
4225,1679,1265,523,169,175
4250,1683,1274,526,170,176
4275,1695,1281,529,172,177
4300,1705,1288,530,172,180
4325,1712,1292,533,172,182
4350,1722,1301,536,175,182
4375,1730,1309,539,176,184
4400,1739,1314,543,176,186
4425,1748,1322,547,179,186
4450,1755,1332,551,179,189
4475,1763,1342,555,180,189
4500,1773,1354,560,181,189
4525,1782,1366,566,181,189
4550,1792,1375,573,181,190
4575,1803,1384,577,181,194
4600,1816,1390,581,182,196
4625,1823,1396,589,182,199
4650,1836,1405,592,183,202
4675,1847,1412,597,183,205
4700,1857,1421,602,183,206
4725,1866,1432,610,186,206
4750,1875,1435,614,187,206
4775,1884,1444,621,188,206
4800,1893,1454,628,189,206
4825,1902,1460,634,189,207
4850,1911,1473,640,189,209
4875,1921,1485,646,190,211
4900,1931,1493,650,191,213
4925,1940,1503,652,192,213
4950,1950,1513,655,195,214
4975,1960,1520,659,196,215
5000,1966,1528,663,196,216
5025,1976,1537,666,196,216
5050,1987,1550,670,196,217
5075,1996,1561,675,197,218
5100,2004,1576,681,201,219
5125,2010,1584,684,202,222
5150,2018,1594,688,202,222
5175,2029,1607,690,204,225
5200,2038,1618,694,205,226
5225,2050,1629,695,206,229
5250,2060,1637,701,206,233
5275,2070,1651,705,207,234
5300,2082,1663,705,208,234
5325,2094,1674,708,210,236
5350,2102,1684,710,211,236
5375,2111,1697,718,212,236
5400,2121,1707,720,213,236
5425,2132,1719,724,214,237
5450,2141,1733,730,214,238
5475,2148,1741,732,217,238
5500,2158,1750,736,218,239
5525,2170,1760,744,220,243
5550,2177,1770,751,220,243
5575,2188,1786,759,221,244
5600,2198,1793,763,222,246
5625,2208,1804,767,223,247
5650,2216,1812,769,227,248
5675,2230,1823,772,229,248
5700,2244,1834,777,229,248
5725,2256,1848,781,230,250
5750,2268,1862,787,232,250
5775,2277,1873,792,233,251
5800,2289,1884,795,233,252
5825,2297,1896,797,233,253
5850,2305,1906,802,235,253
5875,2317,1919,806,236,253
5900,2327,1932,811,236,253
5925,2336,1941,816,238,254
5950,2342,1950,820,240,255
5975,2352,1958,823,241,256
6000,2364,1972,828,242,257
6025,2377,1985,834,242,257
6050,2388,1993,836,243,257
6075,2401,2006,844,247,257
6100,2411,2015,850,248,257
6125,2422,2024,856,249,257
6150,2437,2040,862,249,258
6175,2445,2051,868,249,259
6200,2453,2065,873,251,259
6225,2465,2075,876,251,259
6250,2473,2083,879,254,260
6275,2481,2094,885,254,260
6300,2488,2105,891,254,261
6325,2498,2115,895,255,261
6350,2506,2126,902,255,261
6375,2517,2138,911,256,264
6400,2523,2147,914,256,266
6425,2532,2159,921,257,266
6450,2539,2170,924,259,267
6475,2548,2177,927,261,268
6500,2556,2187,930,263,269
6525,2569,2195,938,263,269
6550,2579,2205,941,264,272
6575,2589,2215,947,264,274
6600,2599,2226,954,266,275
6625,2607,2238,959,268,278
6650,2611,2249,966,270,279
6675,2618,2260,968,271,280
6700,2629,2273,973,272,281
6725,2633,2277,979,272,282
6750,2642,2290,985,273,282
6775,2650,2298,990,274,282
6800,2659,2304,995,274,283
6825,2664,2315,999,274,283
6850,2670,2329,1003,274,283
6875,2674,2335,1007,275,283
6900,2682,2345,1011,275,283
6925,2684,2355,1016,275,284
6950,2691,2367,1022,275,285
6975,2698,2378,1028,276,287
7000,2708,2390,1034,276,288
7025,2716,2396,1038,276,288
7050,2725,2411,1041,279,288
7075,2733,2424,1051,280,289
7100,2742,2431,1057,283,290
7125,2749,2440,1061,284,290
7150,2758,2451,1066,284,290
7175,2761,2457,1067,284,291
7200,2771,2465,1071,284,294
7225,2783,2476,1078,287,295
7250,2792,2485,1083,287,296
7275,2800,2492,1087,287,297
7300,2808,2502,1090,287,297
7325,2813,2511,1094,287,299
7350,2821,2520,1098,288,299
7375,2827,2526,1105,288,299
7400,2835,2534,1112,288,301
7425,2844,2543,1117,290,302
7450,2851,2554,1122,291,304
7475,2860,2564,1128,292,304
7500,2869,2570,1133,293,304
7525,2877,2575,1138,295,307
7550,2881,2588,1143,296,307
7575,2888,2599,1150,297,309
7600,2897,2613,1156,297,310
7625,2902,2623,1161,299,311
7650,2908,2630,1163,299,312
7675,2915,2638,1166,300,313
7700,2920,2646,1167,301,315
7725,2924,2651,1168,303,315
7750,2933,2666,1171,304,315
7775,2938,2676,1173,309,318
7800,2946,2684,1176,309,320
7825,2956,2697,1180,309,321
7850,2965,2708,1185,311,321
7875,2971,2715,1190,313,321
7900,2981,2729,1197,313,323
7925,2983,2740,1200,317,324
7950,2995,2751,1210,317,325
7975,3002,2761,1216,319,325
8000,3010,2770,1219,321,325
8025,3012,2783,1226,322,326
8050,3017,2797,1233,323,327
8075,3024,2810,1237,324,327
8100,3029,2821,1243,325,329
8125,3037,2829,1250,326,331
8150,3046,2842,1258,327,333
8175,3053,2852,1264,328,335
8200,3057,2855,1270,330,335
8225,3064,2864,1280,330,337
8250,3069,2874,1285,332,337
8275,3077,2889,1292,332,337
8300,3091,2900,1298,333,338
8325,3099,2909,1302,334,338
8350,3102,2918,1311,335,340
8375,3109,2927,1317,335,340
8400,3118,2936,1322,335,341
8425,3124,2944,1328,336,341
8450,3135,2956,1337,336,342
8475,3141,2965,1344,337,343
8500,3147,2978,1351,338,343
8525,3156,2986,1360,340,343
8550,3162,2995,1370,342,344
8575,3170,3004,1376,342,344
8600,3176,3013,1383,344,345
8625,3182,3026,1389,345,347
8650,3186,3038,1396,346,347
8675,3196,3048,1403,348,348
8700,3205,3055,1407,348,350
8725,3213,3064,1413,348,350
8750,3221,3074,1419,351,352
8775,3227,3084,1431,352,353
8800,3236,3093,1436,352,354
8825,3244,3105,1445,352,355
8850,3246,3111,1453,353,357
8875,3254,3121,1464,353,357
8900,3260,3129,1469,354,358
8925,3273,3140,1476,356,359
8950,3281,3146,1484,359,359
8975,3292,3157,1490,361,359
9000,3301,3169,1498,361,360
9025,3308,3182,1500,363,360
9050,3313,3189,1506,365,361
9075,3324,3203,1512,366,363
9100,3328,3211,1520,368,363
9125,3337,3221,1526,368,364
9150,3343,3230,1530,369,366
9175,3351,3237,1535,370,367
9200,3356,3247,1541,370,367
9225,3364,3259,1550,371,369
9250,3370,3269,1558,373,371
9275,3375,3276,1562,373,371
9300,3381,3287,1570,374,373
9325,3389,3297,1576,376,374
9350,3397,3306,1581,376,375
9375,3401,3317,1588,376,376
9400,3407,3323,1592,376,377
9425,3410,3330,1599,376,379
9450,3415,3344,1607,377,380
9475,3424,3354,1611,377,381
9500,3428,3361,1614,378,383
9525,3431,3372,1620,379,384
9550,3434,3379,1627,380,385
9575,3441,3389,1635,382,385
9600,3448,3401,1644,383,385
9625,3455,3414,1651,383,385
9650,3465,3424,1658,384,386
9675,3473,3434,1663,384,386
9700,3476,3444,1670,385,389
9725,3482,3456,1682,388,390
9750,3490,3472,1689,388,391
9775,3495,3482,1697,389,391
9800,3504,3496,1704,390,391
9825,3512,3506,1710,390,391
9850,3517,3515,1716,391,392
9875,3523,3527,1723,391,394
9900,3527,3538,1731,392,395
9925,3534,3551,1738,393,396
9950,3539,3562,1744,394,399
9975,3544,3574,1746,395,401
10000,3552,3581,1749,396,401
10025,3558,3590,1754,396,404
10050,3563,3598,1761,397,404
10075,3567,3606,1766,397,405
10100,3573,3614,1773,402,406
10125,3584,3624,1780,402,406
10150,3593,3634,1782,403,408
10175,3597,3642,1788,403,410
10200,3604,3653,1793,405,411
10225,3610,3658,1795,406,411
10250,3614,3664,1798,407,411
10275,3618,3670,1804,409,411
10300,3625,3683,1810,409,411
10325,3629,3692,1817,409,413
10350,3639,3705,1826,410,415
10375,3646,3714,1834,410,419
10400,3653,3728,1845,411,419
10425,3657,3740,1852,411,421
10450,3666,3749,1859,413,425
10475,3675,3759,1866,413,427
10500,3681,3766,1871,416,427
10525,3687,3773,1874,416,427
10550,3690,3777,1877,417,429
10575,3696,3787,1880,419,429
10600,3703,3799,1888,419,431
10625,3709,3805,1891,421,431
10650,3718,3815,1899,423,432
10675,3727,3822,1905,428,433
10700,3737,3836,1913,429,434
10725,3738,3842,1917,432,435
10750,3744,3854,1927,433,437
10775,3751,3862,1929,433,437
10800,3759,3874,1935,434,437
10825,3765,3884,1942,435,437
10850,3770,3896,1949,436,437
10875,3779,3904,1954,438,437
10900,3784,3913,1960,440,438
10925,3789,3922,1966,443,439
10950,3793,3933,1971,444,439
10975,3801,3943,1975,446,439
11000,3805,3951,1980,446,439
11025,3810,3963,1986,446,442
11050,3817,3972,1993,449,442
11075,3820,3979,1999,451,444
11100,3831,3990,2009,451,445
11125,3836,3998,2013,453,447
11150,3844,4008,2018,455,449
11175,3848,4019,2024,455,451
11200,3855,4030,2031,457,451
11225,3861,4040,2039,458,455
11250,3869,4053,2045,459,458
11275,3882,4066,2056,459,460
11300,3889,4081,2068,460,460
11325,3901,4094,2076,462,460
