Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
5000,2089,871,624,195,1445,195
5025,2097,875,626,202,1452,197
5050,2110,883,631,215,1463,198
5075,2117,890,636,222,1472,201
5100,2126,897,636,231,1480,201
5125,2137,907,638,243,1490,201
5150,2146,918,644,250,1499,202
5175,2158,920,645,255,1505,204
5200,2168,927,650,261,1514,206
5225,2176,932,654,267,1520,209
5250,2184,941,655,275,1528,211
5275,2193,945,657,283,1536,212
5300,2203,951,658,292,1539,212
5325,2213,959,660,299,1546,212
5350,2221,967,664,306,1552,213
5375,2229,973,665,313,1558,213
5400,2243,984,669,323,1567,213
5425,2251,994,675,333,1573,216
5450,2263,1005,679,340,1582,217
5475,2272,1013,683,349,1588,219
5500,2286,1024,687,355,1596,223
5525,2297,1036,690,361,1605,225
5550,2306,1042,691,367,1613,225
5575,2314,1049,695,376,1620,227
5600,2322,1059,699,384,1625,227
5625,2332,1068,700,392,1630,227
5650,2340,1072,703,396,1638,228
5675,2353,1080,711,403,1646,230
5700,2361,1086,715,411,1654,230
5725,2370,1090,717,418,1661,231
5750,2377,1094,718,427,1666,231
5775,2386,1101,721,437,1675,233
5800,2394,1106,723,440,1681,233
5825,2402,1110,727,443,1685,233
5850,2407,1118,733,452,1695,234
5875,2418,1124,734,459,1703,234
5900,2431,1131,737,468,1711,235
5925,2440,1140,743,478,1720,235
5950,2449,1148,749,486,1731,237
5975,2457,1158,756,496,1742,238
6000,2468,1164,759,499,1749,239
6025,2479,1169,762,507,1754,239
6050,2490,1178,770,517,1766,240
6075,2499,1184,773,523,1772,241
6100,2509,1186,774,533,1781,241
6125,2515,1193,779,541,1788,242
6150,2527,1203,782,557,1798,243
6175,2541,1210,786,567,1806,244
6200,2551,1212,787,569,1810,246
6225,2559,1221,791,579,1822,247
6250,2568,1226,794,587,1828,248
6275,2575,1235,801,600,1833,249
6300,2586,1246,807,610,1842,250
6325,2594,1248,809,616,1846,252
6350,2602,1253,814,621,1851,254
6375,2613,1262,818,632,1858,254
6400,2621,1267,821,643,1864,254
6425,2632,1276,825,652,1871,256
6450,2642,1283,830,661,1878,256
6475,2652,1293,836,672,1887,258
6500,2664,1299,839,681,1894,260
6525,2672,1306,842,688,1905,261
6550,2684,1312,846,696,1916,263
6575,2697,1316,850,702,1923,265
6600,2707,1322,854,712,1929,266
6625,2717,1329,861,719,1938,268
6650,2727,1338,866,732,1946,269
6675,2736,1342,868,741,1953,270
6700,2744,1351,872,750,1962,271
6725,2751,1353,877,754,1967,273
6750,2760,1359,880,761,1975,275
6775,2768,1365,882,770,1982,277
6800,2779,1373,884,774,1991,278
6825,2786,1378,888,781,1997,278
6850,2792,1385,889,787,2005,280
6875,2805,1392,892,796,2013,282
6900,2819,1403,896,805,2026,283
6925,2825,1408,900,815,2036,283
6950,2838,1416,905,825,2048,285
6975,2842,1424,906,833,2059,286
7000,2851,1435,911,844,2067,287
7025,2861,1443,916,851,2072,289
7050,2870,1450,926,859,2086,289
7075,2881,1459,928,868,2097,291
7100,2892,1469,934,878,2107,292
7125,2904,1478,937,887,2116,296
7150,2912,1486,940,894,2123,297
7175,2922,1494,946,905,2136,297
7200,2933,1505,949,915,2143,299
7225,2944,1516,954,925,2153,299
7250,2956,1527,965,938,2164,299
7275,2965,1539,972,946,2176,299
7300,2979,1548,974,959,2188,301
7325,2990,1557,977,971,2197,301
7350,2997,1569,983,978,2205,301
7375,3007,1575,988,988,2214,301
7400,3017,1580,993,998,2224,302
7425,3027,1585,993,1004,2236,303
7450,3037,1592,995,1012,2245,303
7475,3045,1599,999,1022,2255,303
7500,3052,1607,1003,1030,2261,304
7525,3061,1615,1007,1040,2271,305
7550,3071,1622,1012,1051,2280,305
7575,3082,1630,1017,1062,2292,306
7600,3093,1640,1020,1073,2304,307
7625,3104,1646,1024,1083,2317,308
7650,3111,1656,1028,1091,2327,308
7675,3121,1666,1032,1099,2341,309
