Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0
25,24,0,1,0,0
50,196,0,1,0,31
75,360,0,1,0,62
100,554,0,1,0,62
125,664,0,1,0,62
150,782,0,1,0,62
175,1044,0,3,0,198
200,1180,0,6,0,198
225,1316,0,7,0,198
250,1456,0,13,0,198
275,1456,0,15,0,198
300,1600,0,22,0,198
325,1748,0,28,0,198
350,1748,0,31,0,198
375,1748,0,37,0,198
400,1748,0,44,0,198
425,1748,0,52,0,198
450,1896,0,61,0,198
475,1896,0,67,0,318
500,1896,0,71,0,318
525,1896,0,78,0,318
550,2044,0,85,0,318
575,2044,0,93,0,318
600,2044,0,101,0,318
625,2044,0,112,0,318
650,2194,0,120,0,318
675,2194,0,131,0,318
700,2194,0,141,0,318
725,2194,0,147,0,318
750,2194,0,154,0,318
775,2194,0,168,0,318
800,2344,0,183,0,318
825,2344,0,195,0,395
850,2344,0,206,0,395
875,2344,0,215,0,395
900,2344,0,225,0,395
925,2494,0,237,0,472
950,2494,0,247,0,472
975,2644,0,253,0,472
1000,2794,0,263,0,472
1025,2794,0,276,0,472
1050,2794,0,286,0,472
1075,2794,0,299,0,472
1100,2794,0,309,0,472
1125,2794,0,321,0,549
1150,2794,0,330,0,549
1175,2794,0,349,0,549
1200,2944,0,361,0,549
1225,2944,0,369,0,549
1250,2944,0,382,0,549
1275,2944,0,398,0,549
1300,2944,0,410,0,626
1325,2944,0,425,0,626
1350,2944,0,440,0,626
1375,2944,0,453,0,626
1400,2944,0,469,0,626
1425,3094,0,483,0,626
1450,3094,0,501,0,626
1475,3094,0,517,0,626
1500,3094,0,529,0,626
1525,3094,0,548,0,626
1550,3094,0,564,0,626
1575,3094,0,579,0,626
1600,3094,0,596,0,626
1625,3094,0,609,0,626
1650,3094,0,626,0,626
1675,3094,0,642,0,626
1700,3244,0,661,0,709
1725,3244,0,677,0,709
1750,3244,0,696,0,709
1775,3244,0,715,0,709
1800,3244,0,729,0,709
1825,3244,0,742,0,709
1850,3244,0,757,0,709
1875,3244,0,777,0,709
1900,3244,0,793,0,709
1925,3244,0,806,0,709
1950,3244,0,821,0,787
1975,3244,0,835,0,787
2000,3394,0,853,0,787
2025,3394,0,868,0,787
2050,3394,0,887,0,787
2075,3394,0,904,0,787
2100,3394,0,921,0,787
2125,3394,0,938,0,787
2150,3394,0,958,0,787
2175,3394,0,978,0,787
2200,3394,0,998,0,787
2225,3394,0,1018,0,787
2250,3394,0,1038,0,787
2275,3394,0,1055,0,787
2300,3394,0,1075,0,787
2325,3394,0,1094,0,864
2350,3394,0,1112,0,864
2375,3394,0,1134,0,864
2400,3394,0,1151,0,864
2425,3544,0,1172,0,864
2450,3544,0,1193,0,864
2475,3544,0,1214,0,864
2500,3544,0,1234,0,864
2525,3544,0,1255,0,864
2550,3544,0,1277,0,864
2575,3544,0,1298,0,864
2600,3694,0,1318,0,864
2625,3694,0,1339,0,864
2650,3694,0,1361,0,864
2675,3694,0,1383,0,941
2700,3694,0,1399,0,941
2725,3694,0,1416,0,941
2750,3694,0,1436,0,941
2775,3694,0,1457,0,941
2800,3694,0,1472,0,941
2825,3694,0,1496,0,941
2850,3694,0,1514,0,941
2875,3694,0,1533,0,941
2900,3694,0,1552,0,941
2925,3694,0,1571,0,941
2950,3694,0,1591,0,941
2975,3694,0,1610,0,941
3000,3694,0,1630,0,941
3025,3694,0,1649,0,941
3050,3694,0,1671,0,941
3075,3844,0,1689,0,941
3100,3844,0,1706,0,941
3125,3844,0,1721,0,1018
3150,3844,0,1743,0,1018
3175,3844,0,1760,0,1018
3200,3844,0,1781,0,1018
3225,3844,0,1798,0,1018
3250,3844,0,1818,0,1018
3275,3844,0,1836,0,1018
3300,3844,0,1855,0,1018
3325,3844,0,1877,0,1018
3350,3844,0,1897,0,1018
3375,3844,0,1918,0,1018
3400,3844,0,1936,0,1099
3425,3844,0,1956,0,1099
3450,3844,0,1977,0,1099
3475,3844,0,1994,0,1099
3500,3844,0,2013,0,1099
3525,3994,0,2033,0,1099
3550,3994,0,2052,0,1099
3575,3994,0,2071,0,1099
3600,3994,0,2093,0,1099
3625,3994,0,2110,0,1099
3650,3994,0,2129,0,1099
3675,3994,0,2148,0,1099
3700,3994,0,2164,0,1179
3725,3994,0,2180,0,1179
3750,3994,0,2199,0,1179
3775,3994,0,2215,0,1179
3800,3994,0,2237,0,1179
3825,3994,0,2260,0,1179
3850,3994,0,2281,0,1179
3875,3994,0,2298,0,1179
3900,3994,0,2315,0,1179
3925,3994,0,2335,0,1179
3950,3994,0,2354,0,1179
3975,3994,0,2372,0,1179
4000,3994,0,2390,0,1179
4025,3994,0,2407,0,1179
4050,3994,0,2426,0,1179
4075,3994,0,2445,0,1179
4100,3994,0,2464,0,1179
4125,3994,0,2488,0,1255
4150,4144,0,2513,0,1255
4175,4144,0,2537,0,1255
4200,4144,0,2561,0,1255
4225,4144,0,2584,0,1255
4250,4144,0,2608,0,1255
4275,4144,0,2633,0,1255
4300,4144,0,2657,0,1255
4325,4144,0,2681,0,1255
4350,4144,0,2705,0,1255
4375,4144,0,2727,0,1255
4400,4144,0,2751,0,1255
4425,4144,0,2774,0,1255
4450,4144,0,2797,0,1255
4475,4144,0,2819,0,1255
4500,4144,0,2844,0,1255
4525,4144,0,2867,0,1255
4550,4144,0,2890,0,1255
4575,4144,0,2914,0,1255
4600,4144,0,2937,0,1255
4625,4144,0,2961,0,1255
4650,4144,0,2983,0,1331
4675,4144,0,3006,0,1331
4700,4144,0,3029,0,1331
4725,4144,0,3054,0,1331
4750,4144,0,3076,0,1331
4775,4294,0,3098,0,1331
4800,4294,0,3123,0,1331
4825,4294,0,3147,0,1331
4850,4294,0,3171,0,1331
4875,4294,0,3196,0,1331
4900,4294,0,3220,0,1331
4925,4294,0,3244,0,1331
4950,4294,0,3269,0,1331
4975,4294,0,3293,0,1331
5000,4294,0,3315,0,1331
5025,4294,0,3339,0,1407
5050,4294,0,3362,16,1407
5075,4294,0,3386,16,1407
5100,4294,0,3411,16,1407
5125,4294,0,3434,24,1407
5150,4294,0,3458,24,1407
5175,4294,0,3483,24,1407
5200,4294,0,3508,28,1407
5225,4294,0,3532,28,1407
5250,4294,0,3557,28,1407
5275,4294,0,3581,40,1407
5300,4294,0,3605,40,1407
5325,4294,0,3628,40,1407
5350,4444,0,3651,42,1407
5375,4444,0,3676,42,1407
5400,4444,0,3699,42,1407
