Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
0,0,0,0,0,0,0
25,48,0,0,0,0,0
50,48,0,0,0,0,0
75,278,0,0,0,0,0
100,278,0,0,0,0,0
125,454,0,0,0,0,0
150,652,0,0,0,0,0
175,1144,0,0,0,0,0
200,1420,0,0,0,0,0
225,1420,0,0,0,0,0
250,1420,0,0,0,0,0
275,1776,0,0,0,0,0
300,1776,0,0,0,0,0
325,2186,0,0,0,0,0
350,2186,0,0,0,0,0
375,2656,0,0,0,0,0
400,2656,0,0,0,0,0
425,3196,0,0,0,0,0
450,3196,0,0,0,0,0
475,3774,0,0,0,0,0
500,3774,0,0,0,0,0
525,3774,0,0,0,0,0
550,3774,0,0,0,0,0
575,4422,0,0,0,0,0
600,4422,0,0,0,0,0
625,5110,0,0,0,0,0
650,5110,0,0,0,0,0
675,5836,0,0,0,0,0
700,5836,0,0,0,0,0
725,5836,0,0,0,0,0
750,5836,0,0,0,0,0
775,6644,0,0,0,0,0
800,6644,0,0,0,0,0
825,6644,0,0,0,0,0
850,6644,0,0,0,0,0
875,6644,0,0,0,0,0
900,7516,0,0,0,0,0
925,7516,0,0,0,0,0
950,7516,0,0,0,0,0
975,7516,0,0,0,0,0
1000,7516,0,0,0,0,0
1025,7516,0,0,0,0,0
1050,7516,0,0,0,0,0
1075,7516,0,0,0,0,0
1100,7516,0,0,0,0,0
1125,8486,0,0,0,0,0
1150,9464,0,0,0,0,0
1175,9464,0,0,0,0,0
1200,9464,0,0,0,0,0
1225,10490,0,0,0,0,0
1250,10490,0,0,0,0,0
1275,10490,0,0,0,0,0
1300,10490,0,0,0,0,0
1325,10490,0,0,0,0,0
1350,10490,0,0,0,0,0
1375,11576,0,0,0,0,0
1400,11576,0,0,0,0,0
1425,12688,0,0,0,0,0
1450,12688,0,0,0,0,0
1475,12688,0,0,0,0,0
1500,12688,0,0,0,0,0
1525,12688,0,0,0,0,0
1550,12688,0,0,0,0,0
1575,12688,0,0,0,0,0
1600,13858,0,0,0,0,0
1625,13858,0,0,0,0,0
1650,13858,0,0,0,0,0
1675,13858,0,0,0,0,0
1700,15058,0,0,0,0,0
1725,15058,0,0,0,0,0
1750,15058,0,0,0,0,0
1775,15058,0,0,0,0,0
1800,15058,0,0,0,0,0
1825,15058,0,0,0,0,0
1850,16306,0,0,0,0,0
1875,16306,0,0,0,0,0
1900,16306,0,0,0,0,0
1925,16306,0,0,0,0,0
1950,16306,0,0,0,0,0
1975,16306,0,0,0,0,0
2000,16306,0,0,0,0,0
2025,16306,0,0,0,0,0
2050,16306,0,0,0,0,0
2075,16306,0,0,0,0,0
2100,17626,0,0,0,0,0
2125,18960,0,0,0,0,0
2150,18960,0,0,0,0,0
2175,18960,0,0,0,0,0
2200,18960,0,0,0,0,0
2225,18960,0,0,0,0,0
2250,18960,0,0,0,0,0
2275,18960,0,0,0,0,0
2300,18960,0,0,0,0,0
2325,18960,0,0,0,0,0
2350,20358,0,0,0,0,0
2375,20358,0,0,0,0,0
2400,20358,0,0,0,0,0
2425,20358,0,0,0,0,0
2450,20358,0,0,0,0,0
2475,20358,0,0,0,0,0
2500,20358,0,0,0,0,0
2525,20358,0,0,0,0,0
2550,21810,0,0,0,0,0
2575,21810,0,0,0,0,0
2600,21810,0,0,0,0,0
2625,21810,0,0,0,0,0
2650,21810,0,0,0,0,0
2675,21810,0,0,0,0,0
2700,21810,0,0,0,0,0
2725,21810,0,0,0,0,0
2750,21810,0,0,0,0,0
2775,21810,0,0,0,0,0
2800,21810,0,0,0,0,0
2825,21810,0,0,0,0,0
2850,21810,0,0,0,0,0
2875,21810,0,0,0,0,0
2900,21810,0,0,0,0,0
2925,21810,0,0,0,0,0
2950,21810,0,0,0,0,0
2975,21810,0,0,0,0,0
3000,21810,0,0,0,0,0
3025,21810,0,0,0,0,0
3050,21810,0,0,0,0,0
3075,21810,0,0,0,0,0
3100,23368,0,0,0,0,0
3125,23368,0,0,0,0,0
3150,23368,0,0,0,0,0
3175,23368,0,0,0,0,0
3200,23368,0,0,0,0,0
3225,23368,0,0,0,0,0
3250,23368,0,0,0,0,0
3275,23368,0,0,0,0,0
3300,23368,0,0,0,0,0
3325,23368,0,0,0,0,0
3350,23368,0,0,0,0,0
3375,23368,0,0,0,0,0
3400,23368,0,0,0,0,0
3425,23368,0,0,0,0,0
3450,23368,0,0,0,0,0
3475,24998,0,0,0,0,0
3500,24998,0,0,0,0,0
3525,24998,0,0,0,0,0
3550,24998,0,0,0,0,0
3575,24998,0,0,0,0,0
3600,24998,0,0,0,0,0
3625,24998,0,0,0,0,0
3650,24998,0,0,0,0,0
3675,26672,0,0,0,0,0
3700,26672,0,0,0,0,0
3725,26672,0,0,0,0,0
3750,26672,0,0,0,0,0
3775,26672,0,0,0,0,0
3800,26672,0,0,0,0,0
3825,26672,0,0,0,0,0
3850,26672,0,0,0,0,0
3875,28382,0,0,0,0,0
3900,28382,0,0,0,0,0
3925,28382,0,0,0,0,0
3950,28382,0,0,0,0,0
3975,28382,0,0,0,0,0
4000,28382,0,0,0,0,0
4025,28382,0,0,0,0,0
4050,28382,0,0,0,0,0
4075,30128,0,0,0,0,0
4100,30128,0,0,0,0,0
4125,30128,0,0,0,0,0
4150,30128,0,0,0,0,0
4175,30128,0,0,0,0,0
4200,30128,0,0,0,0,0
4225,30128,0,0,0,0,0
4250,30128,0,0,0,0,0
4275,30128,0,0,0,0,0
4300,30128,0,0,0,0,0
4325,30128,0,0,0,0,0
4350,30128,0,0,0,0,0
4375,30128,0,0,0,0,0
4400,30128,0,0,0,0,0
4425,30128,0,0,0,0,0
4450,30128,0,0,0,0,0
4475,30128,0,0,0,0,0
4500,30128,0,0,0,0,0
4525,31932,0,0,0,0,0
4550,31932,0,0,0,0,0
4575,31932,0,0,0,0,0
4600,31932,0,0,0,0,0
4625,31932,0,0,0,0,0
4650,31932,0,0,0,0,0
4675,33752,0,0,0,0,0
4700,33752,0,0,0,0,0
4725,35584,0,0,0,0,0
4750,35584,0,0,0,0,0
4775,35584,0,0,0,0,0
4800,35584,0,0,0,0,0
4825,35584,0,0,0,0,0
4850,35584,0,0,0,0,0
4875,35584,0,0,0,0,0
4900,35584,0,0,0,0,0
4925,35584,0,0,0,0,0
4950,35584,0,0,0,0,0
4975,35584,0,0,0,0,0
5000,35584,0,0,0,0,0
5025,35584,0,0,0,0,0
5050,35584,0,0,0,0,0
5075,35584,0,0,0,0,0
5100,35584,0,0,0,0,0
5125,35584,0,0,0,0,0
5150,37490,0,0,0,0,0
5175,37490,0,0,0,0,0
5200,37490,0,0,0,0,0
5225,37490,0,0,0,0,0
5250,37490,0,0,0,0,0
5275,37490,0,0,0,0,0
5300,37490,0,0,0,0,0
5325,37490,0,0,0,0,0
5350,37490,0,0,0,0,0
5375,37490,0,0,0,0,0
5400,39420,0,0,0,0,0
5425,39420,0,0,0,0,0
5450,39420,0,0,0,0,0
5475,39420,0,0,0,0,0
5500,39420,0,0,0,0,0
5525,39420,0,0,0,0,0
5550,39420,0,0,0,0,0
5575,39420,0,0,0,0,0
5600,39420,0,0,0,0,0
5625,39420,0,0,0,0,0
5650,39420,0,0,0,0,0
5675,39420,0,0,0,0,0
5700,39420,0,0,0,0,0
5725,39420,0,0,0,0,0
5750,39420,0,0,0,0,0
5775,39420,0,0,0,0,0
5800,39420,0,0,0,0,0
5825,39420,0,0,0,0,0
5850,39420,0,0,0,0,0
5875,39420,0,0,0,0,0
5900,39420,0,0,0,0,0
5925,39420,0,0,0,0,0
5950,39420,0,0,0,0,0
5975,39420,0,0,0,0,0
6000,39420,0,0,0,0,0
6025,39420,0,0,0,0,0
6050,39420,0,0,0,0,0
6075,39420,0,0,0,0,0
6100,39420,0,0,0,0,0
6125,39420,0,0,0,0,0
6150,41440,0,0,0,0,0
6175,41440,0,0,0,0,0
6200,41440,0,0,0,0,0
6225,41440,0,0,0,0,0
6250,41440,0,0,0,0,0
6275,41440,0,0,0,0,0
6300,41440,0,0,0,0,0
6325,41440,0,0,0,0,0
6350,41440,0,0,0,0,0
6375,41440,0,0,0,0,0
6400,41440,0,0,0,0,0
6425,43492,0,0,0,0,0
6450,43492,0,0,0,0,0
6475,43492,0,0,0,0,0
6500,43492,0,0,0,0,0
6525,43492,0,0,0,0,0
6550,43492,0,0,0,0,0
6575,43492,0,0,0,0,0
6600,43492,0,0,0,0,0
6625,43492,0,0,0,0,0
6650,43492,0,0,0,0,0
6675,43492,0,0,0,0,0
6700,43492,0,0,0,0,0
6725,43492,0,0,0,0,0
6750,43492,0,0,0,0,0
6775,43492,0,0,0,0,0
6800,43492,0,0,0,0,0
6825,43492,0,0,0,0,0
6850,43492,0,0,0,0,0
6875,43492,0,0,0,0,0
6900,43492,0,0,0,0,0
6925,43492,0,0,0,0,0
6950,43492,0,0,0,0,0
6975,43492,0,0,0,0,0
7000,43492,0,0,0,0,0
7025,43492,0,0,0,0,0
7050,43492,0,0,0,0,0
7075,43492,0,0,0,0,0
7100,45628,0,0,0,0,0
7125,45628,0,0,0,0,0
7150,45628,0,0,0,0,0
7175,45628,0,0,0,0,0
7200,45628,0,0,0,0,0
7225,45628,0,0,0,0,0
7250,45628,0,0,0,0,0
7275,45628,0,0,0,0,0
7300,45628,0,0,0,0,0
7325,45628,0,0,0,0,0
7350,45628,0,0,0,0,0
7375,45628,0,0,0,0,0
7400,45628,0,0,0,0,0
7425,45628,0,0,0,0,0
7450,45628,0,0,0,0,0
7475,45628,0,0,0,0,0
7500,45628,0,0,0,0,0
7525,47794,0,0,0,0,0
7550,47794,0,0,0,0,0
7575,47794,0,0,0,0,0
7600,47794,0,0,0,0,0
7625,47794,0,0,0,0,0
7650,47794,0,0,0,0,0
7675,47794,0,0,0,0,0
7700,47794,0,0,0,0,0
7725,47794,0,0,0,0,0
7750,47794,0,0,0,0,0
7775,47794,0,0,0,0,0
7800,47794,0,0,0,0,0
7825,47794,0,0,0,0,0
7850,47794,0,0,0,0,0
7875,47794,0,0,0,0,0
7900,50006,0,0,0,0,0
7925,50006,0,0,0,0,0
7950,50006,0,0,0,0,0
7975,50006,0,0,0,0,0
8000,50006,0,0,0,0,0
8025,50006,0,0,0,0,0
8050,50006,0,0,0,0,0
8075,50006,0,0,0,0,0
8100,50006,0,0,0,0,0
8125,50006,0,0,0,0,0
8150,50006,0,0,0,0,0
8175,50006,0,0,0,0,0
8200,50006,0,0,0,0,0
8225,50006,0,0,0,0,0
8250,50006,0,0,0,0,0
8275,50006,0,0,0,0,0
8300,50006,0,0,0,0,0
8325,50006,0,0,0,0,0
8350,50006,0,0,0,0,0
8375,50006,0,0,0,0,0
8400,50006,0,0,0,0,0
8425,50006,0,0,0,0,0
8450,50006,0,0,0,0,0
8475,50006,0,0,0,0,0
8500,52280,0,0,0,0,0
8525,52280,0,0,0,0,0
8550,52280,0,0,0,0,0
8575,52280,0,0,0,0,0
8600,52280,0,0,0,0,0
