Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,0,2
50,3,2,2,3,2
75,4,2,2,4,3
100,9,3,3,6,3
125,12,8,7,8,6
150,17,11,9,9,8
175,27,15,11,10,9
200,37,19,13,11,10
225,51,24,16,11,12
250,64,28,19,11,12
275,78,31,19,12,13
300,85,39,23,14,13
325,94,42,23,15,14
350,109,44,24,16,14
375,122,51,25,16,16
400,132,55,26,18,19
425,148,61,30,18,20
450,162,71,34,19,21
475,175,74,37,20,21
500,190,82,39,21,23
525,199,89,40,23,24
550,212,95,42,24,25
575,224,99,44,26,25
600,239,107,47,26,27
625,253,117,50,26,27
650,271,128,52,26,29
675,287,134,54,28,29
700,298,138,57,28,30
725,313,145,61,30,33
750,326,154,64,33,34
775,339,160,68,34,35
800,359,170,71,37,36
825,373,179,72,38,39
850,391,192,77,39,39
875,406,203,81,40,40
900,420,213,84,41,42
925,431,223,86,42,43
950,441,231,91,43,43
975,454,243,93,46,45
1000,463,249,96,47,47
1025,478,260,98,47,49
1050,490,274,101,47,52
1075,499,282,104,47,53
1100,513,293,107,47,56
1125,523,304,109,47,56
1150,534,312,111,48,56
1175,543,319,113,49,56
1200,551,325,119,51,56
1225,560,332,123,53,59
1250,576,343,130,55,60
1275,588,350,134,56,60
1300,600,360,140,56,61
1325,610,365,144,57,61
1350,620,371,146,57,64
1375,633,378,148,57,64
1400,645,383,149,57,65
1425,654,388,151,58,68
1450,669,393,155,59,70
1475,679,402,159,61,70
1500,686,408,161,61,71
1525,699,413,163,68,73
1550,711,423,165,69,77
1575,722,433,167,73,80
1600,736,443,171,80,81
1625,749,451,174,87,82
1650,759,463,181,96,82
1675,769,475,183,103,82
1700,781,487,188,110,82
1725,790,497,194,120,84
1750,798,504,198,127,85
1775,807,514,200,134,85
1800,818,522,202,137,87
1825,827,527,205,145,87
1850,831,530,208,149,90
1875,843,537,211,156,93
1900,850,544,212,161,95
1925,857,552,216,167,96
1950,863,557,217,169,99
1975,873,563,218,176,100
2000,885,569,222,184,101
2025,897,576,227,192,102
2050,906,581,230,196,104
2075,912,587,233,203,105
2100,922,594,237,210,106
2125,932,601,243,219,106
2150,937,608,247,220,106
2175,944,616,249,224,108
2200,952,623,252,229,110
2225,959,632,258,238,111
2250,973,639,262,243,113
2275,988,648,268,252,115
2300,1001,654,272,259,116
2325,1013,662,275,266,119
2350,1025,670,278,277,121
2375,1032,676,280,284,121
2400,1044,682,283,289,121
2425,1058,691,285,297,124
2450,1067,698,289,305,124
2475,1077,704,291,310,126
2500,1085,711,294,319,126
2525,1095,718,298,326,127
2550,1105,723,300,337,129
2575,1113,732,303,345,130
2600,1122,741,307,354,131
2625,1128,748,309,362,134
2650,1136,754,312,366,134
2675,1143,758,312,372,135
2700,1148,764,314,378,135
2725,1157,774,318,389,137
2750,1164,779,321,395,138
2775,1174,787,322,403,138
2800,1182,796,324,411,140
2825,1194,806,328,420,141
2850,1198,812,329,427,142
2875,1209,822,330,435,143
2900,1215,832,334,444,143
2925,1221,837,336,453,144
2950,1228,844,340,460,144
2975,1236,850,344,467,145
3000,1245,859,346,470,145
3025,1256,870,351,482,145
3050,1268,880,354,491,146
3075,1277,888,360,500,146
3100,1285,896,361,507,147
3125,1293,901,363,513,148
3150,1297,907,365,518,148
3175,1304,913,368,527,148
3200,1317,923,372,533,148
3225,1329,931,374,541,148
3250,1340,939,377,552,148
3275,1350,944,382,562,149
3300,1359,950,388,572,151
3325,1366,958,394,582,152
3350,1373,967,399,594,152
3375,1379,971,401,603,153
3400,1390,978,407,615,155
3425,1397,984,410,620,155
3450,1407,990,415,628,156
3475,1413,999,418,636,158
3500,1424,1006,423,642,159
3525,1433,1013,428,649,159
3550,1440,1027,430,655,159
3575,1447,1037,433,665,164
3600,1454,1047,435,670,164
3625,1462,1054,441,678,164
3650,1473,1064,441,689,165
3675,1479,1071,446,695,167
3700,1490,1077,447,701,168
3725,1499,1083,449,711,169
3750,1509,1094,455,724,169
3775,1517,1103,460,730,170
3800,1526,1116,468,737,170
3825,1533,1127,471,748,172
3850,1544,1138,473,755,174
3875,1554,1146,475,762,174
3900,1564,1154,478,766,174
3925,1572,1160,481,773,175
3950,1579,1166,486,780,177
3975,1589,1175,490,791,177
4000,1598,1186,494,799,177
4025,1605,1197,496,806,180
4050,1613,1208,502,816,180
4075,1624,1218,504,825,180
4100,1631,1224,508,833,180
4125,1639,1231,510,838,184
4150,1648,1243,513,844,185
4175,1659,1250,516,855,187
4200,1671,1255,518,861,187
4225,1679,1265,523,868,188
4250,1683,1274,526,875,191
4275,1695,1281,529,886,192
4300,1705,1288,530,894,194
4325,1712,1292,533,899,194
4350,1722,1301,536,908,194
4375,1730,1309,539,914,195
4400,1739,1314,543,921,196
4425,1748,1322,547,928,197
4450,1755,1332,551,933,197
4475,1763,1342,555,940,197
4500,1773,1354,560,951,198
4525,1782,1366,566,961,199
4550,1792,1375,573,967,201
4575,1803,1384,577,978,204
4600,1816,1390,581,985,206
4625,1823,1396,589,994,208
4650,1836,1405,592,1002,209
4675,1847,1412,597,1014,209
4700,1857,1421,602,1024,210
4725,1866,1432,610,1034,211
4750,1875,1435,614,1044,212
4775,1884,1444,621,1057,215
4800,1893,1454,628,1065,217
4825,1902,1460,634,1072,217
4850,1911,1473,640,1080,219
4875,1921,1485,646,1089,219
4900,1931,1493,650,1091,220
4925,1940,1503,652,1098,220
4950,1950,1513,655,1108,220
4975,1960,1520,659,1115,220
5000,1966,1528,663,1122,222
5025,1976,1537,666,1129,223
5050,1987,1550,670,1134,223
5075,1996,1561,675,1141,224
5100,2004,1576,681,1148,224
5125,2010,1584,684,1154,224
5150,2018,1594,688,1164,224
5175,2029,1607,690,1178,225
5200,2038,1618,694,1184,225
5225,2050,1629,695,1191,225
5250,2060,1637,701,1200,225
5275,2070,1651,705,1206,225
5300,2082,1663,705,1213,228
5325,2094,1674,708,1219,229
5350,2102,1684,710,1227,229
5375,2111,1697,718,1237,230
5400,2121,1707,720,1246,231
5425,2132,1719,724,1253,232
5450,2141,1733,730,1258,234
5475,2148,1741,732,1268,236
5500,2158,1750,736,1278,237
5525,2170,1760,744,1288,237
5550,2177,1770,751,1295,237
5575,2188,1786,759,1308,237
5600,2198,1793,763,1311,238
5625,2208,1804,767,1320,240
5650,2216,1812,769,1331,240
5675,2230,1823,772,1340,242
5700,2244,1834,777,1348,245
5725,2256,1848,781,1356,245
5750,2268,1862,787,1367,248
5775,2277,1873,792,1375,248
5800,2289,1884,795,1384,250
5825,2297,1896,797,1390,252
5850,2305,1906,802,1397,252
5875,2317,1919,806,1408,254
5900,2327,1932,811,1417,255
5925,2336,1941,816,1427,256
5950,2342,1950,820,1435,257
5975,2352,1958,823,1442,258
6000,2364,1972,828,1455,260
6025,2377,1985,834,1466,261
6050,2388,1993,836,1476,261
6075,2401,2006,844,1487,261
6100,2411,2015,850,1496,262
6125,2422,2024,856,1505,264
6150,2437,2040,862,1515,266
6175,2445,2051,868,1526,268
6200,2453,2065,873,1535,268
6225,2465,2075,876,1544,268
6250,2473,2083,879,1552,270
6275,2481,2094,885,1558,271
6300,2488,2105,891,1570,273
6325,2498,2115,895,1578,274
6350,2506,2126,902,1584,275
6375,2517,2138,911,1596,276
6400,2523,2147,914,1601,276
6425,2532,2159,921,1613,278
6450,2539,2170,924,1621,279
6475,2548,2177,927,1631,279
6500,2556,2187,930,1642,280
6525,2569,2195,938,1652,281
6550,2579,2205,941,1663,283
6575,2589,2215,947,1671,283
6600,2599,2226,954,1685,285
6625,2607,2238,959,1695,286
6650,2611,2249,966,1702,287
6675,2618,2260,968,1709,287
6700,2629,2273,973,1720,288
6725,2633,2277,979,1724,289
6750,2642,2290,985,1733,291
6775,2650,2298,990,1740,293
6800,2659,2304,995,1744,294
6825,2664,2315,999,1751,294
6850,2670,2329,1003,1760,295
6875,2674,2335,1007,1769,295
6900,2682,2345,1011,1779,296
6925,2684,2355,1016,1785,298
6950,2691,2367,1022,1797,300
6975,2698,2378,1028,1804,301
7000,2708,2390,1034,1814,302
7025,2716,2396,1038,1822,303
7050,2725,2411,1041,1833,304
7075,2733,2424,1051,1842,304
7100,2742,2431,1057,1848,304
7125,2749,2440,1061,1859,305
7150,2758,2451,1066,1870,306
7175,2761,2457,1067,1873,307
7200,2771,2465,1071,1881,308
7225,2783,2476,1078,1892,308
7250,2792,2485,1083,1899,308
7275,2800,2492,1087,1907,308
7300,2808,2502,1090,1914,310
7325,2813,2511,1094,1919,311
7350,2821,2520,1098,1931,313
7375,2827,2526,1105,1936,313
7400,2835,2534,1112,1945,317
7425,2844,2543,1117,1954,319
7450,2851,2554,1122,1963,320
7475,2860,2564,1128,1974,321
7500,2869,2570,1133,1981,321
7525,2877,2575,1138,1987,322
7550,2881,2588,1143,1995,322
7575,2888,2599,1150,2004,325
7600,2897,2613,1156,2016,326
7625,2902,2623,1161,2022,328
7650,2908,2630,1163,2026,328
7675,2915,2638,1166,2035,329
7700,2920,2646,1167,2040,331
7725,2924,2651,1168,2048,332
7750,2933,2666,1171,2059,333
7775,2938,2676,1173,2067,334
7800,2946,2684,1176,2074,337
7825,2956,2697,1180,2084,337
7850,2965,2708,1185,2096,337
7875,2971,2715,1190,2104,338
7900,2981,2729,1197,2114,339
7925,2983,2740,1200,2121,340
7950,2995,2751,1210,2135,343
7975,3002,2761,1216,2146,344
8000,3010,2770,1219,2153,346
8025,3012,2783,1226,2158,351
8050,3017,2797,1233,2165,354
8075,3024,2810,1237,2174,356
8100,3029,2821,1243,2181,356
8125,3037,2829,1250,2189,358
8150,3046,2842,1258,2201,359
8175,3053,2852,1264,2210,360
8200,3057,2855,1270,2221,361
8225,3064,2864,1280,2231,363
8250,3069,2874,1285,2240,363
8275,3077,2889,1292,2252,364
8300,3091,2900,1298,2266,365
8325,3099,2909,1302,2277,365
8350,3102,2918,1311,2284,366
8375,3109,2927,1317,2290,366
8400,3118,2936,1322,2304,366
8425,3124,2944,1328,2310,367
8450,3135,2956,1337,2321,368
8475,3141,2965,1344,2329,368
8500,3147,2978,1351,2341,371
8525,3156,2986,1360,2353,371
8550,3162,2995,1370,2359,371
8575,3170,3004,1376,2368,373
8600,3176,3013,1383,2375,373
8625,3182,3026,1389,2382,375
8650,3186,3038,1396,2391,376
8675,3196,3048,1403,2401,377
8700,3205,3055,1407,2409,377
8725,3213,3064,1413,2419,377
8750,3221,3074,1419,2425,379
8775,3227,3084,1431,2433,379
8800,3236,3093,1436,2443,380
8825,3244,3105,1445,2454,381
8850,3246,3111,1453,2461,383
8875,3254,3121,1464,2473,383
8900,3260,3129,1469,2481,383
8925,3273,3140,1476,2494,383
8950,3281,3146,1484,2499,385
8975,3292,3157,1490,2510,387
9000,3301,3169,1498,2517,387
9025,3308,3182,1500,2530,387
9050,3313,3189,1506,2534,389
9075,3324,3203,1512,2546,391
9100,3328,3211,1520,2555,392
9125,3337,3221,1526,2564,394
9150,3343,3230,1530,2573,394
9175,3351,3237,1535,2583,397
9200,3356,3247,1541,2594,397
9225,3364,3259,1550,2600,397
9250,3370,3269,1558,2607,398
9275,3375,3276,1562,2614,398
9300,3381,3287,1570,2621,399
9325,3389,3297,1576,2630,400
9350,3397,3306,1581,2637,400
9375,3401,3317,1588,2644,401
9400,3407,3323,1592,2649,401
9425,3410,3330,1599,2657,401
9450,3415,3344,1607,2668,403
9475,3424,3354,1611,2679,403
9500,3428,3361,1614,2684,404
9525,3431,3372,1620,2690,405
9550,3434,3379,1627,2693,407
9575,3441,3389,1635,2699,410
9600,3448,3401,1644,2710,412
9625,3455,3414,1651,2719,415
9650,3465,3424,1658,2730,417
9675,3473,3434,1663,2737,418
9700,3476,3444,1670,2742,418
9725,3482,3456,1682,2752,418
9750,3490,3472,1689,2763,421
9775,3495,3482,1697,2770,422
9800,3504,3496,1704,2781,424
9825,3512,3506,1710,2790,424
9850,3517,3515,1716,2798,424
9875,3523,3527,1723,2810,424
9900,3527,3538,1731,2816,424
9925,3534,3551,1738,2823,425
9950,3539,3562,1744,2834,427
9975,3544,3574,1746,2842,429
10000,3552,3581,1749,2850,429
10025,3558,3590,1754,2858,429
10050,3563,3598,1761,2868,430
10075,3567,3606,1766,2876,433
10100,3573,3614,1773,2883,434
10125,3584,3624,1780,2896,434
10150,3593,3634,1782,2904,435
10175,3597,3642,1788,2910,437
10200,3604,3653,1793,2916,437
10225,3610,3658,1795,2919,439
10250,3614,3664,1798,2924,440
10275,3618,3670,1804,2932,440
10300,3625,3683,1810,2938,442
10325,3629,3692,1817,2942,443
10350,3639,3705,1826,2952,444
10375,3646,3714,1834,2962,446
10400,3653,3728,1845,2972,446
10425,3657,3740,1852,2979,446
10450,3666,3749,1859,2989,446
10475,3675,3759,1866,2996,446
10500,3681,3766,1871,3002,448
10525,3687,3773,1874,3007,449
10550,3690,3777,1877,3013,451
10575,3696,3787,1880,3020,456
10600,3703,3799,1888,3028,457
10625,3709,3805,1891,3035,458
10650,3718,3815,1899,3041,458
10675,3727,3822,1905,3050,458
10700,3737,3836,1913,3060,459
10725,3738,3842,1917,3063,460
10750,3744,3854,1927,3072,462
10775,3751,3862,1929,3080,464
10800,3759,3874,1935,3087,464
10825,3765,3884,1942,3094,467
10850,3770,3896,1949,3104,467
10875,3779,3904,1954,3113,467
10900,3784,3913,1960,3121,467
10925,3789,3922,1966,3129,469
10950,3793,3933,1971,3138,469
10975,3801,3943,1975,3145,472
11000,3805,3951,1980,3152,473
11025,3810,3963,1986,3163,473
11050,3817,3972,1993,3172,474
11075,3820,3979,1999,3178,474
11100,3831,3990,2009,3191,476
11125,3836,3998,2013,3198,478
11150,3844,4008,2018,3209,479
11175,3848,4019,2024,3213,479
11200,3855,4030,2031,3225,481
11225,3861,4040,2039,3235,481
11250,3869,4053,2045,3243,484
11275,3882,4066,2056,3253,484
11300,3889,4081,2068,3265,488
11325,3901,4094,2076,3275,490
11350,3906,4104,2083,3280,490
11375,3917,4117,2092,3294,492
11400,3922,4126,2096,3300,493
11425,3931,4140,2105,3310,494
11450,3940,4150,2112,3320,495
11475,3947,4157,2118,3329,495
11500,3953,4167,2126,3338,495
11525,3958,4175,2133,3346,496
11550,3963,4189,2142,3355,499
11575,3971,4200,2150,3366,500
11600,3976,4209,2155,3373,500
11625,3983,4226,2166,3388,500
11650,3988,4237,2174,3395,501
11675,3994,4253,2183,3404,501
11700,4004,4265,2192,3412,501
