Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,1,0,0
25,0,0,0,3,0,1
50,0,0,0,4,0,3
75,0,0,0,5,0,5
100,1,1,2,10,1,5
125,2,1,2,10,1,9
150,3,2,4,10,1,11
175,6,3,5,12,1,11
200,7,5,7,14,3,12
225,9,7,8,15,3,12
250,13,8,8,15,4,12
275,14,8,8,15,5,12
300,16,12,10,17,6,15
325,20,15,11,18,7,15
350,20,16,12,18,9,16
375,22,17,14,19,10,17
400,24,17,14,21,12,19
425,29,17,14,23,19,19
450,30,20,16,24,22,19
475,34,20,16,25,22,21
500,38,21,17,27,23,21
525,45,22,19,31,29,24
550,48,22,19,33,30,25
575,49,25,20,35,32,27
600,53,27,20,36,33,27
625,58,28,22,37,36,29
650,62,29,23,38,41,30
675,69,35,29,39,47,31
700,70,36,31,39,51,31
725,74,37,31,39,54,31
750,76,40,32,39,56,32
775,80,40,34,40,60,35
800,85,44,36,42,64,35
825,87,46,36,42,66,37
850,91,50,37,44,69,39
875,94,52,39,46,76,41
900,101,54,41,47,84,44
925,107,55,42,48,89,44
950,110,56,42,48,93,45
975,115,60,44,50,102,45
1000,119,62,46,52,104,46
1025,123,65,47,53,108,47
1050,127,67,48,53,111,49
1075,133,68,48,56,115,51
1100,138,71,51,56,120,52
1125,148,74,54,59,128,52
1150,153,75,55,59,132,53
1175,161,78,61,59,138,54
1200,165,80,63,60,142,56
1225,168,82,63,63,148,56
1250,174,84,64,64,150,56
1275,180,85,64,65,155,56
1300,189,89,67,65,159,58
1325,191,90,69,66,162,59
1350,198,91,70,68,166,60
1375,200,97,75,69,171,60
1400,204,101,76,71,176,60
1425,209,103,78,71,184,62
1450,216,106,82,72,191,62
1475,218,109,85,74,194,63
1500,221,111,88,74,200,65
1525,228,114,91,75,205,65
1550,235,115,92,76,213,66
1575,238,118,93,78,219,67
1600,243,119,95,79,223,68
1625,245,120,96,80,228,69
1650,248,123,98,82,233,72
1675,249,128,102,83,236,73
1700,255,130,103,83,241,74
1725,259,132,104,85,246,75
1750,265,134,105,85,252,77
1775,274,135,108,86,258,77
1800,279,138,108,86,264,78
1825,281,139,109,87,270,78
1850,287,142,110,88,277,79
1875,291,145,112,89,278,79
1900,294,148,115,90,283,79
1925,297,154,117,90,289,82
1950,304,156,119,93,297,82
1975,307,157,120,93,298,83
2000,310,159,120,93,304,84
2025,317,162,123,93,310,85
2050,320,167,124,93,317,87
2075,323,168,126,96,323,89
2100,328,172,130,96,328,92
2125,333,172,131,98,332,93
2150,337,175,132,100,339,94
2175,343,176,134,101,344,94
2200,347,182,135,102,351,95
2225,354,185,137,104,356,95
2250,363,189,141,107,365,97
2275,370,191,142,108,372,97
2300,375,193,143,108,377,97
2325,379,198,143,109,384,97
2350,387,203,145,111,394,97
2375,391,205,148,112,398,97
2400,400,209,150,112,404,97
2425,403,214,150,115,410,98
2450,406,218,152,118,419,98
2475,413,222,155,120,428,99
2500,421,227,158,123,437,100
2525,426,230,159,123,443,100
2550,432,233,159,125,451,101
2575,435,237,162,126,456,101
2600,446,239,163,126,464,102
2625,451,243,165,127,471,104
2650,458,247,167,127,480,105
2675,462,249,167,128,485,107
2700,469,253,170,128,492,108
2725,476,256,173,129,495,110
2750,480,260,175,130,502,110
2775,486,262,179,132,507,110
2800,490,267,186,132,515,112
2825,495,272,191,133,521,115
2850,504,278,195,134,524,115
2875,512,280,196,136,529,116
2900,517,282,200,138,539,118
2925,521,287,204,140,545,118
2950,526,291,207,140,549,119
2975,535,296,210,141,555,119
3000,538,300,215,141,561,119
3025,542,305,218,142,568,121
3050,547,308,219,144,572,123
3075,551,312,224,145,577,123
3100,556,315,226,146,582,124
3125,563,322,228,146,588,126
3150,569,325,229,147,596,129
3175,574,331,231,150,605,129
3200,577,334,232,150,611,129
3225,580,339,236,151,615,132
3250,584,342,236,151,616,133
3275,590,345,237,153,619,134
3300,597,346,237,153,627,134
3325,602,354,242,154,635,134
3350,609,357,243,155,641,134
3375,612,361,246,155,645,134
3400,617,363,250,158,651,135
3425,620,368,253,159,657,135
3450,624,370,257,159,660,135
3475,631,374,258,159,664,136
3500,638,377,260,159,667,137
3525,641,380,261,159,671,137
3550,644,380,261,160,675,138
3575,652,386,264,161,683,138
3600,654,387,266,162,688,138
3625,657,390,267,163,691,139
3650,660,395,271,165,696,139
3675,664,400,274,166,699,140
3700,668,403,275,167,704,140
3725,673,406,277,169,708,140
3750,679,410,281,169,714,142
3775,687,411,281,171,721,143
3800,690,414,282,171,728,143
3825,693,417,283,172,736,144
3850,698,424,287,173,744,145
3875,705,426,289,173,752,146
3900,711,431,293,176,759,146
3925,716,435,294,179,767,147
3950,719,437,294,179,771,149
3975,729,444,298,181,782,149
4000,734,444,298,181,794,150
4025,738,447,299,182,800,150
4050,745,451,300,183,803,150
4075,755,456,305,185,809,150
4100,762,464,310,185,819,150
4125,765,469,311,185,828,152
4150,769,472,311,187,835,153
4175,773,475,312,188,843,153
4200,777,477,315,188,852,154
4225,783,482,319,189,857,157
4250,785,484,321,190,865,159
4275,790,486,324,190,872,159
4300,800,493,330,191,879,161
4325,806,499,336,193,884,162
4350,808,501,336,193,889,163
4375,814,503,339,193,897,164
4400,817,507,341,195,907,166
4425,825,510,346,195,914,166
4450,829,513,347,196,918,167
4475,837,520,353,196,927,167
4500,841,523,355,196,932,168
4525,847,524,356,196,939,169
4550,857,529,358,198,946,169
4575,865,532,362,198,953,170
4600,871,534,362,198,965,170
4625,877,537,366,199,973,171
4650,886,545,367,200,981,172
4675,891,553,370,201,990,173
4700,897,555,373,203,996,174
4725,901,558,375,204,1001,175
4750,905,562,379,205,1006,176
4775,912,568,383,206,1013,176
4800,919,572,385,206,1017,177
4825,924,573,387,209,1025,177
4850,932,577,391,210,1031,177
4875,936,579,391,212,1037,179
4900,941,583,392,213,1043,180
4925,947,590,397,214,1050,180
4950,951,595,399,215,1058,181
4975,959,598,401,216,1068,182
5000,966,605,406,217,1076,182
5025,969,609,408,219,1082,183
5050,972,611,409,223,1087,183
5075,983,617,415,231,1100,185
5100,989,618,416,235,1104,188
5125,994,623,420,241,1108,191
5150,1000,629,423,247,1115,195
5175,1007,635,427,259,1125,195
5200,1012,637,429,263,1131,196
5225,1021,642,432,270,1141,197
5250,1027,646,434,274,1149,200
5275,1033,650,437,277,1154,201
