Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
3475,1499,500,406,143,1022,140
3500,1512,507,412,144,1032,140
3525,1522,511,417,147,1042,141
3550,1532,517,422,148,1053,142
3575,1544,527,424,149,1063,143
3600,1553,535,427,150,1072,144
3625,1563,540,431,151,1080,145
3650,1572,545,433,151,1087,146
3675,1583,548,435,152,1093,146
3700,1595,555,439,152,1100,147
3725,1607,561,445,154,1108,147
3750,1616,565,448,156,1114,148
3775,1628,569,451,158,1118,150
3800,1639,575,456,159,1128,151
3825,1650,579,460,160,1136,152
3850,1661,585,465,162,1146,153
3875,1678,592,468,163,1154,154
3900,1692,600,470,165,1164,155
3925,1705,603,472,166,1173,155
3950,1717,610,474,167,1183,157
3975,1729,620,480,167,1194,157
4000,1742,631,483,168,1204,159
4025,1755,636,487,168,1214,160
4050,1765,641,489,168,1225,161
4075,1773,648,491,168,1235,163
4100,1781,653,493,169,1243,164
4125,1792,659,497,169,1254,164
4150,1804,663,500,170,1259,166
4175,1813,669,505,172,1273,166
4200,1822,679,507,174,1286,169
4225,1828,682,510,175,1292,170
4250,1837,690,514,179,1302,171
4275,1844,698,518,181,1312,173
4300,1850,703,521,182,1321,173
4325,1857,712,526,186,1329,173
4350,1865,716,528,186,1336,174
4375,1875,724,531,187,1345,174
4400,1884,728,535,188,1350,174
4425,1890,731,539,191,1355,175
4450,1897,737,544,192,1361,176
4475,1905,740,547,193,1365,177
4500,1916,743,551,193,1368,178
4525,1926,749,556,193,1375,179
4550,1941,758,562,194,1383,179
4575,1945,765,567,196,1393,181
4600,1955,772,570,196,1397,182
4625,1964,783,578,198,1412,183
4650,1970,786,580,198,1418,184
4675,1982,789,583,199,1423,185
4700,1989,794,588,200,1430,185
4725,1994,799,592,201,1441,185
4750,2001,808,595,201,1452,186
4775,2010,814,600,201,1460,188
4800,2016,819,603,202,1465,191
4825,2026,825,606,203,1476,194
4850,2032,831,607,203,1482,195
4875,2042,837,609,205,1491,198
4900,2052,843,612,205,1500,199
4925,2063,851,614,205,1509,200
4950,2073,859,618,206,1515,200
4975,2079,864,621,206,1522,202
5000,2089,871,624,206,1534,203
