Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0,1
25,1,1,1,1,1,2
50,2,2,2,1,2,5
75,6,5,5,1,5,8
100,10,6,5,2,8,8
125,14,6,5,2,9,9
150,19,6,6,4,10,12
175,22,7,8,6,12,13
200,26,10,11,6,17,14
225,31,13,13,7,19,15
250,37,13,13,9,22,15
275,45,14,17,9,24,15
300,52,15,18,10,27,16
325,59,21,22,11,33,19
350,67,25,25,13,37,20
375,77,26,27,14,39,21
400,86,28,29,14,44,21
425,99,31,30,15,55,22
450,112,35,34,15,67,24
475,116,36,36,17,69,27
500,126,38,38,18,74,31
525,137,40,43,20,83,31
550,151,42,48,20,93,32
575,160,45,52,22,98,34
600,175,47,55,24,102,37
625,183,50,58,25,106,38
650,191,54,62,26,113,38
675,199,56,65,26,120,40
700,211,60,68,27,124,42
725,219,62,70,29,128,43
750,230,66,75,29,137,44
775,241,67,78,32,144,44
800,253,68,79,32,147,45
825,263,68,82,35,152,45
850,277,71,83,35,159,45
875,290,75,86,36,168,46
900,302,77,88,38,177,47
925,315,79,91,40,186,48
950,325,79,92,40,189,49
975,337,85,96,41,198,49
1000,352,87,98,43,203,50
1025,363,93,103,43,212,51
1050,374,97,105,45,219,52
1075,387,102,106,45,227,52
1100,404,107,109,46,239,54
1125,416,109,111,46,248,55
1150,429,116,116,47,257,55
1175,442,116,118,48,267,58
1200,453,118,118,49,278,59
1225,466,122,122,51,290,60
1250,475,124,126,51,301,62
1275,488,126,127,52,308,62
1300,502,129,129,54,315,63
1325,515,133,135,55,322,65
1350,527,135,137,57,331,67
1375,538,135,138,57,339,68
1400,548,137,140,58,346,69
1425,559,142,141,60,360,69
1450,565,148,144,61,369,69
1475,580,151,149,61,379,69
1500,596,155,150,61,384,69
1525,610,161,154,62,390,71
1550,623,164,158,62,398,72
1575,632,168,164,62,405,72
1600,649,170,169,62,409,73
1625,662,173,172,62,414,74
1650,674,177,174,63,422,74
1675,689,180,176,65,430,74
1700,702,181,177,65,435,74
1725,713,185,179,67,444,74
1750,727,187,180,68,452,74
1775,740,189,181,68,459,74
1800,752,192,185,71,464,74
1825,767,196,189,72,473,74
1850,777,200,192,73,482,76
1875,790,208,196,74,496,77
1900,801,211,198,75,504,79
1925,815,215,199,77,511,79
1950,829,217,201,80,521,79
1975,842,220,202,80,525,79
2000,855,224,202,82,532,81
2025,868,230,206,84,542,82
2050,882,235,211,86,551,83
2075,898,240,211,89,557,85
2100,907,240,218,91,561,86
2125,921,244,220,94,567,87
2150,932,246,221,96,577,87
2175,941,249,223,96,585,90
2200,953,251,225,97,593,91
2225,962,257,228,98,601,91
2250,971,261,231,100,608,92
2275,982,262,233,101,611,92
2300,993,263,235,102,618,93
2325,1005,266,241,104,626,93
2350,1014,268,241,105,634,95
2375,1025,271,245,106,640,96
2400,1040,274,246,107,648,96
2425,1050,282,251,108,659,97
2450,1061,288,255,109,670,97
2475,1074,293,259,110,681,100
2500,1082,299,264,111,692,102
2525,1091,301,266,112,702,102
2550,1102,308,268,112,711,103
2575,1113,312,273,113,718,104
2600,1122,315,277,115,726,104
2625,1131,319,282,117,730,104
2650,1141,323,284,118,733,105
2675,1148,329,291,118,744,106
2700,1158,333,293,119,750,106
2725,1167,335,296,119,757,108
2750,1179,338,299,119,764,110
2775,1189,341,302,120,769,111
2800,1202,349,311,120,778,112
2825,1212,356,315,123,784,113
2850,1222,368,322,123,792,114
2875,1238,375,326,124,804,115
2900,1245,380,331,126,813,118
2925,1258,386,334,127,826,118
2950,1269,390,335,128,833,120
2975,1277,394,337,128,841,121
3000,1291,397,339,128,851,122
3025,1302,404,346,129,862,122
3050,1315,410,349,130,873,122
3075,1327,416,356,131,886,122
3100,1339,422,359,132,897,122
3125,1349,427,361,133,907,125
3150,1359,433,367,134,914,125
3175,1373,439,371,134,924,126
3200,1386,444,379,134,931,127
3225,1400,451,382,134,940,129
3250,1414,455,383,135,949,131
3275,1421,459,387,136,956,132
3300,1432,463,391,136,965,133
3325,1441,470,392,136,972,133
3350,1450,475,397,137,979,135
3375,1459,481,399,139,987,135
3400,1470,485,401,139,999,138
3425,1481,489,403,141,1007,139
3450,1491,496,405,143,1016,140
