Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0,0
25,0,0,0,0,0,0
50,0,0,0,0,0,2
75,0,0,0,1,0,4
100,1,1,2,4,1,5
125,2,1,2,4,1,5
150,3,2,4,7,1,5
175,6,3,5,7,1,6
200,7,5,7,9,3,6
225,9,7,8,11,3,8
250,13,8,8,11,4,10
275,14,8,8,13,5,11
300,16,12,10,14,6,11
325,20,15,11,14,7,13
350,20,16,12,16,9,14
375,22,17,14,18,10,15
400,24,17,14,21,12,16
425,29,17,14,22,19,16
450,30,20,16,22,22,17
