Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0
25,76,0,1,0,0
50,188,0,1,0,0
75,258,0,1,0,0
100,450,0,1,0,0
125,560,0,1,0,0
150,802,0,1,0,0
175,934,0,2,0,0
200,1212,0,5,0,0
225,1212,0,7,0,0
250,1358,0,11,0,0
275,1358,0,13,0,0
300,1504,0,19,0,0
325,1504,0,23,0,0
350,1504,0,26,0,0
375,1504,0,31,0,0
400,1504,0,41,0,0
425,1654,0,47,0,148
450,1654,0,57,0,148
475,1654,0,63,0,148
500,1654,0,76,0,148
525,1654,0,85,0,148
550,1654,0,95,0,148
575,1654,0,104,0,148
600,1654,0,112,0,148
625,1804,0,119,0,148
650,1804,0,128,0,148
675,1804,0,141,0,148
700,1804,0,154,0,148
725,1804,0,162,0,148
750,1804,0,172,0,148
775,1804,0,181,0,148
800,1954,0,188,0,148
825,1954,0,198,0,148
850,1954,0,203,0,148
875,1954,0,216,0,148
900,1954,0,227,0,148
925,1954,0,237,0,148
950,1954,0,251,0,148
975,1954,0,262,0,148
1000,1954,0,271,0,148
1025,2104,0,279,0,148
1050,2104,0,290,0,148
1075,2104,0,303,0,148
1100,2104,0,314,0,148
1125,2104,0,323,0,148
1150,2104,0,335,0,148
1175,2104,0,345,0,148
1200,2104,0,354,0,148
1225,2104,0,366,0,148
1250,2104,0,377,0,148
1275,2254,0,391,0,148
1300,2254,0,403,0,148
1325,2254,0,413,0,148
1350,2254,0,425,0,148
1375,2254,0,437,0,148
1400,2254,0,450,0,223
1425,2254,0,459,0,224
1450,2254,0,469,0,224
1475,2254,0,478,0,224
1500,2254,0,487,0,224
1525,2254,0,501,0,224
1550,2404,0,511,0,224
1575,2404,0,522,0,224
1600,2404,0,537,0,224
1625,2404,0,547,0,224
1650,2404,0,560,0,224
1675,2404,0,573,0,224
1700,2404,0,584,0,224
1725,2404,0,596,0,224
1750,2404,0,607,0,224
1775,2404,0,617,0,224
1800,2404,0,628,0,224
1825,2404,0,641,0,224
1850,2554,0,654,0,224
1875,2554,0,664,0,224
1900,2554,0,679,0,224
1925,2554,0,690,0,224
1950,2554,0,701,0,224
1975,2554,0,715,0,224
2000,2554,0,725,0,224
2025,2554,0,735,0,224
2050,2554,0,748,0,224
2075,2554,0,765,0,224
2100,2554,0,779,0,224
2125,2554,0,797,0,224
2150,2554,0,814,0,224
2175,2554,0,833,0,224
2200,2554,0,855,0,224
2225,2704,0,876,0,224
2250,2704,0,896,0,224
2275,2704,0,917,0,224
2300,2704,0,936,0,224
2325,2704,0,953,0,224
2350,2704,0,970,0,224
2375,2704,0,990,0,224
2400,2704,0,1011,0,224
2425,2704,0,1028,0,224
2450,2704,0,1048,0,224
2475,2704,0,1066,0,224
2500,2704,0,1087,0,300
2525,2704,0,1107,0,300
2550,2704,0,1128,0,300
2575,2704,0,1146,0,300
2600,2704,0,1163,0,300
2625,2704,0,1178,0,300
2650,2704,0,1198,0,300
2675,2704,0,1214,0,300
2700,2704,0,1238,0,300
2725,2704,0,1254,0,300
2750,2704,0,1274,0,300
2775,2704,0,1295,0,300
2800,2704,0,1313,0,300
2825,2854,0,1335,0,300
2850,2854,0,1354,0,300
2875,2854,0,1372,0,300
2900,2854,0,1392,0,300
2925,2854,0,1413,0,300
2950,2854,0,1431,0,300
2975,2854,0,1451,0,300
3000,2854,0,1474,0,300
