Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0,0
25,1,1,1,1,1,0
50,2,2,2,2,2,1
75,6,5,5,2,5,2
100,10,6,5,2,8,2
125,14,6,5,3,9,6
150,19,6,6,3,10,7
175,22,7,8,3,12,7
200,26,10,11,3,17,10
225,31,13,13,5,19,10
250,37,13,13,5,22,10
275,45,14,17,8,24,13
300,52,15,18,8,27,15
325,59,21,22,9,33,18
350,67,25,25,10,37,21
375,77,26,27,10,39,23
400,86,28,29,12,44,23
425,99,31,30,14,53,23
450,112,35,34,14,62,23
475,116,36,36,15,67,24
500,126,38,38,16,71,25
525,137,40,43,16,79,25
550,151,42,48,16,86,27
575,160,45,52,16,93,27
600,175,47,55,18,100,28
625,183,50,58,20,104,30
650,191,54,62,20,109,31
675,199,56,65,21,111,32
700,211,60,68,24,121,32
725,219,62,70,27,127,33
750,230,66,75,29,136,33
775,241,67,78,29,139,34
800,253,68,79,30,142,34
825,263,68,82,30,148,35
850,277,71,83,33,157,36
875,290,75,86,35,162,37
900,302,77,88,35,168,37
925,315,79,91,35,176,39
950,325,79,92,36,184,40
975,337,85,96,36,190,41
1000,352,87,98,36,197,41
1025,363,93,103,37,202,43
1050,374,97,105,39,207,45
1075,387,102,106,41,212,46
1100,404,107,109,42,219,48
1125,416,109,111,42,227,49
1150,429,116,116,43,237,50
1175,442,116,118,44,246,51
1200,453,118,118,44,253,51
1225,466,122,122,45,258,54
1250,475,124,126,45,265,56
1275,488,126,127,45,275,56
1300,502,129,129,46,279,58
1325,515,133,135,48,285,58
1350,527,135,137,49,295,59
1375,538,135,138,49,300,62
1400,548,137,140,51,308,64
1425,559,142,141,52,315,66
1450,565,148,144,52,318,69
1475,580,151,149,53,328,70
1500,596,155,150,55,335,72
1525,610,161,154,55,340,73
1550,623,164,158,56,352,73
1575,632,168,164,56,361,73
1600,649,170,169,56,367,74
1625,662,173,172,57,370,75
1650,674,177,174,58,377,76
1675,689,180,176,60,380,76
1700,702,181,177,62,381,78
1725,713,185,179,63,388,81
1750,727,187,180,65,392,82
1775,740,189,181,66,395,83
1800,752,192,185,67,397,84
1825,767,196,189,68,407,85
1850,777,200,192,70,415,86
1875,790,208,196,72,423,86
1900,801,211,198,73,426,87
1925,815,215,199,73,433,88
1950,829,217,201,76,439,91
1975,842,220,202,77,445,91
2000,855,224,202,79,449,91
2025,868,230,206,80,461,92
2050,882,235,211,81,467,94
2075,898,240,211,81,472,95
2100,907,240,218,84,478,95
2125,921,244,220,85,482,96
2150,932,246,221,86,486,98
2175,941,249,223,87,489,100
2200,953,251,225,87,493,100
2225,962,257,228,88,498,102
2250,971,261,231,88,504,103
2275,982,262,233,88,506,104
2300,993,263,235,90,509,105
2325,1005,266,241,90,515,105
2350,1014,268,241,90,519,105
