Time(Iteration),oracleLinUCB,dLinUCB,DyClu
0,1.903410254276368,2.4160776617340582,2.2514447523063637
1,3.37400171888929,4.598755061527443,3.876333919677217
2,4.518677696316828,6.574200162257805,5.094699708115618
3,4.89029257430123,9.85463597949776,6.555514833264486
4,5.239681606580618,13.6743443088958,7.952166318989397
5,5.918378453198466,16.100992619613834,10.24690369493664
6,6.5491931898899995,17.64769600559229,11.140617388677208
7,6.7833083384710955,19.190809882009834,12.561544703167298
8,7.078247972785644,21.90105864187654,13.424043306089319
9,7.34845877679659,24.214269699819184,14.280719644172773
10,7.932307262667112,26.845993138347783,15.52740965612374
11,8.018898451308548,29.570545321169167,16.554548648994615
12,8.89190208614086,31.64652377698956,18.064821006562656
13,9.124592637129494,33.4843881437691,18.82683162536704
14,9.506603535880336,35.60400577781416,20.06864305787631
15,9.564675241227835,37.213352545379976,21.03233589045789
16,10.042537447506678,38.96982720500561,21.743631974530285
17,10.166510781852702,40.721429421473196,21.800545015220788
18,10.342368640386477,41.65230137934862,21.847351243460263
19,10.43059650113458,43.42131098024401,22.148557842762276
20,10.678689436123314,44.58981289336698,22.442105495662755
21,10.969390836973869,45.94237008812653,23.04189320113831
22,11.170091998047544,46.86570890740624,23.35775932943966
23,11.193851473557178,48.554045884883045,23.381834079871567
24,11.411297498353957,49.983251720043796,23.677551618800564
25,11.53486444175077,50.53922185548855,24.030605747955768
26,11.553535827704806,51.19966669402864,24.415877153709168
27,11.57039934261595,51.6298937347349,24.539124804869513
28,11.770793835318909,52.95124015842309,24.86760673375901
29,11.780871429788059,53.56340741251032,25.172664807427395
30,11.780887582482901,54.27427826142825,25.313977529697404
31,11.806824537569288,55.510218584734226,25.339914484783787
32,11.941068394759998,56.65663602880201,25.59708420314878
33,12.03646750784095,58.08783789722207,25.680350635447663
34,12.049029490624552,58.76684507803332,25.929901596023935
35,12.140081627553833,59.33063930135995,26.18286368179822
36,12.252945716304003,60.19874368713777,26.29156055889002
37,12.278332480164886,61.10543113658484,26.594098486255895
38,12.354750331340036,61.67959423359041,27.323614166195792
39,12.354750331340036,61.979400360059444,27.441973296508465
40,12.36518921850551,62.47793070044963,27.53437418821255
41,12.419522306770942,62.78354427523222,27.77952912791547
42,12.487573462274081,63.12329925518692,27.833925495131158
43,12.536024293535469,63.55130498862761,27.84172302519039
44,12.545803137064512,64.56975911055724,27.84172302519039
45,12.545803137064512,65.57126075501382,27.84172302519039
46,12.639375587057232,66.36738913142493,27.93529547518311
47,12.665054066734434,66.55634314229792,28.141552359212007
48,12.734581193367301,66.80393663951172,28.211079485844873
49,12.87754766745328,67.15225916870993,28.327776842280052
50,13.124561296039401,67.77704515656856,28.534451117856374
51,13.164956693552087,67.92188105187152,28.58760899046617
52,13.164956693552087,68.83852230633973,28.58760899046617
53,13.215051381307516,69.58359054067802,28.637703678221598
54,13.223296952426706,70.1361936297432,28.838715231714676
55,13.259850945589944,70.34081860481174,28.950713434998107
56,13.259850945589944,70.86147548860932,28.983353376453643
57,13.259850945589944,71.13561353648382,29.03864732534574
58,13.424066426233738,71.74726931167307,29.03864732534574
59,13.424066426233738,72.02777658937993,29.12395533478637
60,13.424066426233738,72.36217089069932,29.12395533478637
61,13.444439396352866,72.37409951898759,29.23927573079814
62,13.444439396352866,72.97599312743239,29.256085439219436
63,13.444778004259897,73.20593985755974,29.617179692897157
64,13.444778004259897,73.27037825842905,29.786806270779433
65,13.488734819763945,73.63375682144424,29.922739390826724
66,13.488734819763945,73.94586658675877,29.922739390826724
67,13.488734819763945,74.22215130168564,30.23032680129393
68,13.488734819763945,74.64981887069986,30.29602435572607
69,13.505038508186955,74.95820503282478,30.45178331074522
70,13.552332982452842,75.19998170652728,30.45178331074522
71,13.559601515526378,75.35121449561011,30.492879602121384
72,13.559601515526378,75.54236930254798,30.608969656032308
73,13.564542628243593,75.98014293445578,30.70905725320915
74,13.574420215821421,76.00587877438787,30.720402609160264
75,13.621961623671675,76.38635546352538,30.76663180611838
76,13.621961623671675,76.48480596654197,30.76663180611838
77,13.67433979509957,76.8126016964668,30.850431442258234
78,13.711378029057213,77.23025952796795,31.013995089848585
79,13.831184672738749,77.48589153951141,31.09125305714952
80,13.831184672738749,77.67071833125831,31.09125305714952
81,13.835056455729628,77.99379371045788,31.121485056074057
82,13.863599972191222,78.0108844786909,31.285187147525267
83,13.863599972191222,78.22572207811692,31.402627457255957
84,13.940601159701481,78.46355234488539,31.479628644766215
85,13.940601159701481,78.63955740789301,31.553974450033643
86,13.940601159701481,78.94227825175503,31.757686998121482
87,13.973253415279837,79.27434298062174,31.790339253699837
88,14.042950215794093,79.31632328703029,31.82052804159433
89,14.048389135093926,79.70159829051072,31.878214574463524
90,14.048389135093926,79.85399690974684,32.07306947915513
91,14.048389135093926,79.87121566128772,32.09028823069602
92,14.104975703066462,80.03566410130334,32.146874798668556
93,14.165207214981207,80.20858964215294,32.30536784005899
94,14.311825238784941,80.4388872387321,32.451985863862724
95,14.320643960666544,80.86534193602002,32.65148665577309
96,14.320643960666544,81.06074523455042,32.65148665577309
97,14.320643960666544,81.06501492532644,32.65148665577309
98,14.320643960666544,81.19173432716433,32.73069224778791
99,14.320643960666544,81.32617896000563,32.73069224778791
100,14.320643960666544,81.37837524980316,32.73069224778791
101,14.377267010450986,81.50798659868211,32.842446566965236
102,14.43397706407658,81.65842283892424,32.90323634332628
103,14.487728420694584,81.82280803501368,32.95698769994428
104,14.487728420694584,81.97440892886512,32.95698769994428
105,14.537800921906744,82.08020290342797,33.029777547902405
106,14.537800921906744,82.08020290342797,33.029777547902405
107,14.571501035754084,82.17574426698904,33.03403615381424
108,14.571501035754084,82.34628825830059,33.07970190114048
109,14.638125807143828,82.5025042789111,33.14632667253022
110,14.638125807143828,82.51764826178598,33.18602418144936
111,14.63951254557055,82.55312539350588,33.20636312695672
112,14.63951254557055,82.6254301854157,33.208792401798725
113,14.63951254557055,82.73642201480976,33.269089306413036
