Time(Iteration),oracleLinUCBTheta,dLinUCBTheta,DyCluTheta
0,0.9254454908946451,0.9956240387050226,0.9884291860580239
1,0.8180595194728004,0.9772095618564298,0.9701984013509314
2,0.6775193942151932,0.9650958103128723,0.9532479914795413
3,0.5647997995132902,0.9476442817652462,0.9389182269039609
4,0.5150263210710657,0.932683317634365,0.9050699477476323
5,0.4669749777209554,0.9298026678306217,0.8717455127218067
6,0.42405604209168846,0.9200516576649544,0.8535619525544789
7,0.4059978544766536,0.893278421294817,0.8420252739426882
8,0.41907990120990696,0.8667504449144605,0.8341932003533611
9,0.4332072916741154,0.8518547324306368,0.8183561899570041
10,0.4419777270804717,0.8471945739794151,0.8224138619445753
11,0.44767666356086455,0.8276478584296582,0.8139656120608475
12,0.42683278268246416,0.8204628869123877,0.8099418091562542
13,0.4544180228843051,0.8054088590455392,0.8039200170522574
14,0.4621005335959422,0.800799309821494,0.7889204186648323
15,0.4302577556982075,0.783973984872767,0.7864834925906241
16,0.3968794490624141,0.7687702064581206,0.785125776424284
17,0.3791687917354333,0.7508038035435849,0.7531905842899037
18,0.37470734833828,0.7557933346816086,0.7274691505835683
19,0.38831416384720485,0.7441104743598285,0.7136836851761124
20,0.38934471764338824,0.7201930186952143,0.7080333643538358
21,0.37490483097146304,0.7049811560632124,0.691055993990822
22,0.3608611203997926,0.7035091470344023,0.6721651273968966
23,0.3682022817393729,0.6777235160723522,0.6404595023703793
24,0.36553431805443853,0.7131820304604937,0.6348876032616924
25,0.3197642499464787,0.7019923557688433,0.6546763726347271
26,0.3125988359251476,0.6945668077200625,0.6453985954704772
27,0.30653623571102967,0.6799439780585173,0.6455514400853393
28,0.29466604073587466,0.6567110432827248,0.6513580206443437
29,0.28943891392110743,0.6419357075792768,0.6453934137813848
30,0.28378346411149097,0.6429147831189035,0.6278362446475138
31,0.27857986104060833,0.6265607419139192,0.6284809262989992
32,0.26998766589104994,0.6079774327459563,0.6315519533928697
33,0.2672692565052437,0.5803460361540269,0.6263956797800321
34,0.265297485951716,0.5695544490874698,0.6198782895735362
35,0.2615640214264122,0.5614922528270962,0.6094534633313018
36,0.2620486425061538,0.5408438959113326,0.6096149910890042
37,0.26427461754364245,0.5324098184798212,0.5987787138322571
38,0.25606970304356963,0.5250584325812728,0.5981177581656716
39,0.25089524159120324,0.5246825403270329,0.5931102899183194
40,0.24747938929097885,0.5193265783018578,0.5723436900476025
41,0.2325937862195857,0.5097232569729406,0.569246063057563
42,0.23950669060463436,0.5130399683704734,0.5587395257728947
43,0.2384035970529778,0.5156823683269159,0.5572566700207149
44,0.22148691583216557,0.5108010026142902,0.5437910039082228
45,0.21188578939283592,0.5115337849600166,0.5366830378041263
46,0.21649538304629612,0.5007861520602737,0.5256850544430407
47,0.23176621631155622,0.5045785558211534,0.5255113799695807
48,0.2308158199665471,0.5027215297951304,0.5238275756549536
49,0.22460208183456007,0.4969451980462386,0.5123718119653081
50,0.22154858354329643,0.49932546177558634,0.5127821407848148
51,0.21249473016187403,0.5077413323239934,0.5211580931066969
52,0.21118718994061586,0.5016886540549879,0.52374213029389
53,0.20907289873091614,0.500719513936638,0.5349846930581175
54,0.20648000835950558,0.5060104311662414,0.5167288116497385
55,0.20292433605256693,0.49974226101529495,0.5122574996585711
56,0.2023874889332832,0.4995678988029105,0.5091388608223666
57,0.19875005790817102,0.4841068351713262,0.5163937125004001
58,0.19669282033872895,0.4742917152060932,0.49864319747413627
59,0.19337341396209945,0.46748847016618555,0.49639631439153914
60,0.18607359947137142,0.4551719153734166,0.48579973616307975
61,0.18583725718999747,0.4386721875760421,0.46356006701063607
62,0.18940739320955013,0.4412409699749903,0.45898000193273497
63,0.18985728292584683,0.4388966238930944,0.4434120907938054
64,0.18460049560813546,0.44057753636365415,0.4353310500504204
65,0.17393307852434395,0.43563695533559665,0.4270695402364509
66,0.1699478503717635,0.4318897163106373,0.42824544309073725
67,0.16913484382837213,0.4416313437143353,0.4265001631062456
68,0.17128954639696753,0.4424384361863364,0.4185913839349838
69,0.1702225150149769,0.4373590750082846,0.4205619632258656
70,0.17209399838962733,0.43946468527185695,0.41821713264190785
71,0.16709282735755898,0.43759672193407556,0.4068038915330564
72,0.1682703116554308,0.43595627144068844,0.401441404223336
73,0.1622681687094257,0.4436298692134776,0.3954811686409835
74,0.1583090252161574,0.44242546377416414,0.39301343044542014
75,0.1582475589477929,0.4340175138122929,0.39789516883020687
76,0.16052939037545133,0.43244225133714653,0.39538312162470834
77,0.15975759116923463,0.42956577793767314,0.38896121915028564
78,0.1594612994987096,0.4198024157582056,0.3840610881462688
79,0.15991225776737045,0.41259260227060884,0.38071891717584094
80,0.15851957329075045,0.412833351203233,0.3760511921094872
81,0.15837416591455974,0.41290930138018844,0.37930472752544164
