Time(Iteration),oracleLinUCBTheta,independent-LinUCBTheta
0,0.8696953608565146,0.9789751600046257
1,0.6702711286341428,0.9630222930343223
2,0.5425401341078612,0.9372781747403693
3,0.4963552622707866,0.9103636238379313
4,0.3811308830773136,0.8981156645690455
5,0.338820760502363,0.8772318430590927
6,0.299525039840891,0.8657527247999437
7,0.297565418473998,0.8363686187144236
8,0.23240942479680032,0.8309331203455748
9,0.21683354487033402,0.803887110381754
10,0.23352365311906467,0.787003830507946
11,0.22702281127411744,0.7728351251051887
12,0.21718711788154407,0.7534199870077333
13,0.22083914991897188,0.7351788824246528
14,0.21380598127444939,0.7302006772414857
15,0.22046829910171428,0.7321589896943614
16,0.22471960332354043,0.7122564425695979
17,0.2031558044123187,0.6997214849720765
18,0.2084695221497231,0.685729726093846
19,0.21944674576083764,0.6849552455557683
20,0.2228727064616103,0.6672800468238639
21,0.22132131865975713,0.6555615003489318
22,0.21117972587070127,0.6453144374218358
23,0.19796993367699842,0.6355592907658619
24,0.18209427565050704,0.6285686040527333
25,0.17013769794765912,0.6200195750216643
26,0.1727943263355626,0.6215049607224357
27,0.16191821423040167,0.6123120967636377
28,0.15051500463438444,0.596159383778215
29,0.14123420245626045,0.5947341170603166
30,0.1392295202062722,0.5848356322114607
31,0.13868176016499928,0.5771197715221105
32,0.13652280575610212,0.5690791593710233
33,0.1348790191724422,0.5694832692831855
34,0.13811963895004503,0.569839341819619
35,0.14271607706907538,0.5587604734625807
36,0.13988061264123283,0.5601724713367703
37,0.14095052467163957,0.556949576309328
38,0.13826547948973425,0.5613410416942264
39,0.1375032140014506,0.5689998106037767
40,0.13220304399531096,0.5626907574878848
41,0.12985516617112342,0.5615966846608691
42,0.12895797960671446,0.5557888146327651
43,0.12844704975499982,0.5574215635776344
44,0.1275462235050744,0.5482120079086082
45,0.1277566164819038,0.5387882362427179
46,0.12925075730026284,0.5342284355528171
47,0.1318142493109158,0.5336173769802075
48,0.1314525389337987,0.528453304228613
49,0.12833598604805815,0.5317531628893447
50,0.1203777555941436,0.5251232635177495
51,0.12111840910456957,0.5172079243506138
52,0.1166919777966165,0.5124544410349056
53,0.11196119205221228,0.5050713161254206
54,0.1092070699673514,0.49818034093491176
55,0.1048908085162749,0.4889395366741988
56,0.10274208653107328,0.4898997812878539
57,0.09739158116434547,0.49152075817869834
58,0.09755334157342876,0.47958449888778615
59,0.09581847474750857,0.47484115706258295
60,0.09243108485108927,0.4690474510901697
61,0.09150093754212214,0.45878211008038117
62,0.092587909542028,0.4578199887362549
63,0.09190831283430852,0.44941606561576
64,0.0925481492220376,0.4423934239064491
65,0.09791048626880866,0.4441144956878786
66,0.1002510302488442,0.43931837972219895
67,0.09974685647602914,0.4356201562282993
68,0.10027922627217692,0.43514395757502994
69,0.10402647984661803,0.43316012835221157
70,0.10609108519192172,0.4303105823377111
71,0.10655681862942736,0.42667054244812364
72,0.10795383311533784,0.4229280834048596
73,0.10730487776795368,0.4253202490038386
74,0.11038864646985827,0.4286081690713217
75,0.10996141436002109,0.4234580270498462
76,0.108974293395299,0.4204212071193581
77,0.10833418044318226,0.41503243410417845
78,0.10658241387392411,0.40912391668609194
79,0.10210738367471285,0.4066668609843487
80,0.09930422372533503,0.4030487375622042
81,0.09767677744453847,0.3978879304495221
82,0.09816269417799563,0.38998859959052984
83,0.09559665251259697,0.3857367772096982
84,0.0966974219830669,0.38425340874648284
85,0.09578766231214908,0.37828224553073736
86,0.09797886922073028,0.37408183755893837
87,0.09881279079782841,0.37215384077600944
88,0.09884725900428293,0.3698880448382166
89,0.09982511062590307,0.367846323030009
90,0.0991661297081074,0.3663076588580324
91,0.09426822883371697,0.36431826498415076
92,0.09154714266231322,0.3608161921330651
93,0.09163938700174988,0.36205833064056026
94,0.0925341899729604,0.35930510638007107
95,0.09139533307576961,0.35648501256058884
96,0.09224288294741634,0.36086826995459004
97,0.09397577859668639,0.35957781893012836
98,0.09403222060430397,0.3590620019818134
99,0.09410576023493115,0.35996713870504216
100,0.0932364771972906,0.36029894513338634
101,0.09049098938877322,0.35542102116616575
102,0.08886670191975016,0.357567501754798
103,0.0890613321563027,0.3566101442806427
104,0.08971572613022899,0.35964125457901214
105,0.09113537847901007,0.35805957842614566
106,0.0887558462737887,0.3570387834364699
107,0.08820992728765523,0.3523806325793808
108,0.08748106974287112,0.35166771668277585
109,0.0881319964008159,0.34772731591209954
110,0.08903911088823235,0.34624429138056345
111,0.08861276265110925,0.33943272038426264
112,0.09018362274614822,0.33461451612340104
113,0.08976916704743543,0.333649547187689
114,0.08985420735432009,0.33304437869186676
115,0.08983260884204901,0.33362342695820557
116,0.0874789173235733,0.3326614091547593
117,0.0878793286243444,0.32950478433928865
118,0.08581592904794524,0.33056180599921886
119,0.08683464958522828,0.3286369981117312
120,0.08479301920204362,0.32832444187074317
121,0.08468512178792872,0.32769206352621333
122,0.08581677395325134,0.3235842787968293
123,0.08603776232325763,0.32032727547166034
124,0.08635825839309058,0.31945200445089894
125,0.08725940722296613,0.31618081092281364
126,0.08391347157449422,0.3146896272545785
127,0.08178345289061692,0.31351293004574443
128,0.07988916008722852,0.3154467168428508
129,0.0783706270992013,0.3120037801217397
130,0.07687518596695939,0.3108264845058237
131,0.07651111238327094,0.31124534223714234
132,0.07744197259185627,0.31024562756435253
133,0.07597444481900069,0.3104576695529731
134,0.07688819116145475,0.3091369672848639
135,0.0758983382875764,0.3070924822477378
136,0.0764976325693179,0.30585404612908
137,0.07771030672861666,0.3058284280964825
138,0.07731935549178269,0.30274748081299346
